CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
EVALUATION AND MANAGEMENT,99326,TOTAL,37184,4887028.99,3606720.73
EVALUATION AND MANAGEMENT,99326,,37184,4887028.99,3606720.73
EVALUATION AND MANAGEMENT,99327,TOTAL,35743,6084975.34,4512782.9
EVALUATION AND MANAGEMENT,99327,,35743,6084975.34,4512782.9
EVALUATION AND MANAGEMENT,99328,TOTAL,24087,4799299.96,3598888.59
EVALUATION AND MANAGEMENT,99328,,24087,4799299.96,3598888.59
EVALUATION AND MANAGEMENT,99334,TOTAL,403428.1,23165763.34,16872946.53
EVALUATION AND MANAGEMENT,99334,,403428.1,23165763.34,16872946.53
EVALUATION AND MANAGEMENT,99335,TOTAL,712101.2,62624483.04,46005569.79
EVALUATION AND MANAGEMENT,99335,,712101.2,62624483.04,46005569.79
EVALUATION AND MANAGEMENT,99336,TOTAL,714845,86804128.66,64060788.39
EVALUATION AND MANAGEMENT,99336,,714845,86804128.66,64060788.39
EVALUATION AND MANAGEMENT,99337,TOTAL,182270,31512572.83,23685814.53
EVALUATION AND MANAGEMENT,99337,,182270,31512572.83,23685814.53
EVALUATION AND MANAGEMENT,99339,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99339,,N/A,0,0
EVALUATION AND MANAGEMENT,99340,TOTAL,N/A,0,0
EVALUATION AND MANAGEMENT,99340,,N/A,0,0
EVALUATION AND MANAGEMENT,99341,TOTAL,25337,1432396.63,1052725.95
EVALUATION AND MANAGEMENT,99341,,25337,1432396.63,1052725.95
EVALUATION AND MANAGEMENT,99342,TOTAL,56517,4677100.73,3490945.88
EVALUATION AND MANAGEMENT,99342,,56517,4677100.73,3490945.88
EVALUATION AND MANAGEMENT,99343,TOTAL,47591,6324537.93,4730599.64
EVALUATION AND MANAGEMENT,99343,,47591,6324537.93,4730599.64
EVALUATION AND MANAGEMENT,99344,TOTAL,64620,11138028.88,8191987.27
EVALUATION AND MANAGEMENT,99344,,64620,11138028.88,8191987.27
EVALUATION AND MANAGEMENT,99345,TOTAL,70095,14460923.65,10795521.91
EVALUATION AND MANAGEMENT,99345,,70095,14460923.65,10795521.91
EVALUATION AND MANAGEMENT,99347,TOTAL,223557,12536560.4,9357261.21
EVALUATION AND MANAGEMENT,99347,,223557,12536560.4,9357261.21
EVALUATION AND MANAGEMENT,99348,TOTAL,573847,48358230.48,36234065.61
EVALUATION AND MANAGEMENT,99348,,573847,48358230.48,36234065.61
EVALUATION AND MANAGEMENT,99349,TOTAL,974830.1,118061718.83,89143785.36
EVALUATION AND MANAGEMENT,99349,,974830.1,118061718.83,89143785.36
EVALUATION AND MANAGEMENT,99350,TOTAL,481249.8,79432918.55,60743463.99
EVALUATION AND MANAGEMENT,99350,,481249.8,79432918.55,60743463.99
EVALUATION AND MANAGEMENT,99354,TOTAL,251657.5,23676234.25,18346663.72
EVALUATION AND MANAGEMENT,99354,,251657.5,23676234.25,18346663.72
EVALUATION AND MANAGEMENT,99355,TOTAL,27124,2538274.96,2011462.1
EVALUATION AND MANAGEMENT,99355,,27124,2538274.96,2011462.1
EVALUATION AND MANAGEMENT,99356,TOTAL,195215,16914766.91,13428047.18
EVALUATION AND MANAGEMENT,99356,,195215,16914766.91,13428047.18
EVALUATION AND MANAGEMENT,99357,TOTAL,12611,1061895.1,844187
EVALUATION AND MANAGEMENT,99357,,12611,1061895.1,844187
EVALUATION AND MANAGEMENT,99358,TOTAL,N/A,154.73,123.79
EVALUATION AND MANAGEMENT,99358,,N/A,154.73,123.79
EVALUATION AND MANAGEMENT,99359,TOTAL,N/A,85.16,68.13
EVALUATION AND MANAGEMENT,99359,,N/A,85.16,68.13
