Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 50010 to 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,149,"$122,252","$97,073"
,TOTAL,,207,"$130,287","$103,421"
50650,80'S,,195,"$23,458","$18,387"
,OTHER,,405,"$294,314","$232,694"
,TOTAL,,600,"$317,772","$251,081"
50660,80'S,,18,"$2,956","$2,365"
,OTHER,,36,"$35,917","$28,677"
,TOTAL,,54,"$38,873","$31,042"
50684,SG,,203,"$35,456","$28,268"
,OTHER,,"2,238","$80,359","$63,565"
,TOTAL,,"2,441","$115,815","$91,833"
50686,OTHER,,25,"$1,250",$974
,TOTAL,,25,"$1,250",$974
50688,SG,,7,"$1,198",$959
,OTHER,,922,"$64,209","$50,427"
,TOTAL,,929,"$65,407","$51,385"
50690,SG,,11,"$3,235","$2,588"
,OTHER,,"3,481","$306,918","$239,651"
,TOTAL,,"3,492","$310,153","$242,239"
50700,80'S,,27,"$3,406","$2,724"
,OTHER,,203,"$179,243","$141,790"
,TOTAL,,230,"$182,649","$144,514"
50715,80'S,,581,"$98,277","$77,638"
,OTHER,,"1,959","$2,062,709","$1,632,394"
,TOTAL,,"2,540","$2,160,986","$1,710,033"
50722,80'S,,5,$596,$477
,OTHER,,22,"$17,189","$13,751"
,TOTAL,,27,"$17,785","$14,228"
50725,80'S,,5,$717,$574
,OTHER,,18,"$16,380","$13,104"
,TOTAL,,23,"$17,097","$13,677"
50727,80'S,,30,"$2,126","$1,700"
,OTHER,,163,"$73,799","$57,576"
,TOTAL,,193,"$75,925","$59,276"
50728,80'S,,25,"$2,712","$2,139"
,OTHER,,79,"$52,239","$41,681"
,TOTAL,,104,"$54,950","$43,820"
50740,80'S,,12,"$2,136","$1,565"
,OTHER,,65,"$62,893","$49,360"
,TOTAL,,77,"$65,029","$50,925"
50750,80'S,,2,$291,$232
,OTHER,,7,"$6,885","$5,508"
,TOTAL,,9,"$7,175","$5,740"
50760,80'S,,130,"$20,735","$16,322"
,OTHER,,460,"$458,816","$363,748"
,TOTAL,,590,"$479,551","$380,070"
50770,80'S,,8,"$1,345","$1,076"
,OTHER,,35,"$36,765","$29,412"
,TOTAL,,43,"$38,110","$30,488"
50780,80'S,,262,"$44,890","$34,751"
,OTHER,,975,"$1,049,093","$826,823"
,TOTAL,,"1,237","$1,093,983","$861,573"
50782,OTHER,,30,"$16,162","$12,929"
,TOTAL,,30,"$16,162","$12,929"
50783,80'S,,4,$796,$637
,OTHER,,14,"$15,238","$12,110"
,TOTAL,,18,"$16,033","$12,747"
50785,80'S,,120,"$23,458","$18,711"
,OTHER,,341,"$391,526","$311,806"
,TOTAL,,461,"$414,984","$330,517"
50800,80'S,,38,"$5,719","$4,575"
,OTHER,,127,"$113,387","$89,705"
,TOTAL,,165,"$119,106","$94,280"
50810,80'S,,6,"$1,112",$890
