CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2715      
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70460,26,33130,1918908.4,1488304.18
RADIOLOGY,70460,TC,3042,534280.25,416129.73
RADIOLOGY,70460,GLOBL,4879,1230984.19,952845.5
RADIOLOGY,70470,TOTAL,230930,26087022.1,20086156.17
RADIOLOGY,70470,26,180263,11646970.36,8937081.57
RADIOLOGY,70470,TC,13761,3136840.29,2428027.38
RADIOLOGY,70470,GLOBL,36906,11303211.45,8721047.22
RADIOLOGY,70480,TOTAL,54320,6760313.09,5231758.56
RADIOLOGY,70480,26,37683,2499628.74,1921324.91
RADIOLOGY,70480,TC,2857,557972.85,432843.25
RADIOLOGY,70480,GLOBL,13780,3702711.5,2877590.4
RADIOLOGY,70481,TOTAL,7630,1001254.32,777512.09
RADIOLOGY,70481,26,5986,427392.81,327589.62
RADIOLOGY,70481,TC,264,71644.94,55983.64
RADIOLOGY,70481,GLOBL,1380,502216.57,393938.83
RADIOLOGY,70482,TOTAL,6077,1183980.6,928377.4
RADIOLOGY,70482,26,3796,281212.23,216736.71
RADIOLOGY,70482,TC,355,111704.63,87601.32
RADIOLOGY,70482,GLOBL,1926,791063.74,624039.37
RADIOLOGY,70486,TOTAL,465226,51794069.42,39744859.56
RADIOLOGY,70486,26,331777,19279271.73,14704993.38
RADIOLOGY,70486,TC,22326,4220270.49,3245825.21
RADIOLOGY,70486,GLOBL,111123,28294527.2,21794040.97
RADIOLOGY,70487,TOTAL,14272,1332652.74,1016607.71
RADIOLOGY,70487,26,12631,848046.72,642582.8
RADIOLOGY,70487,TC,329,75963.29,59000.11
RADIOLOGY,70487,GLOBL,1312,408642.73,315024.8
RADIOLOGY,70488,TOTAL,4515,733214.83,566804.81
RADIOLOGY,70488,26,3127,226375.02,172963.8
RADIOLOGY,70488,TC,240,69367.96,53776.82
RADIOLOGY,70488,GLOBL,1148,437471.85,340064.19
RADIOLOGY,70490,TOTAL,69903,7596941.07,5894679.79
RADIOLOGY,70490,26,53382,3538230.94,2740155.61
RADIOLOGY,70490,TC,3414,609772.71,472112.47
RADIOLOGY,70490,GLOBL,13107,3448937.42,2682411.71
RADIOLOGY,70491,TOTAL,227015,27025110.14,20881517.02
RADIOLOGY,70491,26,174918,12386845.49,9491171.01
RADIOLOGY,70491,TC,15663,3445561.02,2683147.62
RADIOLOGY,70491,GLOBL,36434,11192703.63,8707198.39
RADIOLOGY,70492,TOTAL,32800,6404240.9,4972828.67
RADIOLOGY,70492,26,19356,1430510.06,1099595.08
RADIOLOGY,70492,TC,1909,536709.47,418787.14
RADIOLOGY,70492,GLOBL,11535,4437021.37,3454446.45
RADIOLOGY,70496,TOTAL,131600,16151474.08,12606096.01
RADIOLOGY,70496,26,117002,10510982.68,8180802.04
RADIOLOGY,70496,TC,3615,1093115.55,860512.1
RADIOLOGY,70496,GLOBL,10983,4547375.85,3564781.87
RADIOLOGY,70498,TOTAL,165625,24022563.56,18832701.71
RADIOLOGY,70498,26,136886,12318273.77,9637467.74
RADIOLOGY,70498,TC,6634,2157965.41,1700921.18
RADIOLOGY,70498,GLOBL,22105,9546324.38,7494312.79
RADIOLOGY,70540,TOTAL,12542,2898428.52,2275060.63
RADIOLOGY,70540,26,6574,458882.85,357153.8
RADIOLOGY,70540,TC,801,252585.67,199309.28
RADIOLOGY,70540,GLOBL,5167,2186960,1718597.55
RADIOLOGY,70542,TOTAL,1581,334516.6,262046.11
RADIOLOGY,70542,26,1079,90065.72,70009.92
RADIOLOGY,70542,TC,38,14031.67,11101.34
RADIOLOGY,70542,GLOBL,464,230419.21,180934.85
RADIOLOGY,70543,TOTAL,52442,18390354.28,14447018.32
RADIOLOGY,70543,26,29425,3274097.63,2533895.45
RADIOLOGY,70543,TC,3172,1679827.68,1324352.91
RADIOLOGY,70543,GLOBL,19845,13436428.97,10588769.96
RADIOLOGY,70544,TOTAL,325705,39905259.54,31458789.4
RADIOLOGY,70544,26,268880,16631001.62,13081439.55
RADIOLOGY,70544,TC,11037,3777400.31,2987433.73
RADIOLOGY,70544,GLOBL,45788,19496857.61,15389916.12
RADIOLOGY,70545,TOTAL,3683,533260.82,420223.87
RADIOLOGY,70545,26,2919,180536.03,142154.15
RADIOLOGY,70545,TC,176,69825.56,54526.06
RADIOLOGY,70545,GLOBL,588,282899.23,223543.66
RADIOLOGY,70546,TOTAL,14183,3088962.59,2432492.69
RADIOLOGY,70546,26,10860,1010718.05,792423.46
RADIOLOGY,70546,TC,719,375676.81,295797.99
RADIOLOGY,70546,GLOBL,2604,1702567.73,1344271.24
RADIOLOGY,70547,TOTAL,94714,13079030.11,10309099.89
RADIOLOGY,70547,26,74100,4626865.34,3637956.35
RADIOLOGY,70547,TC,3933,1317387.15,1041554.2
RADIOLOGY,70547,GLOBL,16681,7134777.62,5629589.34
RADIOLOGY,70548,TOTAL,37836,3913489.79,3076567.09
RADIOLOGY,70548,26,33746,2075001.03,1628281.21
RADIOLOGY,70548,TC,825,316667.58,248707.92
RADIOLOGY,70548,GLOBL,3265,1521821.18,1199577.96
RADIOLOGY,70549,TOTAL,93350,19755828.63,15574757.43
RADIOLOGY,70549,26,72496,6698066.13,5261429.53
