Medicare Part B Physician/Supplier BESS Data ,,,,,
For Calendar Year 2000,,,,,
Code Ranges 00100 - 01999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,QZ,,696,"$167,893","$131,810"
,OTHER,,"3,972","$542,217","$428,654"
,TOTAL,,"13,098","$2,461,566","$1,928,794"
00404,AA,,"19,408","$4,464,211","$3,544,899"
,AD,,338,"$24,191","$19,199"
,QK,,"16,076","$1,901,082","$1,506,867"
,QZ,,"5,345","$1,175,457","$934,706"
,OTHER,,"17,745","$2,075,819","$1,653,658"
,TOTAL,,"58,912","$9,640,761","$7,659,329"
00406,AA,,392,"$151,202","$120,028"
,AD,,9,$490,$392
,QK,,237,"$47,227","$37,291"
,QZ,,244,"$85,180","$67,712"
,OTHER,,568,"$113,833","$90,795"
,TOTAL,,"1,450","$397,932","$316,218"
00410,AA,,"31,560","$3,213,917","$2,530,447"
,AD,,297,"$19,088","$15,086"
,QK,,"13,591","$689,966","$542,305"
,QZ,,"5,978","$580,419","$459,215"
,OTHER,,"18,619","$937,865","$742,491"
,TOTAL,,"70,045","$5,441,254","$4,289,544"
00420,AA,,385,"$70,556","$54,156"
,AD,,3,$208,$166
,QK,,318,"$28,978","$21,398"
,QZ,,84,"$14,596","$11,156"
,OTHER,,399,"$36,808","$28,394"
,TOTAL,,"1,189","$151,146","$115,270"
00450,AA,,"1,409","$276,086","$217,239"
,AD,,10,$647,$478
,QK,,"1,223","$128,378","$100,867"
,QZ,,356,"$68,258","$54,036"
,OTHER,,"1,703","$169,703","$134,034"
,TOTAL,,"4,701","$643,072","$506,653"
00452,AA,,48,"$12,114","$9,397"
,AD,,2,$101,$81
,QK,,44,"$7,155","$5,539"
,QZ,,21,"$4,527","$3,566"
,OTHER,,40,"$5,492","$4,393"
,TOTAL,,155,"$29,389","$22,976"
00454,AA,,85,"$11,402","$8,902"
,AD,,2,$212,$170
,QK,,102,"$6,828","$5,376"
,QZ,,36,"$4,569","$3,655"
,OTHER,,120,"$8,627","$6,817"
,TOTAL,,345,"$31,638","$24,920"
00470,AA,,876,"$199,605","$158,294"
,AD,,19,"$1,317","$1,053"
,QK,,810,"$100,579","$79,311"
,QZ,,137,"$28,728","$22,520"
,OTHER,,807,"$95,182","$75,590"
,TOTAL,,"2,649","$425,411","$336,769"
00472,AA,,312,"$108,665","$86,932"
,AD,,1,$68,$54
,QK,,227,"$40,836","$32,620"
,QZ,,22,"$6,492","$5,194"
,OTHER,,260,"$46,877","$37,412"
,TOTAL,,822,"$202,938","$162,212"
00474,AA,,143,"$63,987","$50,761"
,AD,,1,$68,$54
,QK,,87,"$20,619","$16,495"
,QZ,,12,"$5,338","$4,270"
,OTHER,,81,"$19,169","$15,298"
,TOTAL,,324,"$109,180","$86,879"
00500,AA,,"1,400","$865,005","$686,589"
,AD,,22,"$2,735","$2,188"
,QK,,"1,544","$498,098","$396,485"
,QZ,,232,"$107,414","$85,647"
,OTHER,,"1,304","$382,200","$304,953"
,TOTAL,,"4,502","$1,855,453","$1,475,863"
00520,AA,,"22,925","$4,415,795","$3,496,822"
,AD,,218,"$15,141","$12,063"
,QK,,"16,361","$1,576,171","$1,246,944"
,QZ,,"7,711","$1,226,076","$970,180"
,OTHER,,"21,573","$2,039,877","$1,620,240"
,TOTAL,,"68,788","$9,273,060","$7,346,249"
00522,AA,,142,"$25,641","$20,484"
,QK,,204,"$17,073","$13,323"
,QZ,,31,"$4,562","$3,620"
,OTHER,,267,"$21,025","$16,634"
,TOTAL,,644,"$68,301","$54,061"
00524,AA,,190,"$28,992","$22,980"
,QK,,165,"$12,984","$10,388"
,QZ,,133,"$16,893","$13,372"
,OTHER,,223,"$16,987","$13,538"
,TOTAL,,711,"$75,856","$60,277"
00528,AA,,"4,650","$1,242,571","$987,298"
,AD,,49,"$3,532","$2,825"
,QK,,"3,941","$541,638","$430,536"
,QZ,,584,"$142,186","$113,644"
,OTHER,,"3,968","$531,393","$423,772"
,TOTAL,,"13,192","$2,461,319","$1,958,076"
00530,AA,,"32,950","$6,032,592","$4,794,644"
,AD,,276,"$21,134","$16,615"
,QK,,"23,155","$2,080,177","$1,647,190"
,QZ,,"5,919","$999,613","$793,476"
,OTHER,,"31,725","$2,828,208","$2,249,007"
,TOTAL,,"94,025","$11,961,725","$9,500,932"
00532,AA,,"57,843","$8,746,735","$6,926,154"
,AD,,728,"$51,819","$41,324"
,QK,,"47,962","$3,617,387","$2,864,139"
,QZ,,"13,484","$1,868,307","$1,481,655"
,OTHER,,"57,217","$4,294,571","$3,414,330"
,TOTAL,,"177,234","$18,578,818","$14,727,602"
00534,AA,,"9,119","$2,391,134","$1,892,527"
,AD,,76,"$5,322","$4,189"
,QK,,"5,224","$704,881","$555,955"
,QZ,,"1,142","$275,703","$219,177"
,OTHER,,"5,892","$781,030","$620,409"
,TOTAL,,"21,453","$4,158,070","$3,292,258"
00540,AA,,"25,874","$11,071,791","$8,798,818"
,AD,,261,"$21,100","$16,631"
,QK,,"19,162","$4,306,484","$3,428,236"
,QZ,,"2,593","$1,058,665","$843,017"
,OTHER,,"19,476","$4,244,179","$3,384,846"
,TOTAL,,"67,366","$20,702,220","$16,471,549"
00542,AA,,"2,214","$1,015,628","$810,568"
,AD,,16,"$1,198",$933
,QK,,"1,334","$311,170","$248,140"
,QZ,,181,"$77,616","$61,906"
,OTHER,,"1,290","$301,241","$240,444"
,TOTAL,,"5,035","$1,706,854","$1,361,992"
00544,AA,,177,"$86,861","$69,389"
,AD,,1,$74,$59
,QK,,109,"$28,643","$22,834"
,QZ,,9,"$4,077","$3,261"
,OTHER,,102,"$26,580","$20,978"
,TOTAL,,398,"$146,235","$116,522"
00546,AA,,609,"$312,609","$248,997"
,AD,,4,$251,$201
,QK,,358,"$102,573","$81,452"
,QZ,,37,"$21,292","$16,815"
,OTHER,,322,"$85,829","$68,437"
,TOTAL,,"1,330","$522,554","$415,901"
00548,AA,,179,"$90,192","$72,002"
,AD,,2,$135,$108
,QK,,112,"$29,352","$23,482"
,QZ,,16,"$7,235","$5,788"
,OTHER,,126,"$31,146","$24,846"
,TOTAL,,435,"$158,061","$126,227"
00560,AA,,"18,439","$9,113,575","$7,253,793"
,AD,,91,"$5,488","$4,390"
,QK,,"6,651","$1,584,416","$1,261,390"
,QZ,,"1,205","$503,235","$400,067"
,OTHER,,"8,856","$2,049,662","$1,632,531"
,TOTAL,,"35,242","$13,256,375","$10,552,171"
00562,AA,,"127,614","$91,249,826","$72,570,177"
,AD,,535,"$42,248","$33,510"
,QK,,"49,470","$18,044,907","$14,351,210"
,QZ,,"7,108","$4,702,997","$3,738,728"
,OTHER,,"54,309","$19,555,711","$15,588,632"
,TOTAL,,"239,036","$133,595,689","$106,282,256"
00580,AA,,413,"$362,703","$288,006"
,AD,,1,$50,$40
,QK,,233,"$103,303","$81,015"
,QZ,,7,"$4,899","$3,919"
,OTHER,,168,"$71,445","$56,653"
,TOTAL,,822,"$542,399","$429,633"
00600,AA,,"10,792","$4,030,082","$3,177,515"
,AD,,241,"$16,821","$13,304"
,QK,,"11,213","$2,261,989","$1,786,758"
,QZ,,"2,633","$838,285","$663,722"
,OTHER,,"11,605","$2,215,409","$1,762,698"
,TOTAL,,"36,484","$9,362,586","$7,403,997"
00604,AA,,349,"$149,781","$117,898"
,AD,,7,$855,$684
,QK,,252,"$54,937","$43,281"
,QZ,,36,"$15,033","$11,953"
,OTHER,,345,"$72,750","$57,476"
,TOTAL,,989,"$293,356","$231,293"
00620,AA,,"2,782","$1,041,247","$826,131"
,AD,,66,"$5,298","$4,239"
,QK,,"2,244","$490,030","$389,381"
,QZ,,534,"$165,349","$131,804"
,OTHER,,"2,493","$497,061","$395,666"
,TOTAL,,"8,119","$2,198,985","$1,747,221"
00622,AA,,18,"$6,429","$5,143"
,QK,,6,"$1,046",$836
,QZ,,1,$421,$337
,OTHER,,19,"$3,539","$2,831"
,TOTAL,,44,"$11,434","$9,147"
00630,AA,,"58,603","$17,041,497","$13,475,031"
,AD,,952,"$66,864","$53,070"
,QK,,"49,187","$8,043,841","$6,360,282"
,QZ,,"15,014","$3,793,939","$3,010,241"
,OTHER,,"54,310","$8,443,677","$6,714,884"
,TOTAL,,"178,066","$37,389,818","$29,613,508"
00632,AA,,281,"$86,736","$68,760"
,AD,,1,$51,$41
,QK,,203,"$30,529","$24,241"
,QZ,,63,"$11,463","$9,049"
,OTHER,,413,"$56,528","$45,042"
,TOTAL,,961,"$185,306","$147,132"
00634,AA,,48,"$12,325","$9,342"
,QK,,54,"$6,709","$5,305"
,QZ,,4,$854,$683
,OTHER,,77,"$9,679","$7,743"
,TOTAL,,183,"$29,567","$23,073"
00670,AA,,"11,077","$5,978,124","$4,725,766"
,AD,,105,"$9,353","$7,439"
,QK,,"7,981","$2,237,088","$1,770,695"
,QZ,,"1,256","$641,751","$507,705"
,OTHER,,"7,482","$2,030,354","$1,615,433"
,TOTAL,,"27,901","$10,896,671","$8,627,038"
00700,AA,,"3,905","$547,004","$432,781"
,AD,,38,"$2,886","$2,309"
,QK,,"3,207","$240,148","$188,273"
,QZ,,"1,141","$138,121","$108,913"
,OTHER,,"4,162","$310,154","$244,564"
,TOTAL,,"12,453","$1,238,313","$976,839"
00702,AA,,325,"$65,276","$51,829"
,AD,,1,$68,$54
,QK,,298,"$30,307","$24,016"
,QZ,,93,"$13,836","$11,063"
,OTHER,,343,"$32,786","$26,229"
,TOTAL,,"1,060","$142,273","$113,190"
00730,AA,,"1,196","$218,022","$171,609"
,AD,,10,$603,$483
,QK,,832,"$79,285","$62,642"
,QZ,,216,"$34,262","$26,925"
,OTHER,,966,"$90,315","$71,757"
,TOTAL,,"3,220","$422,488","$333,416"
00740,AA,,"71,468","$10,498,525","$8,305,845"
,AD,,363,"$26,873","$21,395"
,QK,,"41,928","$2,991,481","$2,362,219"
,QZ,,"40,125","$5,255,246","$4,159,853"
,OTHER,,"57,902","$4,137,668","$3,279,400"
,TOTAL,,"211,786","$22,909,793","$18,128,711"
00750,AA,,"9,386","$1,547,761","$1,211,860"
,AD,,115,"$8,399","$6,603"
,QK,,"7,823","$641,530","$498,394"
,QZ,,"3,038","$482,833","$379,328"
,OTHER,,"9,485","$807,966","$636,851"
,TOTAL,,"29,847","$3,488,489","$2,733,036"
00752,AA,,"4,969","$1,109,452","$872,957"
,AD,,52,"$3,553","$2,823"
,QK,,"2,951","$350,712","$275,145"
,QZ,,"1,676","$356,578","$281,239"
,OTHER,,"4,054","$476,720","$378,356"
,TOTAL,,"13,702","$2,297,014","$1,810,520"
00754,AA,,33,"$7,447","$5,864"
,AD,,1,$68,$54
,QK,,49,"$5,596","$4,319"
,QZ,,26,"$5,632","$4,488"
,OTHER,,75,"$8,511","$6,737"
,TOTAL,,184,"$27,254","$21,462"
00756,AA,,176,"$56,726","$45,215"
,QK,,108,"$18,486","$14,746"
,QZ,,83,"$27,203","$21,691"
,OTHER,,176,"$29,233","$23,295"
,TOTAL,,543,"$131,647","$104,947"
00770,AA,,"14,073","$7,920,230","$6,301,384"
,AD,,163,"$12,624","$9,971"
,QK,,"10,790","$3,150,467","$2,507,893"
,QZ,,"1,395","$722,327","$574,733"
,OTHER,,"11,027","$3,114,160","$2,479,891"
,TOTAL,,"37,448","$14,919,808","$11,873,874"
