CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2548 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,70482,GLOBL,1685,551106.28,424452.5,,,
RADIOLOGY,70482,TOTAL,5402,872458.31,668743.35,,,
RADIOLOGY,70486,26,365240,20705486.23,15402530.02,,,
RADIOLOGY,70486,TC,21303,2563086.4900000002,1928362.95,,,
RADIOLOGY,70486,GLOBL,99686,18378964.390000001,13836141.970000001,,,
RADIOLOGY,70486,TOTAL,486229,41647537.109999999,31167034.940000001,,,
RADIOLOGY,70487,26,19521,1237068.32,907621.53,,,
RADIOLOGY,70487,TC,492,81515.520000000004,61150.27,,,
RADIOLOGY,70487,GLOBL,1436,348430.89,265085.99,,,
RADIOLOGY,70487,TOTAL,21449,1667014.73,1233857.79,,,
RADIOLOGY,70488,26,2907,204041.53,152537.10999999999,,,
RADIOLOGY,70488,TC,190,40757.160000000003,30957.65,,,
RADIOLOGY,70488,GLOBL,974,294738.26,224773.3,,,
RADIOLOGY,70488,TOTAL,4071,539536.95000000007,408268.06,,,
RADIOLOGY,70490,26,55822,3531903.06,2668385.54,,,
RADIOLOGY,70490,TC,3059,314802.31,237209.73,,,
RADIOLOGY,70490,GLOBL,10658,1988924.47,1506669.09,,,
RADIOLOGY,70490,TOTAL,69539,5835629.8399999999,4412264.3600000003,,,
RADIOLOGY,70491,26,196816,13093493,9787310.9900000002,,,
RADIOLOGY,70491,TC,15040,1893347.18,1431741.95,,,
RADIOLOGY,70491,GLOBL,33632,7287358.04,5523475.4500000002,,,
RADIOLOGY,70491,TOTAL,245488,22274198.219999999,16742528.390000001,,,
RADIOLOGY,70492,26,16492,1178853.75,886536.95,,,
RADIOLOGY,70492,TC,1416,279667.43,210538.66,,,
RADIOLOGY,70492,GLOBL,8264,2320359.06,1763322.87,,,
RADIOLOGY,70492,TOTAL,26172,3778880.24,2860398.48,,,
RADIOLOGY,70496,26,185663,16112422.689999999,12272974.119999999,,,
RADIOLOGY,70496,TC,3001,610735.71,467178.7,,,
RADIOLOGY,70496,GLOBL,9921,3191229.93,2445889.15,,,
RADIOLOGY,70496,TOTAL,198585,19914388.329999998,15186041.970000001,,,
RADIOLOGY,70498,26,204752,15026621.199999999,11502416.49,,,
RADIOLOGY,70498,TC,4606,1259906.6599999999,970347.66,,,
RADIOLOGY,70498,GLOBL,17922,6762978.8200000003,5214623.09,,,
RADIOLOGY,70498,TOTAL,227280,23049506.68,17687387.239999998,,,
RADIOLOGY,70540,26,6690,417711.04,317624.96000000002,,,
RADIOLOGY,70540,TC,638,188337.52,146089.60999999999,,,
RADIOLOGY,70540,GLOBL,4092,1553421.68,1196109.58,,,
RADIOLOGY,70540,TOTAL,11420,2159470.2400000002,1659824.15,,,
RADIOLOGY,70542,26,908,69054.34,52512.46,,,
RADIOLOGY,70542,TC,44,14650.69,11455.03,,,
RADIOLOGY,70542,GLOBL,307,133614.01999999999,103388.99,,,
RADIOLOGY,70542,TOTAL,1259,217319.05,167356.48000000001,,,
RADIOLOGY,70543,26,33943,3411082.11,2581765.4,,,
RADIOLOGY,70543,TC,3013,1206061.43,931631.73,,,
RADIOLOGY,70543,GLOBL,17568,9201014.3800000008,7105669.3799999999,,,
RADIOLOGY,70543,TOTAL,54524,13818157.92,10619066.51,,,
RADIOLOGY,70544,26,255369,15508630.08,11873885.109999999,,,
RADIOLOGY,70544,TC,8994,2512057.73,1946519.86,,,
RADIOLOGY,70544,GLOBL,35883,12816832.33,9889086.7200000007,,,
RADIOLOGY,70544,TOTAL,300246,30837520.140000001,23709491.690000001,,,
RADIOLOGY,70545,26,2932,178225.23,137014.51,,,
RADIOLOGY,70545,TC,125,39689.019999999997,30895.82,,,
RADIOLOGY,70545,GLOBL,482,191053.66,146987.09,,,
RADIOLOGY,70545,TOTAL,3539,408967.91,314897.42,,,
RADIOLOGY,70546,26,12469,1151425.48,875140.9,,,
RADIOLOGY,70546,TC,734,339666.8,261797.85,,,
RADIOLOGY,70546,GLOBL,3015,1739500.14,1342119.6100000001,,,
RADIOLOGY,70546,TOTAL,16218,3230592.42,2479058.36,,,
RADIOLOGY,70547,26,72968,3553895.77,2736608.98,,,
RADIOLOGY,70547,TC,2756,822483.27,639578.15,,,
RADIOLOGY,70547,GLOBL,11554,4310134.71,3342359.19,,,
RADIOLOGY,70547,TOTAL,87278,8686513.75,6718546.3200000003,,,
RADIOLOGY,70548,26,27379,1331933.29,1024025.85,,,
RADIOLOGY,70548,TC,433,157183.99,122359.52,,,
RADIOLOGY,70548,GLOBL,2112,914899.13,706742.25,,,
RADIOLOGY,70548,TOTAL,29924,2404016.41,1853127.62,,,
RADIOLOGY,70549,26,67814,5434471.9900000002,4170699.21,,,
RADIOLOGY,70549,TC,2995,1477330.35,1147025.53,,,
RADIOLOGY,70549,GLOBL,11454,6911249.6799999997,5353270.59,,,
RADIOLOGY,70549,TOTAL,82263,13823052.02,10670995.33,,,
RADIOLOGY,70551,26,784784.1,57432332.600000001,43492794.420000002,,,
RADIOLOGY,70551,TC,43347,7266517.0300000003,5504734.2199999997,,,
RADIOLOGY,70551,GLOBL,172085,43638605.039999999,33123869.07,,,
RADIOLOGY,70551,TOTAL,1000216.1,108337454.67,82121397.710000008,,,
RADIOLOGY,70552,26,21293,1923395.54,1470360.92,,,
RADIOLOGY,70552,TC,603,138398.98000000001,105942.65,,,
RADIOLOGY,70552,GLOBL,3217,1072002.8500000001,821828.73,,,
RADIOLOGY,70552,TOTAL,25113,3133797.37,2398132.2999999998,,,
RADIOLOGY,70553,26,758197.1,87768213.209999993,66246613.469999999,,,
RADIOLOGY,70553,TC,54338,14230278.74,10865007.58,,,
RADIOLOGY,70553,GLOBL,193997,76216650.769999996,58180465.189999998,,,
RADIOLOGY,70553,TOTAL,1006532.1,178215142.72,135292086.24000001,,,
RADIOLOGY,70554,26,573,60410.55,46461.08,,,
RADIOLOGY,70554,TC,16,5267.71,4129.87,,,
RADIOLOGY,70554,GLOBL,72,30850.01,23624.79,,,
RADIOLOGY,70554,TOTAL,661,96528.27,74215.739999999991,,,
RADIOLOGY,70555,26,230,31375.119999999999,24161.97,,,
RADIOLOGY,70555,TC,N/A,720.71,565.04,,,
