CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33227,SG,N/A,6738.26,5282.8,,,
CARDIOVASCULAR,33227,OTHER,7750,3088576.17,2391010.85,,,
CARDIOVASCULAR,33227,TOTAL,7751,3095314.43,2396293.65,,,
CARDIOVASCULAR,33228,80S,N/A,0,0,,,
CARDIOVASCULAR,33228,SG,30,223255.97,174901.13,,,
CARDIOVASCULAR,33228,OTHER,38016,16653696.710000001,12900712.300000001,,,
CARDIOVASCULAR,33228,TOTAL,38046,16876952.68,13075613.43,,,
CARDIOVASCULAR,33229,80S,N/A,0,0,,,
CARDIOVASCULAR,33229,OTHER,3144,1252799.56,971887,,,
CARDIOVASCULAR,33229,TOTAL,3144,1252799.56,971887,,,
CARDIOVASCULAR,33230,80S,N/A,0,0,,,
CARDIOVASCULAR,33230,OTHER,300,196185.73,152627.10999999999,,,
CARDIOVASCULAR,33230,TOTAL,300,196185.73,152627.10999999999,,,
CARDIOVASCULAR,33231,80S,N/A,0,0,,,
CARDIOVASCULAR,33231,OTHER,220,126601.94,97579.24,,,
CARDIOVASCULAR,33231,TOTAL,220,126601.94,97579.24,,,
CARDIOVASCULAR,33233,80S,N/A,18.239999999999998,14.3,,,
CARDIOVASCULAR,33233,SG,N/A,4128.51,3236.76,,,
CARDIOVASCULAR,33233,OTHER,9619,1317045.1599999999,1024711.92,,,
CARDIOVASCULAR,33233,TOTAL,9623,1321191.9099999999,1027962.98,,,
CARDIOVASCULAR,33234,80S,N/A,0,0,,,
CARDIOVASCULAR,33234,SG,N/A,2752.34,2157.84,,,
CARDIOVASCULAR,33234,OTHER,2908,1111001.19,865570.11,,,
CARDIOVASCULAR,33234,TOTAL,2910,1113753.53,867727.95,,,
CARDIOVASCULAR,33235,80S,N/A,0,0,,,
CARDIOVASCULAR,33235,SG,N/A,2572.9699999999998,2017.21,,,
CARDIOVASCULAR,33235,OTHER,3502,2034041.77,1584510.41,,,
CARDIOVASCULAR,33235,TOTAL,3504,2036614.74,1586527.62,,,
CARDIOVASCULAR,33236,80S,N/A,0,0,,,
CARDIOVASCULAR,33236,OTHER,18,12634.53,9905.4699999999993,,,
CARDIOVASCULAR,33236,TOTAL,18,12634.53,9905.4699999999993,,,
CARDIOVASCULAR,33237,80S,N/A,78.02,61.17,,,
CARDIOVASCULAR,33237,OTHER,41,27716.63,21729.85,,,
CARDIOVASCULAR,33237,TOTAL,42,27794.65,21791.02,,,
CARDIOVASCULAR,33238,80S,12,1255.8599999999999,984.57,,,
CARDIOVASCULAR,33238,OTHER,110,73759.210000000006,57827.37,,,
CARDIOVASCULAR,33238,TOTAL,122,75015.070000000007,58811.94,,,
CARDIOVASCULAR,33240,80S,N/A,0,0,,,
CARDIOVASCULAR,33240,SG,N/A,24594.36,19281.98,,,
CARDIOVASCULAR,33240,OTHER,871,311197.05,240956.47,,,
CARDIOVASCULAR,33240,TOTAL,872,335791.41,260238.45,,,
CARDIOVASCULAR,33241,80S,N/A,33.159999999999997,29.19,,,
CARDIOVASCULAR,33241,SG,N/A,2752.34,2157.84,,,
CARDIOVASCULAR,33241,OTHER,8281,1055526.97,819186.24,,,
CARDIOVASCULAR,33241,TOTAL,8285,1058312.47,821373.27,,,
CARDIOVASCULAR,33243,80S,116,14289.28,11099.3,,,
CARDIOVASCULAR,33243,OTHER,327,305386.34999999998,237630.27,,,
CARDIOVASCULAR,33243,TOTAL,443,319675.63,248729.57,,,
CARDIOVASCULAR,33244,80S,N/A,0,0,,,
CARDIOVASCULAR,33244,OTHER,5310,3865102.32,3000948.56,,,
CARDIOVASCULAR,33244,TOTAL,5310,3865102.32,3000948.56,,,
CARDIOVASCULAR,33249,80S,N/A,0,0,,,
CARDIOVASCULAR,33249,SG,17,532238.66,417275.1,,,
CARDIOVASCULAR,33249,OTHER,49668,49025917.75,38175475.710000001,,,
CARDIOVASCULAR,33249,TOTAL,49685,49558156.409999996,38592750.810000002,,,
CARDIOVASCULAR,33250,80S,N/A,530.49,415.91,,,
CARDIOVASCULAR,33250,OTHER,13,16511.45,12944.98,,,
CARDIOVASCULAR,33250,TOTAL,16,17041.939999999999,13360.89,,,
CARDIOVASCULAR,33251,80S,28,3504.32,2747.42,,,
CARDIOVASCULAR,33251,OTHER,44,43766.17,34312.68,,,
CARDIOVASCULAR,33251,TOTAL,72,47270.49,37060.1,,,
CARDIOVASCULAR,33254,80S,26,4993.37,3914.84,,,
CARDIOVASCULAR,33254,OTHER,45,63264.44,48019.26,,,
CARDIOVASCULAR,33254,TOTAL,71,68257.81,51934.100000000013,,,
CARDIOVASCULAR,33255,80S,11,2837.53,2224.61,,,
CARDIOVASCULAR,33255,OTHER,72,124226.73,97358.89,,,
CARDIOVASCULAR,33255,TOTAL,83,127064.26,99583.5,,,
CARDIOVASCULAR,33256,80S,26,7814.08,6126.24,,,
CARDIOVASCULAR,33256,OTHER,72,145671.89000000001,112704.8,,,
CARDIOVASCULAR,33256,TOTAL,98,153485.97,118831.03999999999,,,
CARDIOVASCULAR,33257,80S,2176,189934.23,148439.51,,,
CARDIOVASCULAR,33257,OTHER,3505,2117200.2000000002,1651197.77,,,
CARDIOVASCULAR,33257,TOTAL,5681,2307134.4300000002,1799637.28,,,
CARDIOVASCULAR,33258,80S,59,5505.2,4316.1499999999996,,,
CARDIOVASCULAR,33258,OTHER,69,46505.25,35989.760000000002,,,
CARDIOVASCULAR,33258,TOTAL,128,52010.45,40305.910000000003,,,
CARDIOVASCULAR,33259,80S,2642,336332.79,262654.08000000002,,,
CARDIOVASCULAR,33259,OTHER,4528,3994594.96,3115119.34,,,
CARDIOVASCULAR,33259,TOTAL,7170,4330927.75,3377773.42,,,
CARDIOVASCULAR,33261,80S,N/A,1101.83,863.82,,,
CARDIOVASCULAR,33261,OTHER,35,37261.199999999997,29212.75,,,
CARDIOVASCULAR,33261,TOTAL,43,38363.03,30076.57,,,
CARDIOVASCULAR,33262,80S,N/A,0,0,,,
CARDIOVASCULAR,33262,OTHER,4663,2250852.62,1734057.28,,,
CARDIOVASCULAR,33262,TOTAL,4663,2250852.62,1734057.28,,,
CARDIOVASCULAR,33263,80S,N/A,0,0,,,
CARDIOVASCULAR,33263,SG,N/A,135592.20000000001,106304.28,,,
CARDIOVASCULAR,33263,OTHER,12855,7629829.0300000003,5873048.2199999997,,,
CARDIOVASCULAR,33263,TOTAL,12861,7765421.2300000004,5979352.5,,,
CARDIOVASCULAR,33264,80S,N/A,0,0,,,
CARDIOVASCULAR,33264,SG,N/A,188295.54,147623.71,,,
CARDIOVASCULAR,33264,OTHER,17587,9831985.9100000001,7617401.3899999997,,,
CARDIOVASCULAR,33264,TOTAL,17595,10020281.449999999,7765025.0999999996,,,
CARDIOVASCULAR,33265,80S,51,9361.0300000000007,7339,,,
CARDIOVASCULAR,33265,OTHER,137,184909.15,144824.15,,,
CARDIOVASCULAR,33265,TOTAL,188,194270.18,152163.15,,,
CARDIOVASCULAR,33266,80S,190,52770.42,40692.449999999997,,,
CARDIOVASCULAR,33266,OTHER,365,693412.48,539397.54,,,
CARDIOVASCULAR,33266,TOTAL,555,746182.9,580089.99,,,
CARDIOVASCULAR,33282,80S,N/A,0,0,,,
CARDIOVASCULAR,33282,SG,12,71402.820000000007,55864.6,,,
CARDIOVASCULAR,33282,OTHER,22002,6476335.5599999996,5022202.45,,,
CARDIOVASCULAR,33282,TOTAL,22014,6547738.3799999999,5078067.05,,,
CARDIOVASCULAR,33284,80S,N/A,0,0,,,
CARDIOVASCULAR,33284,SG,N/A,1366.45,1071.29,,,
CARDIOVASCULAR,33284,OTHER,5693,968399.5,742153.41,,,
CARDIOVASCULAR,33284,TOTAL,5695,969765.95,743224.70000000007,,,
CARDIOVASCULAR,33300,80S,76,27999.1,21951.31,,,
CARDIOVASCULAR,33300,OTHER,224,542336.5,423202.4,,,
CARDIOVASCULAR,33300,TOTAL,300,570335.6,445153.71,,,
CARDIOVASCULAR,33305,80S,108,67648.88,53322.64,,,
CARDIOVASCULAR,33305,OTHER,213,871613.65,683571.57,,,
CARDIOVASCULAR,33305,TOTAL,321,939262.53,736894.21,,,
CARDIOVASCULAR,33310,80S,19,3262.92,2558.11,,,
CARDIOVASCULAR,33310,OTHER,43,41651.03,31772.63,,,
CARDIOVASCULAR,33310,TOTAL,62,44913.95,34330.74,,,
CARDIOVASCULAR,33315,80S,162,33566.019999999997,26315.82,,,
CARDIOVASCULAR,33315,OTHER,301,438006.21,341479.14,,,
CARDIOVASCULAR,33315,TOTAL,463,471572.23,367794.96,,,
CARDIOVASCULAR,33320,80S,29,3358.27,2632.92,,,
CARDIOVASCULAR,33320,OTHER,117,95142.84,74591.98,,,
CARDIOVASCULAR,33320,TOTAL,146,98501.11,77224.899999999994,,,
CARDIOVASCULAR,33321,80S,N/A,92.58,72.58,,,
CARDIOVASCULAR,33321,OTHER,N/A,1278.93,1002.68,,,
CARDIOVASCULAR,33321,TOTAL,N/A,1371.51,1075.26,,,
CARDIOVASCULAR,33322,80S,104,13335.34,10495.49,,,
CARDIOVASCULAR,33322,OTHER,202,169919.11,132657.69,,,
CARDIOVASCULAR,33322,TOTAL,306,183254.45,143153.18,,,
CARDIOVASCULAR,33330,80S,N/A,814.77,638.77,,,
CARDIOVASCULAR,33330,OTHER,17,17536.53,13748.64,,,
CARDIOVASCULAR,33330,TOTAL,23,18351.3,14387.41,,,
CARDIOVASCULAR,33332,80S,N/A,287.58,225.46,,,
CARDIOVASCULAR,33332,OTHER,N/A,3228.57,2531.1999999999998,,,
CARDIOVASCULAR,33332,TOTAL,N/A,3516.15,2756.66,,,
CARDIOVASCULAR,33335,80S,50,9717.7199999999993,7386.73,,,
CARDIOVASCULAR,33335,OTHER,80,99195.82,75823.289999999994,,,
CARDIOVASCULAR,33335,TOTAL,130,108913.54,83210.01999999999,,,
CARDIOVASCULAR,33361,80S,N/A,119.48,93.67,,,
CARDIOVASCULAR,33361,OTHER,12998,11681906.369999999,9151681.1099999994,,,
CARDIOVASCULAR,33361,TOTAL,12999,11682025.85,9151774.7799999993,,,
CARDIOVASCULAR,33362,80S,N/A,134.53,105.47,,,
CARDIOVASCULAR,33362,OTHER,6178,5810926.9900000002,4551466.09,,,
CARDIOVASCULAR,33362,TOTAL,6179,5811061.5199999996,4551571.5599999996,,,
CARDIOVASCULAR,33363,80S,N/A,0,0,,,
CARDIOVASCULAR,33363,OTHER,322,323230.48,253314.23,,,
