CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,
"""2014 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3221 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PATH/LAB,80438,TOTAL,122,8358.98,8191.25,
PATH/LAB,80439,GLOBL,65,5960.5,5841.55,
PATH/LAB,80439,TOTAL,65,5960.5,5841.55,
PATH/LAB,80440,GLOBL,N/A,766.76,716.27,
PATH/LAB,80440,TOTAL,N/A,766.76,716.27,
PATH/LAB,80500,GLOBL,32970,643385.15,495977.56,
PATH/LAB,80500,TOTAL,32970,643385.15,495977.56,
PATH/LAB,80502,GLOBL,18633,1254998.3999999999,945639.27,
PATH/LAB,80502,TOTAL,18633,1254998.3999999999,945639.27,
PATH/LAB,81000,26,N/A,0,0,
PATH/LAB,81000,GLOBL,2485594.1,10711461.65,10412382.35,
PATH/LAB,81000,TOTAL,2485594.1,10711461.65,10412382.35,
PATH/LAB,81001,26,N/A,0,0,
PATH/LAB,81001,TC,N/A,0,0,
PATH/LAB,81001,GLOBL,7236300,31242977.829999998,30465234.280000001,
PATH/LAB,81001,TOTAL,7236300,31242977.829999998,30465234.280000001,
PATH/LAB,81002,26,N/A,0,0,
PATH/LAB,81002,TC,N/A,0,0,
PATH/LAB,81002,GLOBL,4352032.3,15017781.189999999,14619038.07,
PATH/LAB,81002,TOTAL,4352032.3,15017781.189999999,14619038.07,
PATH/LAB,81003,26,N/A,0,0,
PATH/LAB,81003,TC,N/A,0,0,
PATH/LAB,81003,GLOBL,6589450.2999999998,20126165.84,19611717.09,
PATH/LAB,81003,TOTAL,6589450.2999999998,20126165.84,19611717.09,
PATH/LAB,81005,26,N/A,0,0,
PATH/LAB,81005,TC,N/A,0,0,
PATH/LAB,81005,GLOBL,187201,548585.43999999994,534648.75,
PATH/LAB,81005,TOTAL,187201,548585.43999999994,534648.75,
PATH/LAB,81007,GLOBL,2776,9669.0400000000009,9370.7199999999993,
PATH/LAB,81007,TOTAL,2776,9669.0400000000009,9370.7199999999993,
PATH/LAB,81015,26,N/A,0,0,
PATH/LAB,81015,GLOBL,108983,447362.98,437405.1,
PATH/LAB,81015,TOTAL,108983,447362.98,437405.1,
PATH/LAB,81020,GLOBL,1082,5417.11,5306.42,
PATH/LAB,81020,TOTAL,1082,5417.11,5306.42,
PATH/LAB,81025,26,N/A,0,0,
PATH/LAB,81025,GLOBL,82240,669901.4,648562.89,
PATH/LAB,81025,TOTAL,82240,669901.4,648562.89,
PATH/LAB,81050,26,N/A,0,0,
PATH/LAB,81050,GLOBL,72760,295551.28999999998,287835.46000000002,
PATH/LAB,81050,TOTAL,72760,295551.28999999998,287835.46000000002,
PATH/LAB,81099,GLOBL,3183,32514.03,31384.720000000001,
PATH/LAB,81099,TOTAL,3183,32514.03,31384.720000000001,
PATH/LAB,81161,GLOBL,N/A,140,137.19999999999999,
PATH/LAB,81161,TOTAL,N/A,140,137.19999999999999,
PATH/LAB,81200,GLOBL,N/A,246,241.08,
PATH/LAB,81200,TOTAL,N/A,246,241.08,
PATH/LAB,81201,GLOBL,983,728758.27,711485.38,
PATH/LAB,81201,TOTAL,983,728758.27,711485.38,
PATH/LAB,81202,GLOBL,851,84573.9,82884.479999999996,
PATH/LAB,81202,TOTAL,851,84573.9,82884.479999999996,
PATH/LAB,81203,GLOBL,769,382002.74,373381.63,
PATH/LAB,81203,TOTAL,769,382002.74,373381.63,
PATH/LAB,81205,GLOBL,N/A,0,0,
PATH/LAB,81205,TOTAL,N/A,0,0,
PATH/LAB,81206,GLOBL,15240,3319845.86,3243012.18,
PATH/LAB,81206,TOTAL,15240,3319845.86,3243012.18,
PATH/LAB,81207,GLOBL,10508,1898835.69,1856816.67,
PATH/LAB,81207,TOTAL,10508,1898835.69,1856816.67,
PATH/LAB,81208,GLOBL,391,82362.13,80499.5,
PATH/LAB,81208,TOTAL,391,82362.13,80499.5,
PATH/LAB,81209,GLOBL,N/A,123,120.54,
PATH/LAB,81209,TOTAL,N/A,123,120.54,
PATH/LAB,81210,26,N/A,0,0,
PATH/LAB,81210,GLOBL,8882,1596272.59,1562660.46,
PATH/LAB,81210,TOTAL,8882,1596272.59,1562660.46,
PATH/LAB,81211,GLOBL,17096,34145649.420000002,33333439.91,
PATH/LAB,81211,TOTAL,17096,34145649.420000002,33333439.91,
PATH/LAB,81212,GLOBL,1736,305447.46000000002,298622.09000000003,
PATH/LAB,81212,TOTAL,1736,305447.46000000002,298622.09000000003,
PATH/LAB,81213,GLOBL,15717,9150280.2899999991,8932701.4900000002,
PATH/LAB,81213,TOTAL,15717,9150280.2899999991,8932701.4900000002,
PATH/LAB,81214,GLOBL,15,21572.1,21140.7,
PATH/LAB,81214,TOTAL,15,21572.1,21140.7,
PATH/LAB,81215,GLOBL,110,10256.4,10051.799999999999,
PATH/LAB,81215,TOTAL,110,10256.4,10051.799999999999,
PATH/LAB,81216,GLOBL,N/A,0,0,
PATH/LAB,81216,TOTAL,N/A,0,0,
PATH/LAB,81217,GLOBL,187,17435.88,17088.060000000001,
PATH/LAB,81217,TOTAL,187,17435.88,17088.060000000001,
PATH/LAB,81220,26,N/A,0,0,
PATH/LAB,81220,GLOBL,N/A,0,0,
PATH/LAB,81220,TOTAL,N/A,0,0,
PATH/LAB,81221,GLOBL,N/A,0,0,
PATH/LAB,81221,TOTAL,N/A,0,0,
PATH/LAB,81222,GLOBL,N/A,0,0,
PATH/LAB,81222,TOTAL,N/A,0,0,
PATH/LAB,81223,GLOBL,N/A,0,0,
PATH/LAB,81223,TOTAL,N/A,0,0,
PATH/LAB,81224,GLOBL,N/A,0,0,
PATH/LAB,81224,TOTAL,N/A,0,0,
PATH/LAB,81225,GLOBL,371491,108293043.51000001,106100780.88,
PATH/LAB,81225,TOTAL,371491,108293043.51000001,106100780.88,
PATH/LAB,81226,GLOBL,378347,170390362.24000001,166937955.56,
PATH/LAB,81226,TOTAL,378347,170390362.24000001,166937955.56,
PATH/LAB,81227,GLOBL,209560,36629701.100000001,35894336.469999999,
PATH/LAB,81227,TOTAL,209560,36629701.100000001,35894336.469999999,
PATH/LAB,81228,26,N/A,0,0,
PATH/LAB,81228,GLOBL,N/A,300,294,
PATH/LAB,81228,TOTAL,N/A,300,294,
PATH/LAB,81229,GLOBL,N/A,0,0,
PATH/LAB,81229,TOTAL,N/A,0,0,
PATH/LAB,81235,GLOBL,13276,4396845.63,4303059.1100000003,
PATH/LAB,81235,TOTAL,13276,4396845.63,4303059.1100000003,
PATH/LAB,81240,26,N/A,0,0,
PATH/LAB,81240,GLOBL,249163,16703602.060000001,16359594.189999999,
PATH/LAB,81240,TOTAL,249163,16703602.060000001,16359594.189999999,
PATH/LAB,81241,26,N/A,0,0,
PATH/LAB,81241,GLOBL,257229,21423973.43,20983874.690000001,
PATH/LAB,81241,TOTAL,257229,21423973.43,20983874.690000001,
PATH/LAB,81242,GLOBL,64,5986.8,5866.94,
PATH/LAB,81242,TOTAL,64,5986.8,5866.94,
PATH/LAB,81243,26,N/A,0,0,
PATH/LAB,81243,GLOBL,N/A,0,0,
PATH/LAB,81243,TOTAL,N/A,0,0,
PATH/LAB,81244,GLOBL,N/A,0,0,
PATH/LAB,81244,TOTAL,N/A,0,0,
PATH/LAB,81245,GLOBL,4204,679310.81,665458.09,
PATH/LAB,81245,TOTAL,4204,679310.81,665458.09,
PATH/LAB,81250,GLOBL,52,6037.7,5917.06,
PATH/LAB,81250,TOTAL,52,6037.7,5917.06,
PATH/LAB,81251,GLOBL,51,6273,6147.54,
PATH/LAB,81251,TOTAL,51,6273,6147.54,
PATH/LAB,81252,GLOBL,N/A,146.05000000000001,143.13,
PATH/LAB,81252,TOTAL,N/A,146.05000000000001,143.13,
PATH/LAB,81255,GLOBL,54,6607.27,6475.13,
