MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,"1,407","$191,154.97 ","$151,621.81 "
20979,OTHER,,522,"$28,218.07 ","$21,734.18 "
,TOTAL,,522,"$28,218.07 ","$21,734.18 "
20982,OTHER,,184,"$122,734.81 ","$98,002.74 "
,TOTAL,,184,"$122,734.81 ","$98,002.74 "
20999,AS,,21,"$1,874.71 ","$1,499.77 "
,80'S,,1,$13.84 ,$11.07 
,OTHER,,386,"$82,105.17 ","$65,200.07 "
,TOTAL,,408,"$83,993.72 ","$66,710.91 "
21010,AS,,1,$110.38 ,$88.30 
,SG,,2,$913.22 ,$583.25 
,OTHER,,14,"$6,375.12 ","$5,100.10 "
,TOTAL,,17,"$7,398.72 ","$5,771.65 "
21015,SG,,596,"$248,596.30 ","$197,747.33 "
,80'S,,1,$74.79 ,$59.83 
,OTHER,,"3,984","$1,101,174.90 ","$873,152.69 "
,TOTAL,,"4,581","$1,349,845.99 ","$1,070,959.85 "
21025,SG,,37,"$15,087.04 ","$11,759.03 "
,OTHER,,"1,131","$774,035.48 ","$610,220.01 "
,TOTAL,,"1,168","$789,122.52 ","$621,979.04 "
21026,AS,,1,$30.91 ,$24.73 
,SG,,26,"$8,537.44 ","$6,658.53 "
,OTHER,,450,"$166,413.02 ","$131,078.43 "
,TOTAL,,477,"$174,981.37 ","$137,761.69 "
21029,SG,,12,"$4,831.51 ","$3,865.22 "
,80'S,,1,$43.39 ,$34.71 
,OTHER,,114,"$53,923.76 ","$42,028.81 "
,TOTAL,,127,"$58,798.66 ","$45,928.74 "
21030,OTHER,,"1,176","$425,689.30 ","$334,299.01 "
,TOTAL,,"1,176","$425,689.30 ","$334,299.01 "
21031,OTHER,,650,"$161,306.78 ","$123,383.15 "
,TOTAL,,650,"$161,306.78 ","$123,383.15 "
21032,OTHER,,215,"$58,515.52 ","$45,915.95 "
,TOTAL,,215,"$58,515.52 ","$45,915.95 "
21034,AS,,3,$293.70 ,$234.97 
,SG,,4,"$2,036.50 ","$1,629.20 "
,80'S,,14,"$1,995.74 ","$1,596.61 "
,OTHER,,157,"$138,880.15 ","$110,293.89 "
,TOTAL,,178,"$143,206.09 ","$113,754.67 "
21040,SG,,41,"$17,332.85 ","$13,866.32 "
,OTHER,,"1,243","$473,296.88 ","$369,347.88 "
,TOTAL,,"1,284","$490,629.73 ","$383,214.20 "
21044,AS,,4,$374.63 ,$299.71 
,SG,,6,"$2,405.96 ","$1,924.77 "
,80'S,,23,"$1,963.76 ","$1,571.02 "
,OTHER,,245,"$147,937.14 ","$117,458.75 "
,TOTAL,,278,"$152,681.49 ","$121,254.25 "
21045,AS,,8,$750.58 ,$600.46 
,80'S,,40,"$4,902.32 ","$3,921.85 "
,OTHER,,315,"$239,144.95 ","$190,360.93 "
,TOTAL,,363,"$244,797.85 ","$194,883.24 "
21046,SG,,12,"$4,547.67 ","$3,638.15 "
,80'S,,2,$357.44 ,$285.95 
,OTHER,,399,"$384,807.00 ","$305,645.89 "
,TOTAL,,413,"$389,712.11 ","$309,569.99 "
21047,80'S,,4,$763.91 ,$609.76 
,OTHER,,65,"$73,419.69 ","$58,730.58 "
,TOTAL,,69,"$74,183.60 ","$59,340.34 "
21048,80'S,,1,$163.97 ,$131.18 
,OTHER,,195,"$161,102.24 ","$127,530.21 "
,TOTAL,,196,"$161,266.21 ","$127,661.39 "
21049,80'S,,1,$200.53 ,$160.42 
,OTHER,,20,"$20,176.13 ","$15,609.70 "
,TOTAL,,21,"$20,376.66 ","$15,770.12 "
21050,SG,,2,$757.38 ,$605.91 
,80'S,,1,$120.16 ,$96.13 
,OTHER,,22,"$12,127.57 ","$9,701.25 "
,TOTAL,,25,"$13,005.11 ","$10,403.29 "
21060,80'S,,2,$119.51 ,$95.60 
,OTHER,,14,"$7,491.23 ","$5,932.35 "
,TOTAL,,16,"$7,610.74 ","$6,027.95 "
21070,SG,,2,$768.42 ,$614.73 
,80'S,,2,$92.94 ,$74.35 
,OTHER,,62,"$25,995.11 ","$20,563.72 "
,TOTAL,,66,"$26,856.47 ","$21,252.80 "
21076,80'S,,3,$190.32 ,$152.25 
,OTHER,,418,"$364,100.22 ","$290,456.86 "
,TOTAL,,421,"$364,290.54 ","$290,609.11 "
21077,OTHER,,71,"$153,362.37 ","$121,017.23 "
,TOTAL,,71,"$153,362.37 ","$121,017.23 "
21079,OTHER,,485,"$702,090.33 ","$557,349.58 "
,TOTAL,,485,"$702,090.33 ","$557,349.58 "
21080,OTHER,,464,"$793,333.06 ","$627,890.52 "
,TOTAL,,464,"$793,333.06 ","$627,890.52 "
21081,AS,,1,$194.17 ,$155.34 
,80'S,,1,$114.22 ,$91.38 
,OTHER,,222,"$341,739.05 ","$272,326.68 "
,TOTAL,,224,"$342,047.44 ","$272,573.40 "
21082,OTHER,,96,"$116,414.39 ","$92,921.83 "
,TOTAL,,96,"$116,414.39 ","$92,921.83 "
21083,OTHER,,46,"$64,771.96 ","$50,596.96 "
,TOTAL,,46,"$64,771.96 ","$50,596.96 "
21084,OTHER,,64,"$87,017.18 ","$69,164.21 "
,TOTAL,,64,"$87,017.18 ","$69,164.21 "
21085,OTHER,,"1,470","$850,839.41 ","$675,790.81 "
,TOTAL,,"1,470","$850,839.41 ","$675,790.81 "
21086,OTHER,,278,"$495,465.79 ","$394,160.63 "
,TOTAL,,278,"$495,465.79 ","$394,160.63 "
21087,OTHER,,138,"$226,905.16 ","$180,860.57 "
