CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70482,GLOBL,1929,800982.68,629444.88
RADIOLOGY,70486,TOTAL,480937.1,52246297.53,40033857.9
RADIOLOGY,70486,26,346852.1,19768581.6,15012874.33
RADIOLOGY,70486,TC,22447,4192881.96,3240262.36
RADIOLOGY,70486,GLOBL,111638,28284833.97,21780721.21
RADIOLOGY,70487,TOTAL,16038,1465933.91,1114289.12
RADIOLOGY,70487,26,14305,938356.98,704934.09
RADIOLOGY,70487,TC,391,93571.34,73553.67
RADIOLOGY,70487,GLOBL,1342,434005.59,335801.36
RADIOLOGY,70488,TOTAL,4262,709413.16,545277.43
RADIOLOGY,70488,26,2919,206514.44,156530.73
RADIOLOGY,70488,TC,221,65946.47,50761.55
RADIOLOGY,70488,GLOBL,1122,436952.25,337985.15
RADIOLOGY,70490,TOTAL,69695,7051865.22,5464873.24
RADIOLOGY,70490,26,54012,3485942.64,2691154.52
RADIOLOGY,70490,TC,3319,494344.79,384222.22
RADIOLOGY,70490,GLOBL,12364,3071577.79,2389496.5
RADIOLOGY,70491,TOTAL,234771,25695508.79,19783303.92
RADIOLOGY,70491,26,182704,12608756.5,9623688.05
RADIOLOGY,70491,TC,15420,2655026.5,2062565.36
RADIOLOGY,70491,GLOBL,36647,10431725.79,8097050.51
RADIOLOGY,70492,TOTAL,30886,5810898.89,4510467.77
RADIOLOGY,70492,26,18233,1312332.87,1008283.19
RADIOLOGY,70492,TC,1841,491195.92,384429.36
RADIOLOGY,70492,GLOBL,10812,4007370.1,3117755.22
RADIOLOGY,70496,TOTAL,148947,16844716.01,13103743.76
RADIOLOGY,70496,26,134852,11818156.4,9166831.86
RADIOLOGY,70496,TC,3439,923536.92,724456.83
RADIOLOGY,70496,GLOBL,10656,4103022.69,3212455.07
RADIOLOGY,70498,TOTAL,180559.1,24319114.03,19026227.41
RADIOLOGY,70498,26,154081.1,13551456.07,10578247.66
RADIOLOGY,70498,TC,6183,2013502.57,1583275.89
RADIOLOGY,70498,GLOBL,20295,8754155.39,6864703.86
RADIOLOGY,70540,TOTAL,12457,2720374.68,2132782.19
RADIOLOGY,70540,26,6683,455415.45,353201.23
RADIOLOGY,70540,TC,662,194883.71,152099.88
RADIOLOGY,70540,GLOBL,5112,2070075.52,1627481.08
RADIOLOGY,70542,TOTAL,1568,324213.56,252888.55
RADIOLOGY,70542,26,1060,87323.86,67683.99
RADIOLOGY,70542,TC,39,15053.19,11912.94
RADIOLOGY,70542,GLOBL,469,221836.51,173291.62
RADIOLOGY,70543,TOTAL,53806,18082827.29,14205216.78
RADIOLOGY,70543,26,31432,3408362.36,2632133.76
RADIOLOGY,70543,TC,3043,1607152.63,1266538.74
RADIOLOGY,70543,GLOBL,19331,13067312.3,10306544.28
RADIOLOGY,70544,TOTAL,336725,39936938.8,31363372.25
RADIOLOGY,70544,26,279926,16913918.53,13211473.22
RADIOLOGY,70544,TC,10703,3614060.78,2850684.97
RADIOLOGY,70544,GLOBL,46096,19408959.49,15301214.06
RADIOLOGY,70545,TOTAL,3615,499896.72,392204.36
RADIOLOGY,70545,26,2909,176037.91,137114.34
RADIOLOGY,70545,TC,155,62282.86,49348.18
RADIOLOGY,70545,GLOBL,551,261575.95,205741.84
RADIOLOGY,70546,TOTAL,15010,3147454.66,2470946.52
RADIOLOGY,70546,26,11605,1056831.08,821741.45
RADIOLOGY,70546,TC,715,366541.27,288468.46
RADIOLOGY,70546,GLOBL,2690,1724082.31,1360736.61
RADIOLOGY,70547,TOTAL,98727,13129574.85,10356358.37
RADIOLOGY,70547,26,77745,4739052.81,3717480.42
RADIOLOGY,70547,TC,3589,1139482.03,902857.78
RADIOLOGY,70547,GLOBL,17393,7251040.01,5736020.17
RADIOLOGY,70548,TOTAL,36812,3449285.11,2707343.08
RADIOLOGY,70548,26,33489,2015831.19,1577342.75
RADIOLOGY,70548,TC,670,250801.9,196950.39
RADIOLOGY,70548,GLOBL,2653,1182652.02,933049.94
RADIOLOGY,70549,TOTAL,91198,18491898.42,14568604.63
RADIOLOGY,70549,26,72138,6531549.97,5118070.11
RADIOLOGY,70549,TC,3462,1847070.23,1463501.13
RADIOLOGY,70549,GLOBL,15598,10113278.22,7987033.39
RADIOLOGY,70551,TOTAL,898430.9,142804483.45,111160839.64
RADIOLOGY,70551,26,679608.4,50497361.72,39044317.61
RADIOLOGY,70551,TC,40296.5,13605808.71,10648543.82
RADIOLOGY,70551,GLOBL,178526,78701313.02,61467978.21
RADIOLOGY,70552,TOTAL,26676,4468109.12,3493537.68
RADIOLOGY,70552,26,21833,1967018.47,1535145.16
RADIOLOGY,70552,TC,744,315848.69,248196.72
RADIOLOGY,70552,GLOBL,4099,2185241.96,1710195.8
RADIOLOGY,70553,TOTAL,1019283.1,261288969.59,203297107.58
RADIOLOGY,70553,26,746996.1,88465535.61,68105428.07
RADIOLOGY,70553,TC,54329,28019261.6,21971205.37
RADIOLOGY,70553,GLOBL,217958,144804172.38,113220474.14
RADIOLOGY,70554,TOTAL,556,90944.78,71257.77
RADIOLOGY,70554,26,480,50967.39,39857.74
RADIOLOGY,70554,TC,19,7899.26,6189.59
RADIOLOGY,70554,GLOBL,57,32078.13,25210.44
RADIOLOGY,70555,TOTAL,171,30306.87,24048.93
RADIOLOGY,70555,26,157,20892.55,16517.46
RADIOLOGY,70555,TC,N/A,2620.86,2096.7
RADIOLOGY,70555,GLOBL,14,6793.46,5434.77
RADIOLOGY,70557,TOTAL,48,11299.01,8887.11
RADIOLOGY,70557,26,48,9388.1,7380.92
RADIOLOGY,70557,TC,N/A,213.55,148.29
RADIOLOGY,70557,GLOBL,N/A,1697.36,1357.9
RADIOLOGY,70558,TOTAL,24,3949.8,3159.82
RADIOLOGY,70558,26,24,3949.8,3159.82
RADIOLOGY,70559,TOTAL,285,46753.24,36406.46
RADIOLOGY,70559,26,285,46305.03,36112.88
RADIOLOGY,70559,GLOBL,N/A,448.21,293.58
RADIOLOGY,71010,TOTAL,19480614.9,186128654.52,143510079.14
