Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 50010 - 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,154,"$44,597","$35,554"
50955,SG,,2,$662,$530
,OTHER,,62,"$20,603","$16,483"
,TOTAL,,64,"$21,265","$17,012"
50957,SG,,1,$155,$124
,OTHER,,43,"$15,802","$12,641"
,TOTAL,,44,"$15,956","$12,765"
50959,OTHER,,12,"$2,941","$2,353"
,TOTAL,,12,"$2,941","$2,353"
50961,SG,,8,"$2,351","$1,880"
,OTHER,,108,"$33,257","$26,480"
,TOTAL,,116,"$35,607","$28,360"
50970,80'S,,3,$89,$71
,OTHER,,81,"$21,860","$17,313"
,TOTAL,,84,"$21,949","$17,384"
50972,OTHER,,87,"$26,129","$20,903"
,TOTAL,,87,"$26,129","$20,903"
50974,OTHER,,16,"$7,309","$5,848"
,TOTAL,,16,"$7,309","$5,848"
50976,SG,,1,$318,$255
,OTHER,,25,"$12,684","$10,148"
,TOTAL,,26,"$13,003","$10,402"
50978,OTHER,,2,$456,$364
,TOTAL,,2,$456,$364
50980,SG,,1,$318,$254
,OTHER,,63,"$18,305","$14,581"
,TOTAL,,64,"$18,623","$14,835"
51000,OTHER,,287,"$13,179","$10,177"
,TOTAL,,287,"$13,179","$10,177"
51005,SG,,1,$321,$257
,OTHER,,598,"$40,984","$32,033"
,TOTAL,,599,"$41,305","$32,290"
51010,SG,,149,"$37,551","$29,936"
,OTHER,,"14,900","$2,555,552","$2,019,217"
,TOTAL,,"15,049","$2,593,102","$2,049,154"
51020,SG,,10,"$5,952","$4,762"
,80'S,,14,$611,$489
,OTHER,,175,"$66,780","$52,931"
,TOTAL,,199,"$73,343","$58,182"
51030,OTHER,,29,"$9,719","$7,490"
,TOTAL,,29,"$9,719","$7,490"
51040,SG,,97,"$57,495","$45,927"
,80'S,,506,"$19,464","$15,374"
,OTHER,,"7,031","$2,022,859","$1,607,016"
,TOTAL,,"7,634","$2,099,818","$1,668,316"
51045,SG,,24,"$13,478","$10,504"
,80'S,,80,"$3,665","$2,879"
,OTHER,,"1,241","$439,576","$348,268"
,TOTAL,,"1,345","$456,718","$361,651"
51050,80'S,,154,"$10,285","$8,099"
,OTHER,,"1,213","$481,453","$381,156"
,TOTAL,,"1,367","$491,739","$389,255"
51060,80'S,,1,$47,$38
,OTHER,,32,"$18,534","$14,765"
,TOTAL,,33,"$18,582","$14,803"
51065,80'S,,1,$45,$36
,OTHER,,168,"$65,270","$51,201"
,TOTAL,,169,"$65,314","$51,237"
51080,80'S,,15,$821,$657
,OTHER,,105,"$36,584","$29,112"
,TOTAL,,120,"$37,405","$29,768"
51500,80'S,,12,$868,$695
,OTHER,,72,"$34,266","$27,346"
,TOTAL,,84,"$35,134","$28,041"
51520,80'S,,14,$878,$703
,OTHER,,66,"$32,479","$25,930"
,TOTAL,,80,"$33,357","$26,633"
51525,80'S,,175,"$20,731","$16,585"
,OTHER,,346,"$245,697","$195,926"
,TOTAL,,521,"$266,428","$212,511"
51530,80'S,,44,"$4,330","$3,464"
,OTHER,,159,"$96,584","$77,107"
,TOTAL,,203,"$100,914","$80,571"
51535,80'S,,13,"$1,404","$1,123"
,OTHER,,93,"$63,666","$49,901"
,TOTAL,,106,"$65,071","$51,024"
51550,80'S,,424,"$57,431","$45,824"
,OTHER,,"1,199","$877,184","$694,982"
,TOTAL,,"1,623","$934,614","$740,806"
51555,80'S,,225,"$44,077","$35,219"
,OTHER,,528,"$613,641","$487,300"
,TOTAL,,753,"$657,719","$522,519"
51565,80'S,,53,"$11,046","$8,837"
,OTHER,,136,"$174,410","$138,342"
,TOTAL,,189,"$185,456","$147,179"
