Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L5000 - L9900,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L5982,TOTAL,,132,"$70,055.57 ","$55,732.45 "
L5984,TOTAL,,"3,200","$1,626,187.50 ","$1,282,248.90 "
L5985,TOTAL,,"1,032","$234,012.58 ","$185,471.56 "
L5986,TOTAL,,"10,073","$5,590,351.40 ","$4,414,216.08 "
L5987,TOTAL,,"1,636","$9,370,791.72 ","$7,323,450.78 "
L5988,TOTAL,,"2,026","$3,238,808.01 ","$2,548,170.08 "
L5990,TOTAL,,446,"$645,661.02 ","$509,984.38 "
L5995,TOTAL,,236,"$132,235.37 ","$102,542.18 "
L5999,TOTAL,,"1,446","$671,807.50 ","$534,065.08 "
L6000,TOTAL,,9,"$8,494.40 ","$6,707.53 "
L6010,TOTAL,,9,"$12,214.82 ","$9,771.87 "
L6020,TOTAL,,485,"$10,613.33 ","$8,314.66 "
L6025,TOTAL,,7,"$44,445.88 ","$35,556.71 "
L6050,TOTAL,,43,"$62,837.95 ","$46,200.99 "
L6055,TOTAL,,65,"$163,569.35 ","$128,475.73 "
L6100,TOTAL,,247,"$428,830.26 ","$333,710.96 "
L6110,TOTAL,,119,"$214,596.79 ","$168,241.55 "
L6120,TOTAL,,15,"$31,341.18 ","$24,984.97 "
L6130,TOTAL,,4,"$9,423.17 ","$7,478.31 "
L6200,TOTAL,,17,"$27,681.61 ","$21,871.41 "
L6205,TOTAL,,5,"$12,205.65 ","$9,764.52 "
L6250,TOTAL,,112,"$277,890.37 ","$219,378.40 "
L6300,TOTAL,,12,"$25,122.26 ","$19,992.99 "
L6310,TOTAL,,2,"$5,141.47 ","$4,025.18 "
L6320,TOTAL,,7,"$9,450.04 ","$6,668.96 "
L6350,TOTAL,,5,"$14,384.29 ","$11,507.43 "
L6360,TOTAL,,3,"$9,636.82 ","$7,533.45 "
L6370,TOTAL,,51,"$107,991.04 ","$85,849.15 "
L6400,TOTAL,,29,"$61,458.68 ","$48,943.35 "
L6450,TOTAL,,6,"$16,362.30 ","$13,089.83 "
L6500,TOTAL,,31,"$81,655.56 ","$65,324.50 "
L6550,TOTAL,,11,"$37,424.33 ","$29,897.65 "
L6570,TOTAL,,6,"$21,331.76 ","$16,977.41 "
L6580,TOTAL,,5,"$7,530.88 ","$6,024.70 "
L6582,TOTAL,,1,"$1,367.75 ","$1,094.20 "
L6584,TOTAL,,4,"$7,717.25 ","$6,173.81 "
L6586,TOTAL,,1,"$1,781.35 ","$1,425.08 "
L6588,TOTAL,,1,"$2,551.00 ","$2,040.80 "
L6590,TOTAL,,1,"$2,504.90 ","$1,915.92 "
L6600,TOTAL,,194,"$37,590.82 ","$30,072.74 "
L6605,TOTAL,,65,"$11,120.59 ","$8,808.44 "
L6610,TOTAL,,30,"$4,687.62 ","$3,373.92 "
L6615,TOTAL,,243,"$38,124.16 ","$30,088.78 "
L6616,TOTAL,,191,"$10,915.99 ","$8,526.41 "
L6620,TOTAL,,101,"$27,395.97 ","$21,916.88 "
L6623,TOTAL,,102,"$68,315.18 ","$54,124.32 "
L6625,TOTAL,,6,"$3,270.08 ","$2,616.07 "
L6628,TOTAL,,44,"$14,598.90 ","$11,420.13 "
L6629,TOTAL,,198,"$25,712.28 ","$20,378.17 "
L6630,TOTAL,,187,"$35,769.53 ","$27,655.84 "
L6632,TOTAL,,146,"$7,956.02 ","$5,819.47 "
L6635,TOTAL,,91,"$14,583.68 ","$11,490.92 "
L6637,TOTAL,,18,"$5,813.75 ","$4,650.98 "
L6638,TOTAL,,19,"$38,171.34 ","$30,537.08 "
L6640,TOTAL,,7,"$1,557.23 ","$1,245.77 "
L6641,TOTAL,,150,"$21,630.98 ","$16,686.83 "
L6642,TOTAL,,2,$383.33 ,$306.66 
L6645,TOTAL,,17,"$5,042.35 ","$3,986.35 "
L6646,TOTAL,,8,"$20,226.27 ","$16,181.02 "
L6647,TOTAL,,7,"$2,894.08 ","$2,315.26 "
L6648,TOTAL,,2,"$5,184.85 ","$4,147.88 "
L6650,TOTAL,,14,"$4,480.32 ","$3,496.26 "
L6655,TOTAL,,260,"$17,769.11 ","$13,010.06 "
L6660,TOTAL,,805,"$66,678.37 ","$49,055.36 "
L6665,TOTAL,,322,"$12,605.60 ","$9,878.54 "
L6670,TOTAL,,150,"$6,500.58 ","$5,000.90 "
L6672,TOTAL,,175,"$28,469.59 ","$22,218.17 "
L6675,TOTAL,,491,"$49,659.82 ","$37,813.17 "
L6676,TOTAL,,215,"$22,816.87 ","$17,677.84 "
L6680,TOTAL,,752,"$165,665.62 ","$129,250.26 "
L6682,TOTAL,,332,"$79,082.33 ","$62,849.39 "
L6684,TOTAL,,68,"$21,656.65 ","$17,318.57 "
L6686,TOTAL,,133,"$75,933.84 ","$59,755.52 "
L6687,TOTAL,,219,"$105,452.94 ","$82,358.65 "
L6688,TOTAL,,110,"$54,784.21 ","$43,410.43 "
L6689,TOTAL,,82,"$45,561.96 ","$36,185.47 "
L6690,TOTAL,,9,"$5,619.65 ","$4,495.72 "
L6691,TOTAL,,99,"$30,847.25 ","$24,055.56 "
L6692,TOTAL,,198,"$92,363.17 ","$72,825.80 "
L6693,TOTAL,,53,"$120,265.90 ","$94,832.05 "
L6694,TOTAL,,93,"$50,030.13 ","$39,969.76 "
L6695,TOTAL,,7,"$3,214.59 ","$2,222.05 "
L6696,TOTAL,,8,"$7,723.57 ","$5,508.88 "
L6697,TOTAL,,5,"$4,809.13 ","$3,847.31 "
L6698,TOTAL,,45,"$17,894.79 ","$14,315.90 "
L6700,TOTAL,,7,"$2,905.28 ","$2,311.64 "
L6705,TOTAL,,33,"$9,222.22 ","$7,372.04 "
L6710,TOTAL,,134,"$42,159.42 ","$32,243.21 "
L6715,TOTAL,,340,"$60,624.84 ","$47,872.78 "
L6720,TOTAL,,11,"$8,737.43 ","$6,989.97 "
L6725,TOTAL,,60,"$22,783.43 ","$17,408.56 "
L6730,TOTAL,,51,"$29,534.80 ","$23,279.10 "
L6735,TOTAL,,4,"$1,017.54 ",$670.20 
L6740,TOTAL,,3,$898.07 ,$718.46 
L6745,TOTAL,,9,"$2,888.40 ","$2,310.72 "
L6750,TOTAL,,1,$314.81 ,$251.85 
L6755,TOTAL,,6,"$1,863.62 ","$1,435.37 "
L6770,TOTAL,,3,$947.12 ,$757.69 
L6775,TOTAL,,13,"$4,719.58 ","$3,768.17 "
L6780,TOTAL,,15,"$5,971.73 ","$4,576.70 "
L6795,TOTAL,,10,"$10,868.04 ","$8,694.43 "
L6800,TOTAL,,10,"$8,045.49 ","$6,348.40 "
L6805,TOTAL,,23,"$7,483.02 ","$5,986.43 "
L6806,TOTAL,,10,"$12,955.86 ","$10,364.67 "
L6807,TOTAL,,4,"$5,531.84 ","$4,337.47 "
L6808,TOTAL,,2,"$1,804.78 ","$1,443.81 "
L6810,TOTAL,,24,"$3,830.34 ","$3,064.28 "
L6825,TOTAL,,34,"$32,236.38 ","$25,718.95 "
L6830,TOTAL,,17,"$21,362.43 ","$17,089.98 "
L6835,TOTAL,,10,"$10,892.31 ","$8,713.83 "
L6840,TOTAL,,8,"$5,809.75 ","$4,644.06 "
L6845,TOTAL,,7,"$5,390.55 ","$4,312.44 "
L6850,TOTAL,,4,"$2,390.08 ","$1,912.07 "
L6855,TOTAL,,2,"$1,405.38 ","$1,124.30 "
L6860,TOTAL,,12,"$6,629.46 ","$5,303.55 "
L6865,TOTAL,,119,"$34,521.89 ","$27,617.54 "
L6870,TOTAL,,1,$211.06 ,$168.85 
L6875,TOTAL,,12,"$8,411.77 ","$6,667.89 "
L6880,TOTAL,,52,"$24,766.17 ","$19,483.47 "
L6881,TOTAL,,109,"$358,185.40 ","$281,728.94 "
L6882,TOTAL,,222,"$550,630.26 ","$437,221.25 "
L6890,TOTAL,,760,"$124,901.65 ","$96,218.59 "
L6895,TOTAL,,316,"$135,599.12 ","$107,089.54 "
L6900,TOTAL,,13,"$17,088.49 ","$12,568.51 "
L6905,TOTAL,,17,"$23,312.67 ","$18,474.15 "
