Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 80048 - 89342,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
82387,GLOBL,,22,$615.96 ,$613.05 
,TOTAL,,22,$615.96 ,$613.05 
82390,GLOBL,,"17,230","$255,775.19 ","$255,266.73 "
,TOTAL,,"17,230","$255,775.19 ","$255,266.73 "
82397,GLOBL,,"10,337","$161,672.25 ","$160,867.28 "
,TOTAL,,"10,337","$161,672.25 ","$160,867.28 "
82415,GLOBL,,7,$112.19 ,$112.19 
,TOTAL,,7,$112.19 ,$112.19 
82435,GLOBL,,"435,811","$542,542.65 ","$541,693.96 "
,TOTAL,,"435,811","$542,542.65 ","$541,693.96 "
82436,GLOBL,,"16,208","$110,214.64 ","$109,751.30 "
,TOTAL,,"16,208","$110,214.64 ","$109,751.30 "
82438,GLOBL,,215,"$1,365.61 ","$1,365.61 "
,TOTAL,,215,"$1,365.61 ","$1,365.61 "
82441,GLOBL,,551,"$4,101.98 ","$4,101.98 "
,TOTAL,,551,"$4,101.98 ","$4,101.98 "
82465,TC,,1,$6.08 ,$6.08 
,GLOBL,,"1,021,951","$3,142,710.15 ","$3,136,095.60 "
,TOTAL,,"1,021,952","$3,142,716.23 ","$3,136,101.68 "
82480,GLOBL,,543,"$5,801.22 ","$5,800.12 "
,TOTAL,,543,"$5,801.22 ","$5,800.12 "
82482,GLOBL,,440,"$4,575.58 ","$4,566.02 "
,TOTAL,,440,"$4,575.58 ","$4,566.02 "
82485,GLOBL,,38,$712.81 ,$679.89 
,TOTAL,,38,$712.81 ,$679.89 
82486,GLOBL,,"3,047","$76,000.09 ","$75,864.39 "
,TOTAL,,"3,047","$76,000.09 ","$75,864.39 "
82487,GLOBL,,3,$60.06 ,$60.06 
,TOTAL,,3,$60.06 ,$60.06 
82488,GLOBL,,1,$28.70 ,$28.70 
,TOTAL,,1,$28.70 ,$28.70 
82489,GLOBL,,365,"$7,852.21 ","$7,826.35 "
,TOTAL,,365,"$7,852.21 ","$7,826.35 "
82491,GLOBL,,"33,947","$638,638.36 ","$636,492.91 "
,TOTAL,,"33,947","$638,638.36 ","$636,492.91 "
82492,GLOBL,,"4,050","$97,263.29 ","$96,947.92 "
,TOTAL,,"4,050","$97,263.29 ","$96,947.92 "
82495,GLOBL,,581,"$11,291.62 ","$11,270.98 "
,TOTAL,,581,"$11,291.62 ","$11,270.98 "
82507,GLOBL,,"20,059","$683,358.99 ","$680,468.96 "
,TOTAL,,"20,059","$683,358.99 ","$680,468.96 "
82520,GLOBL,,"33,188","$701,047.09 ","$696,391.28 "
,TOTAL,,"33,188","$701,047.09 ","$696,391.28 "
82523,GLOBL,,"41,178","$888,587.32 ","$886,856.85 "
,TOTAL,,"41,178","$888,587.32 ","$886,856.85 "
82525,GLOBL,,"6,237","$102,194.46 ","$102,042.94 "
,TOTAL,,"6,237","$102,194.46 ","$102,042.94 "
82528,GLOBL,,78,"$2,410.20 ","$2,410.20 "
,TOTAL,,78,"$2,410.20 ","$2,410.20 "
