Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges A4000 - A7527,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A4421,TOTAL,,"15,081","$17,578.22 ","$13,763.21 "
A4422,TOTAL,,"278,296","$33,899.61 ","$25,958.93 "
A4423,TOTAL,,"256,970","$474,794.84 ","$370,805.96 "
A4424,TOTAL,,"183,281","$845,420.91 ","$650,912.49 "
A4425,TOTAL,,"742,915","$2,626,516.65 ","$2,057,266.83 "
A4426,TOTAL,,"208,856","$564,647.67 ","$434,328.06 "
A4427,TOTAL,,"132,008","$365,894.01 ","$284,341.42 "
A4428,TOTAL,,"123,478","$795,442.86 ","$614,964.15 "
A4429,TOTAL,,"93,224","$763,157.34 ","$585,316.50 "
A4430,TOTAL,,"216,873","$1,831,481.37 ","$1,412,146.60 "
A4431,TOTAL,,"65,050","$386,885.09 ","$295,764.78 "
A4432,TOTAL,,"1,475,010","$5,277,281.62 ","$4,081,056.99 "
A4433,TOTAL,,"48,339","$160,722.31 ","$124,994.22 "
A4434,TOTAL,,"32,819","$122,960.97 ","$95,809.38 "
A4450,TOTAL,,"11,814,421","$1,172,917.61 ","$912,207.51 "
A4452,TOTAL,,"8,889,253","$3,315,809.96 ","$2,627,127.71 "
A4455,TOTAL,,"75,556","$68,133.51 ","$52,087.63 "
A4462,TOTAL,,"2,844","$4,336.17 ","$3,382.55 "
A4480,TOTAL,,5,$32.24 ,$22.52 
A4481,TOTAL,,"528,241","$194,224.22 ","$145,699.38 "
A4483,TOTAL,,764,"$2,753.22 ","$2,166.01 "
A4550,TOTAL,,1,$25.00 ,$20.00 
A4556,TOTAL,,"13,640","$87,644.27 ","$49,996.82 "
A4557,TOTAL,,"15,154","$269,282.01 ","$199,410.35 "
A4558,TOTAL,,13,$88.00 ,$70.40 
A4561,TOTAL,,"12,435","$235,697.72 ","$177,495.41 "
A4562,TOTAL,,"32,205","$1,455,545.44 ","$1,111,854.75 "
A4565,TOTAL,,"25,248","$167,355.95 ","$126,575.39 "
A4570,TOTAL,,2,$34.00 ,$27.20 
A4595,TOTAL,,"283,325","$7,558,432.66 ","$5,666,122.88 "
A4605,TOTAL,,"56,792","$902,886.14 ","$718,577.16 "
A4608,TOTAL,,30,"$1,801.71 ","$1,353.37 "
A4611,TOTAL,,106,"$15,069.93 ","$11,524.75 "
A4612,TOTAL,,42,$699.42 ,$559.51 
A4613,TOTAL,,39,"$3,569.03 ","$2,855.17 "
A4614,TOTAL,,972,"$21,211.09 ","$16,542.31 "
A4615,TOTAL,,145,"$1,570.17 ","$1,247.72 "
A4616,TOTAL,,58,$18.95 ,$15.16 
A4618,TOTAL,,"11,596","$109,730.72 ","$86,501.67 "
A4619,TOTAL,,65,$78.65 ,$62.94 
A4620,TOTAL,,1,$2.30 ,$1.84 
A4623,TOTAL,,"759,869","$4,643,685.26 ","$3,679,323.59 "
A4624,TOTAL,,"2,523,926","$6,017,318.73 ","$4,771,385.08 "
A4625,TOTAL,,"86,979","$507,368.97 ","$400,017.31 "
A4626,TOTAL,,"5,306","$4,691.18 ","$3,628.34 "
A4628,TOTAL,,"113,312","$410,749.11 ","$322,835.60 "
A4629,TOTAL,,"1,580,022","$7,144,670.95 ","$5,640,262.59 "
A4630,TOTAL,,4,$21.24 ,$16.99 
A4633,TOTAL,,200,"$2,440.18 ","$1,952.16 "
A4635,TOTAL,,402,"$1,096.68 ",$778.12 
A4636,TOTAL,,422,"$1,391.68 ","$1,017.12 "
A4637,TOTAL,,"3,933","$6,869.84 ","$5,063.95 "
A4640,TOTAL,,256,"$11,974.74 ","$8,757.26 "
A4641,TOTAL,,"223,569","$28,361,792.59 ","$22,587,193.58 "
A4642,TOTAL,,64,"$20,237.94 ","$16,150.35 "
A4643,TOTAL,,"3,705","$193,846.72 ","$153,775.28 "
A4644,TOTAL,,"9,610","$341,020.09 ","$266,537.96 "
A4645,TOTAL,,"15,619","$690,487.55 ","$540,950.84 "
A4646,TOTAL,,"152,807","$9,723,373.26 ","$7,636,505.32 "
A4647,TOTAL,,338,"$1,431.25 ","$1,098.02 "
A4649,TOTAL,,"3,385","$50,685.83 ","$40,161.64 "
A4653,TOTAL,,70,"$3,090.03 ","$2,472.02 "
A4656,TOTAL,,"18,099","$13,410.27 ","$10,708.80 "
A4657,TOTAL,,"148,106","$152,899.03 ","$122,185.80 "
A4660,TOTAL,,41,"$1,976.25 ","$1,580.83 "
A4663,TOTAL,,14,"$1,241.19 ",$973.46 
A4670,TOTAL,,125,"$33,520.60 ","$26,413.78 "
A4671,TOTAL,,"316,603","$10,650,986.41 ","$8,508,382.27 "
A4672,TOTAL,,"46,455","$519,978.53 ","$415,124.40 "
A4673,TOTAL,,"31,003","$432,108.56 ","$344,606.37 "
