Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges E0100 - E2621,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
E1014,TOTAL,,60,"$11,157.84 ","$8,509.48 "
E1015,TOTAL,,281,"$28,563.55 ","$21,839.02 "
E1016,TOTAL,,996,"$125,935.29 ","$99,084.77 "
E1017,TOTAL,,2,$141.81 ,$113.45 
E1018,TOTAL,,13,"$2,622.91 ","$2,098.33 "
E1020,TOTAL,,"3,920","$372,661.63 ","$295,136.35 "
E1028,TOTAL,,"13,896","$2,639,211.71 ","$2,086,985.16 "
E1029,TOTAL,,109,"$27,632.71 ","$22,106.00 "
E1030,TOTAL,,137,"$148,071.84 ","$116,971.68 "
E1031,TOTAL,,"151,534","$5,992,008.46 ","$4,454,529.65 "
E1035,TOTAL,,"6,500","$3,354,437.37 ","$2,659,215.91 "
E1037,TOTAL,,370,"$27,395.14 ","$21,081.34 "
E1038,TOTAL,,"141,358","$3,803,446.46 ","$2,824,088.34 "
E1039,TOTAL,,472,"$11,678.62 ","$9,238.67 "
E1050,TOTAL,,16,"$1,559.89 ","$1,118.99 "
E1060,TOTAL,,77,"$8,339.87 ","$5,657.81 "
E1070,TOTAL,,14,"$1,529.74 ","$1,109.44 "
E1083,TOTAL,,13,$874.55 ,$567.03 
E1084,TOTAL,,125,"$11,236.78 ","$7,848.53 "
E1085,TOTAL,,17,"$1,081.99 ",$672.53 
E1086,TOTAL,,171,"$13,536.74 ","$8,900.99 "
E1087,TOTAL,,23,"$3,161.42 ","$2,441.16 "
E1088,TOTAL,,493,"$71,596.20 ","$51,758.62 "
E1089,TOTAL,,38,"$4,359.36 ","$3,255.70 "
E1090,TOTAL,,612,"$77,147.15 ","$54,646.85 "
E1091,TOTAL,,2,$166.74 ,$66.70 
E1092,TOTAL,,206,"$24,663.77 ","$17,520.23 "
E1093,TOTAL,,149,"$15,457.82 ","$11,469.46 "
E1100,TOTAL,,2,$207.62 ,$166.10 
E1110,TOTAL,,10,$908.94 ,$645.85 
E1130,TOTAL,,"1,012","$45,961.24 ","$30,037.69 "
E1140,TOTAL,,624,"$41,582.50 ","$27,073.52 "
E1150,TOTAL,,852,"$65,904.03 ","$44,846.27 "
E1160,TOTAL,,485,"$30,700.24 ","$20,985.77 "
E1161,TOTAL,,"5,199","$10,743,926.47 ","$8,557,983.86 "
E1170,TOTAL,,2,$151.82 ,$121.46 
E1171,TOTAL,,6,$440.94 ,$352.74 
E1172,TOTAL,,3,$279.16 ,$223.33 
E1180,TOTAL,,3,$304.02 ,$162.14 
E1190,TOTAL,,13,"$1,328.40 ",$983.13 
E1195,TOTAL,,2,$251.26 ,$201.00 
E1211,TOTAL,,8,"$3,170.12 ","$2,487.78 "
E1213,TOTAL,,2,$740.79 ,$592.63 
E1221,TOTAL,,13,$586.92 ,$333.11 
E1223,TOTAL,,11,$729.01 ,$501.33 
E1224,TOTAL,,13,$986.68 ,$686.03 
E1225,TOTAL,,"3,098","$110,763.65 ","$87,545.67 "
E1226,TOTAL,,"43,787","$9,396,618.70 ","$7,469,928.93 "
E1228,TOTAL,,6,$142.92 ,$114.32 
E1229,TOTAL,,9,"$1,890.68 ","$1,512.56 "
E1230,TOTAL,,"18,448","$35,495,852.02 ","$28,199,761.93 "
E1232,TOTAL,,17,"$17,533.87 ","$13,763.11 "
