Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges G0000 - G9036,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
G0356,TOTAL,,"650,472","$23,266,406.37 ","$18,075,208.84 "
G0357,TOTAL,,"270,462","$32,985,474.83 ","$26,185,450.71 "
G0358,TOTAL,,"409,301","$29,145,239.59 ","$23,207,061.96 "
G0359,TOTAL,,"2,237,475","$384,500,607.36 ","$305,045,695.47 "
G0360,TOTAL,,"1,733,899","$68,184,534.22 ","$54,183,769.54 "
G0361,TOTAL,,"112,400","$20,526,911.32 ","$16,350,652.01 "
G0362,TOTAL,,"679,736","$56,985,707.14 ","$45,426,216.41 "
G0363,TOTAL,,"218,311","$6,007,044.60 ","$4,580,041.48 "
G0364,TOTAL,,"63,763","$743,164.98 ","$589,695.46 "
G0365,TOTAL,,"8,459","$908,427.17 ","$721,453.66 "
G0366,TOTAL,,"19,800","$520,430.47 ","$332,367.87 "
G0367,TOTAL,,"3,790","$62,670.08 ","$38,367.62 "
G0368,TOTAL,,"3,937","$34,978.26 ","$23,677.91 "
G0369,TOTAL,,"57,027","$497,723.60 ","$382,842.43 "
G0370,TOTAL,,"1,856,453","$22,512,307.03 ","$17,638,777.77 "
G0371,TOTAL,,"5,415,308","$307,493,263.69 ","$239,880,301.03 "
G0372,TOTAL,,529,"$10,966.79 ","$8,704.95 "
G0374,TOTAL,,"29,464","$2,306,611.84 ","$1,817,656.77 "
G0375,TOTAL,,"13,483","$171,436.52 ","$132,866.44 "
G0376,TOTAL,,"5,382","$135,283.63 ","$106,192.75 "
G3001,TOTAL,,42,"$30,744.44 ","$24,595.27 "
G9001,TOTAL,,1,$1.00 ,$0.80 
G9006,TOTAL,,2,$2.00 ,$1.60 
G9017,TOTAL,,424,$306.57 ,$191.96 
G9018,TOTAL,,1,$5.43 ,
G9019,TOTAL,,23,$160.67 ,$128.53 
G9020,TOTAL,,"3,752","$6,190.80 ","$2,964.59 "
G9021,TOTAL,,"1,654,441","$71,565,672.36 ","$57,122,111.59 "
G9022,TOTAL,,"265,118","$11,479,321.68 ","$9,159,349.54 "
G9023,TOTAL,,"43,579","$1,886,270.31 ","$1,503,863.86 "
G9024,TOTAL,,"8,747","$378,625.10 ","$301,644.15 "
G9025,TOTAL,,"1,397,622","$60,465,253.14 ","$48,281,655.11 "
G9026,TOTAL,,"422,971","$18,307,682.55 ","$14,616,226.62 "
G9027,TOTAL,,"123,147","$5,327,576.36 ","$4,253,034.51 "
G9028,TOTAL,,"26,623","$1,152,097.87 ","$919,544.45 "
G9029,TOTAL,,"652,187","$28,170,196.86 ","$22,502,945.84 "
G9030,TOTAL,,"844,603","$36,549,987.10 ","$29,196,867.80 "
G9031,TOTAL,,"373,146","$16,106,749.21 ","$12,866,483.73 "
G9032,TOTAL,,"101,423","$4,384,513.35 ","$3,502,837.77 "
G9033,TOTAL,,150,$141.02 ,$112.82 
G9034,TOTAL,,1,$5.43 ,$4.34 
G9035,TOTAL,,538,"$3,760.62 ","$2,515.85 "
G9036,TOTAL,,426,$924.42 ,$192.58 
,,,,,
