Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 90281 -  99199,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
92531,TOTAL,,1,$25.00 ,$20.00 
92532,TOTAL,,1,$35.00 ,$28.00 
92541,TOTAL,,"159,994","$8,485,217.94 ","$6,632,024.61 "
92542,TOTAL,,"178,296","$9,625,793.39 ","$7,592,552.41 "
92543,TOTAL,,"467,419","$11,652,862.38 ","$9,255,805.17 "
92544,TOTAL,,"152,339","$6,566,151.66 ","$5,223,559.54 "
92545,TOTAL,,"194,779","$7,604,878.55 ","$6,051,043.11 "
92546,TOTAL,,"175,132","$14,772,286.64 ","$11,781,001.61 "
92547,TOTAL,,"319,616","$1,963,103.55 ","$1,564,831.26 "
92548,TOTAL,,"21,702","$2,247,267.63 ","$1,786,917.41 "
92551,TOTAL,,2,$70.00 ,$34.62 
92552,TOTAL,,"110,830","$2,036,170.26 ","$1,505,448.62 "
92553,TOTAL,,"56,356","$1,548,511.45 ","$1,161,791.94 "
92555,TOTAL,,"14,789","$227,596.19 ","$166,516.74 "
92556,TOTAL,,"31,164","$713,708.04 ","$519,132.52 "
92557,TOTAL,,"1,053,300","$52,231,568.19 ","$39,134,531.09 "
92561,TOTAL,,"4,640","$154,112.90 ","$121,791.82 "
92562,TOTAL,,"3,475","$64,662.33 ","$50,250.97 "
92563,TOTAL,,"35,831","$651,966.21 ","$510,327.30 "
92564,TOTAL,,"10,302","$228,110.92 ","$178,958.20 "
92565,TOTAL,,"8,615","$154,939.09 ","$121,314.12 "
92567,TOTAL,,"942,922","$20,897,989.45 ","$15,987,612.04 "
92568,TOTAL,,"361,333","$6,071,723.63 ","$4,717,101.14 "
92569,TOTAL,,"60,466","$1,064,541.55 ","$831,660.54 "
92571,TOTAL,,"1,968","$36,196.58 ","$28,309.79 "
92572,TOTAL,,144,$449.69 ,$341.56 
92573,TOTAL,,4,$64.00 ,$51.21 
92575,TOTAL,,920,"$12,262.33 ","$9,503.53 "
92576,TOTAL,,232,"$5,013.68 ","$3,931.42 "
92577,TOTAL,,"3,417","$108,366.60 ","$85,783.59 "
92579,TOTAL,,"1,113","$32,219.03 ","$22,142.25 "
92582,TOTAL,,852,"$23,940.99 ","$16,777.67 "
92583,TOTAL,,302,"$10,762.61 ","$8,111.90 "
92584,TOTAL,,"23,231","$2,466,081.90 ","$1,953,530.44 "
92585,TOTAL,,"60,227","$5,856,581.21 ","$4,609,283.22 "
92586,TOTAL,,551,"$40,759.08 ","$32,124.83 "
92587,TOTAL,,"31,078","$1,869,527.20 ","$1,457,225.95 "
92588,TOTAL,,"111,817","$8,923,751.77 ","$7,030,677.81 "
92596,TOTAL,,27,$569.15 ,$416.17 
92597,TOTAL,,"1,880","$170,586.05 ","$127,184.87 "
92601,TOTAL,,3,$475.91 ,$380.73 
92602,TOTAL,,1,$92.60 ,$74.08 
92603,TOTAL,,939,"$76,641.94 ","$57,418.75 "
92604,TOTAL,,"7,481","$391,845.34 ","$282,937.89 "
92607,TOTAL,,167,"$19,826.99 ","$15,435.60 "
92608,TOTAL,,135,"$3,474.67 ","$2,779.81 "
92609,TOTAL,,143,"$9,274.37 ","$7,201.61 "
92610,TOTAL,,"4,193","$551,267.75 ","$436,676.08 "
92611,TOTAL,,"4,283","$543,364.28 ","$425,588.84 "
92612,TOTAL,,"1,734","$228,244.08 ","$177,120.64 "
92613,TOTAL,,838,"$39,976.19 ","$31,806.30 "
92614,TOTAL,,657,"$95,506.96 ","$74,731.12 "
92615,TOTAL,,328,"$13,467.57 ","$10,639.76 "
92616,TOTAL,,"2,345","$453,093.58 ","$357,049.20 "
92617,TOTAL,,"1,091","$58,904.64 ","$46,697.51 "
92620,TOTAL,,"1,179","$53,944.39 ","$42,102.44 "
92621,TOTAL,,37,$440.69 ,$352.55 
92625,TOTAL,,"2,135","$91,876.27 ","$72,058.32 "
92700,TOTAL,,"6,399","$238,952.42 ","$187,314.54 "
92950,TOTAL,,"87,942","$16,715,800.67 ","$13,209,624.24 "
92953,TOTAL,,"1,380","$16,662.97 ","$13,262.92 "
92960,TOTAL,,"100,907","$13,434,749.01 ","$10,580,588.36 "
92961,TOTAL,,682,"$179,306.50 ","$141,949.40 "
92970,TOTAL,,87,"$15,830.84 ","$12,543.16 "
92971,TOTAL,,"4,314","$415,949.47 ","$254,259.44 "
92973,TOTAL,,"5,062","$917,524.91 ","$727,721.23 "
92974,TOTAL,,547,"$90,106.02 ","$71,700.91 "
92975,TOTAL,,952,"$212,747.99 ","$169,266.30 "
92977,TOTAL,,63,"$16,443.95 ","$12,845.92 "
92978,TOTAL,,"27,745","$2,752,370.67 ","$2,180,605.36 "
92979,TOTAL,,"3,380","$266,950.66 ","$211,681.88 "
92980,TOTAL,,"392,138","$314,124,178.62 ","$248,811,266.94 "
92981,TOTAL,,"50,992","$11,393,742.52 ","$9,046,925.46 "
92982,TOTAL,,"29,371","$16,953,238.59 ","$13,426,691.98 "
92984,TOTAL,,"8,425","$1,337,464.69 ","$1,062,192.00 "
92986,TOTAL,,652,"$867,291.98 ","$692,098.44 "
92987,TOTAL,,201,"$266,710.16 ","$212,307.02 "
92990,TOTAL,,21,"$20,507.42 ","$16,405.93 "
92992,TOTAL,,2,"$2,640.60 ","$2,112.48 "
92993,TOTAL,,1,$819.90 ,$655.92 
92995,TOTAL,,"1,192","$769,899.72 ","$611,053.05 "
92996,TOTAL,,281,"$49,096.88 ","$39,155.00 "
92997,TOTAL,,30,"$15,825.04 ","$12,626.84 "
92998,TOTAL,,3,"$1,055.37 ",$844.30 
93000,TOTAL,,"10,512,195","$289,381,894.35 ","$213,581,646.69 "
93005,TOTAL,,"1,460,249","$24,006,778.33 ","$17,880,819.44 "
93010,TOTAL,,"20,556,232","$187,391,654.83 ","$146,000,261.84 "
93012,TOTAL,,"13,175","$3,231,246.85 ","$2,539,150.65 "
93014,TOTAL,,"23,532","$631,194.47 ","$491,358.42 "
93015,TOTAL,,"2,218,153","$240,303,360.82 ","$185,906,213.80 "
93016,TOTAL,,"1,373,413","$32,856,646.18 ","$25,355,382.73 "
93017,TOTAL,,"236,212","$14,897,911.63 ","$11,680,957.88 "
93018,TOTAL,,"1,574,369","$24,908,649.76 ","$19,299,516.97 "
93024,TOTAL,,"2,558","$190,359.64 ","$150,967.90 "
93025,TOTAL,,"8,559","$2,765,044.07 ","$2,187,750.56 "
93040,TOTAL,,"142,445","$2,127,528.86 ","$1,638,405.30 "
93041,TOTAL,,"266,444","$558,632.12 ","$441,676.45 "
93042,TOTAL,,"1,452,468","$12,285,483.05 ","$9,731,863.75 "
93224,TOTAL,,"242,055","$39,313,334.89 ","$30,556,519.00 "
93225,TOTAL,,"79,956","$3,817,074.02 ","$2,941,659.23 "
93226,TOTAL,,"85,144","$7,343,193.06 ","$5,750,717.01 "
93227,TOTAL,,"289,365","$7,969,371.04 ","$6,195,161.28 "
93230,TOTAL,,"325,130","$58,828,361.64 ","$45,907,452.06 "
93231,TOTAL,,"78,931","$4,800,072.13 ","$3,717,741.00 "
93232,TOTAL,,"78,473","$7,011,723.63 ","$5,519,377.77 "
93233,TOTAL,,"146,953","$4,050,119.41 ","$3,162,689.68 "
93235,TOTAL,,"6,836","$848,258.55 ","$654,437.96 "
93236,TOTAL,,"2,554","$254,699.18 ","$197,840.90 "
93237,TOTAL,,"94,674","$2,357,293.44 ","$1,865,835.90 "
93268,TOTAL,,"35,757","$11,235,716.83 ","$8,836,793.16 "
93270,TOTAL,,"56,750","$2,753,125.97 ","$2,126,870.33 "
93271,TOTAL,,"78,904","$19,401,330.08 ","$15,296,762.72 "
93272,TOTAL,,"74,346","$2,023,803.43 ","$1,573,212.52 "
93278,TOTAL,,"8,324","$367,629.21 ","$287,554.50 "
93303,TOTAL,,"6,014","$799,697.89 ","$616,918.32 "
93304,TOTAL,,"1,056","$63,181.93 ","$48,084.35 "
93307,TOTAL,,"7,317,353","$830,452,107.02 ","$646,554,325.06 "
93308,TOTAL,,"104,935","$5,102,576.80 ","$3,985,371.13 "
93312,TOTAL,,"204,968","$24,366,507.90 ","$19,218,987.40 "
93313,TOTAL,,"22,237","$1,015,585.45 ","$807,501.77 "
93314,TOTAL,,"21,229","$1,466,654.38 ","$1,159,834.65 "
93315,TOTAL,,"1,889","$287,250.35 ","$226,314.61 "
93316,TOTAL,,168,"$7,955.15 ","$6,339.78 "
93317,TOTAL,,"1,151","$122,725.19 ","$97,347.40 "
93318,TOTAL,,"2,940","$310,711.01 ","$245,299.78 "
93320,TOTAL,,"7,535,887","$371,828,030.82 ","$294,008,634.40 "
93321,TOTAL,,"82,667","$1,728,946.96 ","$1,364,335.96 "
93325,TOTAL,,"7,470,387","$413,452,368.55 ","$327,959,784.02 "
93350,TOTAL,,"490,850","$57,434,747.89 ","$44,257,532.06 "
93501,TOTAL,,"22,687","$3,264,306.11 ","$2,565,877.20 "
93503,TOTAL,,"200,319","$28,203,936.01 ","$22,405,855.69 "
93505,TOTAL,,"16,192","$3,533,756.71 ","$2,732,992.59 "
93508,TOTAL,,"94,308","$17,368,947.94 ","$13,725,407.65 "
93510,TOTAL,,"1,007,743","$293,613,962.59 ","$231,251,893.02 "
93511,TOTAL,,883,"$261,167.28 ","$206,341.30 "
93514,TOTAL,,38,"$14,322.84 ","$11,458.27 "
93524,TOTAL,,216,"$83,348.55 ","$65,973.20 "
93526,TOTAL,,"145,861","$61,927,450.74 ","$48,958,660.47 "
93527,TOTAL,,"2,941","$1,213,164.65 ","$963,867.72 "
93528,TOTAL,,64,"$34,262.33 ","$26,721.77 "
93529,TOTAL,,121,"$36,839.59 ","$29,228.65 "
93530,TOTAL,,117,"$30,078.35 ","$23,926.27 "
93531,TOTAL,,291,"$142,230.71 ","$112,411.81 "
93532,TOTAL,,10,"$5,192.68 ","$4,154.15 "
93533,TOTAL,,53,"$22,870.75 ","$17,913.38 "
93539,TOTAL,,"190,496","$4,092,157.96 ","$3,238,518.03 "
93540,TOTAL,,"209,060","$4,802,883.02 ","$3,803,165.77 "
93541,TOTAL,,"1,646","$25,859.62 ","$20,516.83 "
93542,TOTAL,,"2,943","$46,512.03 ","$36,772.54 "
93543,TOTAL,,"1,026,746","$15,871,309.56 ","$12,577,898.65 "
93544,TOTAL,,"114,693","$1,565,861.82 ","$1,242,331.56 "
93545,TOTAL,,"1,214,635","$26,134,605.91 ","$20,718,379.35 "
93555,TOTAL,,"1,050,341","$59,381,641.21 ","$47,008,528.71 "
93556,TOTAL,,"1,204,088","$76,445,972.76 ","$60,527,072.86 "
93561,TOTAL,,"1,528","$42,257.26 ","$33,572.54 "
93562,TOTAL,,"2,538","$22,105.82 ","$17,610.42 "
93571,TOTAL,,"7,252","$697,116.98 ","$552,321.79 "
93572,TOTAL,,"1,041","$77,696.11 ","$61,428.27 "
93580,TOTAL,,"1,493","$1,483,473.93 ","$1,174,467.73 "
93581,TOTAL,,34,"$46,724.83 ","$36,970.30 "
93600,TOTAL,,"1,257","$146,021.16 ","$115,816.89 "
93602,TOTAL,,"4,137","$501,771.65 ","$399,265.84 "
93603,TOTAL,,"5,033","$616,641.65 ","$491,385.44 "
93609,TOTAL,,"14,278","$3,970,315.86 ","$3,152,701.49 "
93610,TOTAL,,"3,872","$656,058.15 ","$523,123.66 "
93612,TOTAL,,"4,871","$811,906.71 ","$647,638.73 "
93613,TOTAL,,"9,358","$3,635,116.47 ","$2,880,938.56 "
93615,TOTAL,,62,"$2,626.19 ","$1,909.77 "
93616,TOTAL,,213,"$16,105.93 ","$12,583.72 "
93618,TOTAL,,"1,103","$251,079.25 ","$199,492.07 "
93619,TOTAL,,"1,387","$569,527.34 ","$452,180.91 "
93620,TOTAL,,"51,805","$33,237,085.16 ","$26,357,975.97 "
93621,TOTAL,,"22,501","$2,567,518.28 ","$2,040,539.77 "
93622,TOTAL,,"1,297","$219,442.85 ","$174,462.16 "
93623,TOTAL,,"18,191","$2,821,670.60 ","$2,242,156.74 "
93624,TOTAL,,720,"$191,053.46 ","$152,086.65 "
93631,TOTAL,,294,"$120,365.28 ","$95,457.96 "
93640,TOTAL,,"3,852","$736,126.32 ","$585,283.25 "
93641,TOTAL,,"98,648","$31,453,184.96 ","$24,935,094.19 "
93642,TOTAL,,"18,834","$5,411,142.05 ","$4,271,587.21 "
93650,TOTAL,,"10,066","$5,935,253.36 ","$4,717,023.94 "
93651,TOTAL,,"22,695","$20,383,152.88 ","$16,156,428.66 "
93652,TOTAL,,"1,424","$1,394,972.05 ","$1,106,201.53 "
93660,TOTAL,,"38,785","$4,136,806.54 ","$3,236,702.72 "
93662,TOTAL,,"2,854","$437,309.38 ","$345,858.92 "
93701,TOTAL,,"571,588","$21,048,970.02 ","$16,063,990.79 "
93720,TOTAL,,"42,369","$1,657,855.76 ","$1,280,678.62 "
93721,TOTAL,,"3,489","$97,754.57 ","$74,172.91 "
93722,TOTAL,,"25,104","$218,209.70 ","$168,013.42 "
93724,TOTAL,,"1,888","$523,795.77 ","$410,133.03 "
93727,TOTAL,,"11,178","$311,258.10 ","$229,350.93 "
93731,TOTAL,,"802,653","$30,382,378.39 ","$22,095,856.10 "
93732,TOTAL,,"468,225","$29,064,266.97 ","$21,464,704.59 "
93733,TOTAL,,"2,036,025","$62,965,575.14 ","$45,549,106.83 "
93734,TOTAL,,"250,039","$7,377,584.75 ","$5,362,685.99 "
93735,TOTAL,,"89,866","$4,586,631.15 ","$3,391,882.27 "
93736,TOTAL,,"777,145","$21,233,618.87 ","$15,390,501.74 "
93741,TOTAL,,"165,356","$10,080,230.13 ","$7,346,799.70 "
93742,TOTAL,,"53,116","$3,478,923.93 ","$2,574,790.34 "
93743,TOTAL,,"338,356","$25,122,465.26 ","$18,668,595.91 "
93744,TOTAL,,"202,849","$16,350,227.27 ","$12,303,142.09 "
93745,TOTAL,,55,"$4,112.63 ","$3,137.77 "
93784,TOTAL,,"18,448","$1,391,216.24 ","$1,054,767.61 "
93786,TOTAL,,"2,118","$69,222.31 ","$52,144.40 "
93788,TOTAL,,"1,211","$21,398.29 ","$16,527.84 "
93790,TOTAL,,"3,844","$75,299.30 ","$57,157.13 "
93797,TOTAL,,"21,807","$311,156.86 ","$239,526.98 "
93798,TOTAL,,"283,747","$7,165,226.11 ","$5,581,215.83 "
93799,TOTAL,,"44,020","$13,694,524.38 ","$10,900,016.12 "
93875,TOTAL,,"171,267","$12,904,853.27 ","$10,187,569.68 "
93880,TOTAL,,"3,218,839","$418,138,657.74 ","$325,937,544.34 "
93882,TOTAL,,"49,459","$5,581,086.95 ","$4,274,112.02 "
93886,TOTAL,,"105,094","$22,529,173.66 ","$17,852,531.64 "
93888,TOTAL,,"21,074","$2,275,442.17 ","$1,803,491.46 "
