Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 40490 - 49999,,,,,
,BESS REPORTS,CODE RANGES,,,
41114,SG,,22,"$8,324.17 ","$6,659.35 "
,OTHER,,194,"$103,816.53 ","$82,033.62 "
,TOTAL,,216,"$112,140.70 ","$88,692.97 "
41115,OTHER,,47,"$7,056.82 ","$5,438.48 "
,TOTAL,,47,"$7,056.82 ","$5,438.48 "
41116,SG,,94,"$25,895.67 ","$20,218.02 "
,80'S,,1,$33.84 ,$27.07 
,OTHER,,"1,383","$267,537.33 ","$210,017.59 "
,TOTAL,,"1,478","$293,466.84 ","$230,262.68 "
41120,SG,,106,"$73,239.66 ","$58,263.78 "
,80'S,,72,"$9,926.71 ","$7,621.18 "
,OTHER,,"1,599","$1,453,532.23 ","$1,142,440.31 "
,TOTAL,,"1,777","$1,536,698.60 ","$1,208,325.27 "
41130,80'S,,40,"$5,857.40 ","$4,678.31 "
,OTHER,,324,"$308,412.77 ","$246,211.24 "
,TOTAL,,364,"$314,270.17 ","$250,889.55 "
41135,80'S,,40,"$11,178.10 ","$8,942.53 "
,OTHER,,342,"$586,974.14 ","$462,654.95 "
,TOTAL,,382,"$598,152.24 ","$471,597.48 "
41140,80'S,,2,$478.99 ,$383.19 
,OTHER,,18,"$33,304.31 ","$26,643.45 "
,TOTAL,,20,"$33,783.30 ","$27,026.64 "
41145,80'S,,4,"$1,437.84 ","$1,150.26 "
,OTHER,,38,"$85,472.84 ","$68,378.32 "
,TOTAL,,42,"$86,910.68 ","$69,528.58 "
41150,80'S,,26,"$7,107.91 ","$5,686.37 "
,OTHER,,295,"$519,578.41 ","$412,732.11 "
,TOTAL,,321,"$526,686.32 ","$418,418.48 "
41153,80'S,,33,"$9,587.11 ","$7,669.69 "
,OTHER,,159,"$289,970.52 ","$230,536.18 "
,TOTAL,,192,"$299,557.63 ","$238,205.87 "
41155,80'S,,46,"$14,403.09 ","$11,522.47 "
,OTHER,,441,"$874,655.88 ","$694,437.20 "
,TOTAL,,487,"$889,058.97 ","$705,959.67 "
41250,SG,,2,$632.71 ,$506.16 
,80'S,,1,$9.93 ,$7.94 
,OTHER,,579,"$71,728.18 ","$56,123.93 "
,TOTAL,,582,"$72,370.82 ","$56,638.03 "
41251,SG,,1,$433.19 ,$346.55 
,OTHER,,29,"$4,561.81 ","$3,554.19 "
,TOTAL,,30,"$4,995.00 ","$3,900.74 "
41252,SG,,2,$815.24 ,$652.19 
,80'S,,1,$34.69 ,$27.75 
,OTHER,,167,"$31,006.13 ","$24,428.60 "
,TOTAL,,170,"$31,856.06 ","$25,108.54 "
41500,OTHER,,12,"$3,623.63 ","$2,626.48 "
,TOTAL,,12,"$3,623.63 ","$2,626.48 "
41510,OTHER,,4,"$1,356.43 ","$1,085.15 "
,TOTAL,,4,"$1,356.43 ","$1,085.15 "
41520,SG,,4,"$1,347.20 ","$1,077.75 "
,OTHER,,53,"$13,026.59 ","$10,421.34 "
,TOTAL,,57,"$14,373.79 ","$11,499.09 "
41599,OTHER,,95,"$26,557.39 ","$21,245.93 "
,TOTAL,,95,"$26,557.39 ","$21,245.93 "
41800,SG,,6,"$1,759.37 ","$1,407.50 "
,OTHER,,516,"$48,978.28 ","$37,045.60 "
,TOTAL,,522,"$50,737.65 ","$38,453.10 "
41805,OTHER,,124,"$14,614.87 ","$11,429.14 "
,TOTAL,,124,"$14,614.87 ","$11,429.14 "
41806,OTHER,,133,"$25,693.45 ","$19,844.13 "
,TOTAL,,133,"$25,693.45 ","$19,844.13 "
41820,OTHER,,16,$436.50 ,$349.21 
,TOTAL,,16,$436.50 ,$349.21 
41822,OTHER,,15,"$2,840.26 ","$2,220.72 "
,TOTAL,,15,"$2,840.26 ","$2,220.72 "
41823,OTHER,,53,"$13,921.83 ","$10,909.44 "
,TOTAL,,53,"$13,921.83 ","$10,909.44 "
41825,OTHER,,883,"$129,160.47 ","$99,459.28 "
,TOTAL,,883,"$129,160.47 ","$99,459.28 "
41826,OTHER,,"1,006","$171,080.14 ","$132,143.20 "
,TOTAL,,"1,006","$171,080.14 ","$132,143.20 "
41827,SG,,21,"$9,151.55 ","$7,262.16 "
,OTHER,,382,"$101,864.68 ","$79,128.56 "
,TOTAL,,403,"$111,016.23 ","$86,390.72 "
41828,OTHER,,70,"$17,644.29 ","$13,931.99 "
,TOTAL,,70,"$17,644.29 ","$13,931.99 "
41830,OTHER,,129,"$31,665.34 ","$24,647.96 "
,TOTAL,,129,"$31,665.34 ","$24,647.96 "
41850,OTHER,,8,$735.98 ,$505.96 
,TOTAL,,8,$735.98 ,$505.96 
41872,OTHER,,3,$685.47 ,$548.38 
,TOTAL,,3,$685.47 ,$548.38 
41874,80'S,,1,$40.16 ,$32.13 
,OTHER,,"1,015","$166,961.59 ","$132,453.64 "
,TOTAL,,"1,016","$167,001.75 ","$132,485.77 "
41899,OTHER,,"2,542","$148,256.57 ","$118,372.58 "
,TOTAL,,"2,542","$148,256.57 ","$118,372.58 "
42000,SG,,2,$866.84 ,$693.48 
,OTHER,,74,"$8,598.59 ","$6,539.70 "
,TOTAL,,76,"$9,465.43 ","$7,233.18 "
42100,OTHER,,"3,222","$378,362.42 ","$290,285.86 "
,TOTAL,,"3,222","$378,362.42 ","$290,285.86 "
42104,OTHER,,"1,641","$231,181.00 ","$177,699.85 "
,TOTAL,,"1,641","$231,181.00 ","$177,699.85 "
42106,SG,,1,$441.85 ,$353.48 
,OTHER,,"1,239","$237,882.93 ","$183,801.70 "
,TOTAL,,"1,240","$238,324.78 ","$184,155.18 "
42107,SG,,26,"$11,098.04 ","$8,878.44 "
,OTHER,,210,"$69,929.22 ","$54,668.38 "
,TOTAL,,236,"$81,027.26 ","$63,546.82 "
42120,SG,,40,"$24,133.92 ","$19,260.29 "
,80'S,,25,"$2,038.18 ","$1,630.51 "
,OTHER,,570,"$317,783.42 ","$252,950.90 "
,TOTAL,,635,"$343,955.52 ","$273,841.70 "
42140,SG,,111,"$32,485.36 ","$25,397.49 "
,OTHER,,596,"$69,660.61 ","$54,231.63 "
,TOTAL,,707,"$102,145.97 ","$79,629.12 "
42145,SG,,266,"$176,011.35 ","$137,396.28 "
,OTHER,,"2,662","$1,436,282.57 ","$1,127,043.87 "
,TOTAL,,"2,928","$1,612,293.92 ","$1,264,440.15 "
42160,OTHER,,172,"$31,176.39 ","$24,339.90 "
,TOTAL,,172,"$31,176.39 ","$24,339.90 "
42180,SG,,2,$481.44 ,$385.15 
,OTHER,,29,"$4,849.59 ","$3,879.66 "
,TOTAL,,31,"$5,331.03 ","$4,264.81 "
42182,OTHER,,21,"$4,573.88 ","$3,659.12 "
,TOTAL,,21,"$4,573.88 ","$3,659.12 "
42200,SG,,1,$590.53 ,$472.42 
,80'S,,1,$132.84 ,$106.27 
,OTHER,,18,"$12,987.81 ","$10,390.23 "
,TOTAL,,20,"$13,711.18 ","$10,968.92 "
42205,OTHER,,5,"$3,784.58 ","$2,939.66 "
,TOTAL,,5,"$3,784.58 ","$2,939.66 "
42210,OTHER,,7,"$6,240.88 ","$4,992.70 "
,TOTAL,,7,"$6,240.88 ","$4,992.70 "
42215,80'S,,2,$149.50 ,$119.60 
,OTHER,,16,"$9,999.02 ","$7,999.21 "
,TOTAL,,18,"$10,148.52 ","$8,118.81 "
42220,OTHER,,6,"$1,485.33 ","$1,100.27 "
,TOTAL,,6,"$1,485.33 ","$1,100.27 "
42225,80'S,,2,$243.02 ,$194.41 
,OTHER,,11,"$9,453.74 ","$7,515.19 "
,TOTAL,,13,"$9,696.76 ","$7,709.60 "
42226,SG,,1,$753.85 ,$603.08 
,80'S,,1,$160.41 ,$128.33 
,OTHER,,7,"$6,119.89 ","$4,814.90 "
,TOTAL,,9,"$7,034.15 ","$5,546.31 "
42227,OTHER,,2,$980.92 ,$784.74 
,TOTAL,,2,$980.92 ,$784.74 
42235,SG,,1,$715.00 ,$572.00 
,80'S,,1,$153.21 ,$122.57 
,OTHER,,11,"$6,280.94 ","$5,024.75 "
,TOTAL,,13,"$7,149.15 ","$5,719.32 "
42260,SG,,2,"$1,245.72 ",$996.58 
,OTHER,,12,"$6,794.06 ","$5,241.73 "
,TOTAL,,14,"$8,039.78 ","$6,238.31 "
42280,OTHER,,124,"$13,164.68 ","$10,288.04 "
,TOTAL,,124,"$13,164.68 ","$10,288.04 "
42281,OTHER,,44,"$3,620.62 ","$2,896.48 "
,TOTAL,,44,"$3,620.62 ","$2,896.48 "
42299,OTHER,,33,"$11,628.55 ","$9,279.38 "
,TOTAL,,33,"$11,628.55 ","$9,279.38 "
42300,SG,,2,$484.73 ,$387.79 
,OTHER,,251,"$40,135.50 ","$31,477.17 "
,TOTAL,,253,"$40,620.23 ","$31,864.96 "
42305,SG,,9,"$3,997.97 ","$3,198.38 "
,80'S,,2,$142.47 ,$113.97 
,OTHER,,164,"$65,021.77 ","$51,559.75 "
,TOTAL,,175,"$69,162.21 ","$54,872.10 "
42310,SG,,4,"$1,303.48 ","$1,042.78 "
,OTHER,,122,"$15,067.61 ","$11,486.66 "
,TOTAL,,126,"$16,371.09 ","$12,529.44 "
42320,SG,,2,$672.60 ,$538.08 
,OTHER,,47,"$7,096.54 ","$5,677.26 "
,TOTAL,,49,"$7,769.14 ","$6,215.34 "
42325,SG,,1,$427.93 ,$54.20 
,OTHER,,17,"$4,049.30 ","$2,951.21 "
,TOTAL,,18,"$4,477.23 ","$3,005.41 "
42326,OTHER,,1,$261.16 ,$208.93 
,TOTAL,,1,$261.16 ,$208.93 
42330,OTHER,,"1,264","$242,418.43 ","$186,511.03 "
,TOTAL,,"1,264","$242,418.43 ","$186,511.03 "
42335,OTHER,,473,"$128,661.95 ","$100,830.82 "
,TOTAL,,473,"$128,661.95 ","$100,830.82 "
42340,SG,,5,"$1,967.24 ","$1,573.79 "
,OTHER,,82,"$27,550.88 ","$21,509.69 "
,TOTAL,,87,"$29,518.12 ","$23,083.48 "
42400,OTHER,,"2,037","$166,045.64 ","$128,527.78 "
,TOTAL,,"2,037","$166,045.64 ","$128,527.78 "
42405,SG,,66,"$24,099.83 ","$19,173.30 "
,OTHER,,718,"$166,863.10 ","$130,813.74 "
,TOTAL,,784,"$190,962.93 ","$149,987.04 "
42408,SG,,4,"$1,755.68 ","$1,404.55 "
,OTHER,,98,"$32,225.63 ","$25,273.75 "
,TOTAL,,102,"$33,981.31 ","$26,678.30 "
42409,SG,,3,"$1,559.60 ","$1,247.68 "
,80'S,,1,$31.57 ,$25.26 
,OTHER,,75,"$17,683.34 ","$13,892.18 "
,TOTAL,,79,"$19,274.51 ","$15,165.12 "
42410,SG,,121,"$58,369.32 ","$45,588.24 "
,80'S,,111,"$10,520.92 ","$8,265.80 "
,OTHER,,986,"$555,922.41 ","$440,082.16 "
,TOTAL,,"1,218","$624,812.65 ","$493,936.20 "
42415,SG,,186,"$176,706.49 ","$138,975.03 "
,80'S,,"1,087","$185,626.82 ","$146,314.09 "
,OTHER,,"4,585","$4,800,942.64 ","$3,784,128.62 "
,TOTAL,,"5,858","$5,163,275.95 ","$4,069,417.74 "
42420,SG,,77,"$75,134.76 ","$58,825.78 "
,80'S,,376,"$76,321.05 ","$60,552.92 "
,OTHER,,"1,517","$1,852,673.38 ","$1,464,962.21 "
,TOTAL,,"1,970","$2,004,129.19 ","$1,584,340.91 "
42425,SG,,2,"$1,914.49 ","$1,531.59 "
,80'S,,19,"$2,431.30 ","$1,945.05 "
,OTHER,,184,"$118,785.32 ","$94,671.45 "
,TOTAL,,205,"$123,131.11 ","$98,148.09 "
42426,80'S,,68,"$14,266.78 ","$11,325.38 "
,OTHER,,469,"$595,448.18 ","$473,877.09 "
,TOTAL,,537,"$609,714.96 ","$485,202.47 "
42440,SG,,318,"$157,649.27 ","$123,070.20 "
,80'S,,289,"$19,930.40 ","$15,789.48 "
,OTHER,,"2,666","$1,132,897.53 ","$893,268.66 "
,TOTAL,,"3,273","$1,310,477.20 ","$1,032,128.34 "
42450,SG,,17,"$6,374.43 ","$5,011.56 "
,80'S,,3,$83.77 ,$67.01 
,OTHER,,139,"$40,086.14 ","$31,632.30 "
,TOTAL,,159,"$46,544.34 ","$36,710.87 "
42500,SG,,16,"$8,240.19 ","$6,271.59 "
,80'S,,1,$27.23 ,$21.78 
,OTHER,,163,"$47,037.82 ","$37,384.64 "
,TOTAL,,180,"$55,305.24 ","$43,678.01 "
42505,SG,,16,"$9,862.38 ","$7,889.91 "
,OTHER,,121,"$50,614.54 ","$40,200.47 "
,TOTAL,,137,"$60,476.92 ","$48,090.38 "
42507,SG,,1,$505.26 ,$404.21 
,OTHER,,10,"$4,119.57 ","$3,295.67 "
,TOTAL,,11,"$4,624.83 ","$3,699.88 "
42508,OTHER,,6,"$3,961.05 ","$3,168.85 "
,TOTAL,,6,"$3,961.05 ","$3,168.85 "
42509,80'S,,1,$136.74 ,$109.39 
,OTHER,,3,"$2,643.54 ","$2,114.83 "
,TOTAL,,4,"$2,780.28 ","$2,224.22 "
42510,OTHER,,2,"$1,033.14 ",$826.51 
,TOTAL,,2,"$1,033.14 ",$826.51 
42550,OTHER,,520,"$42,213.94 ","$32,304.96 "
,TOTAL,,520,"$42,213.94 ","$32,304.96 "
42600,SG,,3,$826.98 ,$661.58 
,OTHER,,29,"$8,894.01 ","$7,052.32 "
,TOTAL,,32,"$9,720.99 ","$7,713.90 "
42650,OTHER,,"1,185","$79,486.75 ","$60,929.27 "
,TOTAL,,"1,185","$79,486.75 ","$60,929.27 "
42660,OTHER,,277,"$23,896.56 ","$18,288.75 "
,TOTAL,,277,"$23,896.56 ","$18,288.75 "
42665,SG,,2,"$1,431.83 ","$1,145.46 "
,OTHER,,16,"$2,428.39 ","$1,858.86 "
,TOTAL,,18,"$3,860.22 ","$3,004.32 "
42699,80'S,,4,$320.95 ,$256.76 
,OTHER,,67,"$20,492.11 ","$16,367.43 "
,TOTAL,,71,"$20,813.06 ","$16,624.19 "
42700,SG,,3,$798.06 ,$638.45 
,OTHER,,918,"$130,416.72 ","$100,034.24 "
,TOTAL,,921,"$131,214.78 ","$100,672.69 "
42720,OTHER,,143,"$48,040.60 ","$38,279.82 "
,TOTAL,,143,"$48,040.60 ","$38,279.82 "
42725,80'S,,8,$897.50 ,$717.99 
,OTHER,,107,"$71,724.90 ","$57,260.79 "
,TOTAL,,115,"$72,622.40 ","$57,978.78 "
42800,OTHER,,"2,629","$310,466.72 ","$240,870.02 "
,TOTAL,,"2,629","$310,466.72 ","$240,870.02 "
42802,SG,,15,"$3,738.04 ","$2,936.18 "
,OTHER,,309,"$36,290.17 ","$28,567.27 "
,TOTAL,,324,"$40,028.21 ","$31,503.45 "
42804,SG,,96,"$22,130.95 ","$16,936.93 "
,OTHER,,856,"$99,270.54 ","$77,361.33 "
,TOTAL,,952,"$121,401.49 ","$94,298.26 "
42806,SG,,38,"$12,229.55 ","$9,117.18 "
,OTHER,,484,"$46,930.34 ","$37,277.72 "
,TOTAL,,522,"$59,159.89 ","$46,394.90 "
42808,SG,,108,"$39,442.92 ","$30,851.24 "
,OTHER,,775,"$115,683.87 ","$90,667.04 "
,TOTAL,,883,"$155,126.79 ","$121,518.28 "
42809,OTHER,,519,"$70,189.77 ","$54,467.93 "
,TOTAL,,519,"$70,189.77 ","$54,467.93 "
42810,SG,,12,"$5,241.41 ","$4,193.12 "
,80'S,,2,$81.42 ,$65.14 
,OTHER,,68,"$17,213.42 ","$13,721.86 "
,TOTAL,,82,"$22,536.25 ","$17,980.12 "
42815,SG,,22,"$15,293.92 ","$11,383.04 "
,80'S,,30,"$2,461.31 ","$1,922.00 "
,OTHER,,232,"$115,191.94 ","$90,681.52 "
,TOTAL,,284,"$132,947.17 ","$103,986.56 "
42820,SG,,1,$490.15 ,$392.12 
,OTHER,,22,"$5,937.37 ","$4,617.93 "
,TOTAL,,23,"$6,427.52 ","$5,010.05 "
42821,SG,,55,"$36,923.06 ","$28,697.26 "
,OTHER,,341,"$93,197.11 ","$72,662.05 "
,TOTAL,,396,"$130,120.17 ","$101,359.31 "
42825,OTHER,,4,"$1,124.71 ",$888.09 
,TOTAL,,4,"$1,124.71 ",$888.09 
42826,SG,,484,"$287,628.71 ","$223,607.25 "
,OTHER,,"2,515","$563,276.56 ","$437,857.48 "
,TOTAL,,"2,999","$850,905.27 ","$661,464.73 "
42830,SG,,1,$670.04 ,$536.03 
,OTHER,,15,"$2,106.49 ","$1,649.08 "
,TOTAL,,16,"$2,776.53 ","$2,185.11 "
42831,SG,,58,"$32,415.84 ","$25,419.28 "
,OTHER,,287,"$45,739.67 ","$35,933.56 "
,TOTAL,,345,"$78,155.51 ","$61,352.84 "
42836,SG,,6,"$2,462.94 ","$1,970.35 "
,OTHER,,25,"$4,358.79 ","$3,487.05 "
,TOTAL,,31,"$6,821.73 ","$5,457.40 "
42842,80'S,,3,$234.41 ,$187.53 
,OTHER,,246,"$150,910.18 ","$117,466.33 "
,TOTAL,,249,"$151,144.59 ","$117,653.86 "
42844,80'S,,5,$751.05 ,$600.83 
,OTHER,,56,"$63,497.19 ","$49,315.08 "
,TOTAL,,61,"$64,248.24 ","$49,915.91 "
42845,80'S,,9,"$2,409.12 ","$1,927.28 "
,OTHER,,70,"$118,660.14 ","$93,534.04 "
,TOTAL,,79,"$121,069.26 ","$95,461.32 "
42860,SG,,11,"$4,776.42 ","$3,126.78 "
,OTHER,,81,"$13,166.50 ","$9,997.87 "
,TOTAL,,92,"$17,942.92 ","$13,124.65 "
42870,SG,,12,"$5,590.77 ","$4,172.40 "
,80'S,,1,$84.92 ,$67.94 
,OTHER,,149,"$72,654.28 ","$57,513.38 "
,TOTAL,,162,"$78,329.97 ","$61,753.72 "
42890,SG,,9,"$8,293.48 ","$5,942.69 "
,80'S,,28,"$3,469.67 ","$2,686.88 "
,OTHER,,240,"$203,116.33 ","$158,894.54 "
,TOTAL,,277,"$214,879.48 ","$167,524.11 "
42892,SG,,4,"$4,017.97 ","$3,214.38 "
,80'S,,11,"$1,775.45 ","$1,420.37 "
,OTHER,,138,"$138,084.12 ","$109,755.01 "
,TOTAL,,153,"$143,877.54 ","$114,389.76 "
42894,80'S,,13,"$2,976.37 ","$2,381.08 "
,OTHER,,114,"$168,776.65 ","$134,674.70 "
,TOTAL,,127,"$171,753.02 ","$137,055.78 "
42900,SG,,1,$165.45 ,$132.36 
,80'S,,2,$83.62 ,$66.89 
,OTHER,,54,"$14,013.63 ","$11,210.92 "
,TOTAL,,57,"$14,262.70 ","$11,410.17 "
42950,SG,,13,"$3,855.12 ","$3,084.08 "
,80'S,,27,"$2,063.83 ","$1,651.06 "
,OTHER,,253,"$133,766.45 ","$105,208.70 "
,TOTAL,,293,"$139,685.40 ","$109,943.84 "
42953,80'S,,19,"$2,204.02 ","$1,763.22 "
,OTHER,,161,"$107,403.57 ","$85,509.12 "
,TOTAL,,180,"$109,607.59 ","$87,272.34 "
42955,SG,,1,$182.87 ,$146.29 
,80'S,,3,$287.36 ,$229.88 
,OTHER,,30,"$16,982.28 ","$13,585.83 "
,TOTAL,,34,"$17,452.51 ","$13,962.00 "
42960,OTHER,,244,"$39,496.00 ","$30,996.86 "
,TOTAL,,244,"$39,496.00 ","$30,996.86 "
42961,80'S,,2,$97.45 ,$77.96 
,OTHER,,106,"$39,519.09 ","$31,033.11 "
,TOTAL,,108,"$39,616.54 ","$31,111.07 "
42962,SG,,4,"$1,479.30 ","$1,183.44 "
,OTHER,,157,"$69,834.97 ","$55,867.98 "
