Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 50010 - 53899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,OTHER,,111,"$80,880.65 ","$63,965.29 "
,TOTAL,,125,"$82,721.00 ","$65,437.58 "
50551,SG,,2,$653.19 ,$522.55 
,OTHER,,170,"$44,766.82 ","$35,084.57 "
,TOTAL,,172,"$45,420.01 ","$35,607.12 "
50553,SG,,1,$160.82 ,$128.66 
,OTHER,,242,"$66,357.32 ","$52,645.80 "
,TOTAL,,243,"$66,518.14 ","$52,774.46 "
50555,80'S,,1,$56.36 ,$45.09 
,OTHER,,56,"$18,915.69 ","$14,840.24 "
,TOTAL,,57,"$18,972.05 ","$14,885.33 "
50557,OTHER,,65,"$20,451.63 ","$16,361.32 "
,TOTAL,,65,"$20,451.63 ","$16,361.32 "
50561,SG,,5,"$1,463.04 ","$1,170.43 "
,80'S,,5,$271.43 ,$217.15 
,OTHER,,433,"$162,594.57 ","$129,889.87 "
,TOTAL,,443,"$164,329.04 ","$131,277.45 "
50562,80'S,,1,$96.76 ,$77.41 
,OTHER,,79,"$45,020.50 ","$35,935.45 "
,TOTAL,,80,"$45,117.26 ","$36,012.86 "
50570,80'S,,2,$80.14 ,$64.12 
,OTHER,,55,"$22,683.86 ","$18,147.08 "
,TOTAL,,57,"$22,764.00 ","$18,211.20 "
50572,80'S,,1,$44.54 ,$35.63 
,OTHER,,26,"$11,614.16 ","$9,248.17 "
,TOTAL,,27,"$11,658.70 ","$9,283.80 "
50574,80'S,,1,$51.30 ,$41.04 
,OTHER,,14,"$7,430.48 ","$5,944.39 "
,TOTAL,,15,"$7,481.78 ","$5,985.43 "
50575,OTHER,,238,"$172,793.51 ","$136,159.98 "
,TOTAL,,238,"$172,793.51 ","$136,159.98 "
50576,OTHER,,18,"$10,421.10 ","$8,197.48 "
,TOTAL,,18,"$10,421.10 ","$8,197.48 "
50580,OTHER,,68,"$36,619.72 ","$28,114.83 "
,TOTAL,,68,"$36,619.72 ","$28,114.83 "
50590,SG,,4,"$5,251.20 ","$2,787.70 "
,OTHER,,"53,297","$28,075,568.74 ","$22,107,731.04 "
,TOTAL,,"53,301","$28,080,819.94 ","$22,110,518.74 "
50600,80'S,,22,"$2,209.61 ","$1,686.71 "
,OTHER,,107,"$77,841.52 ","$60,129.81 "
,TOTAL,,129,"$80,051.13 ","$61,816.52 "
50605,80'S,,243,"$21,059.45 ","$16,706.75 "
,OTHER,,"1,499","$809,398.77 ","$637,495.10 "
,TOTAL,,"1,742","$830,458.22 ","$654,201.85 "
50610,80'S,,30,"$3,862.62 ","$3,074.27 "
,OTHER,,100,"$68,350.27 ","$54,459.37 "
,TOTAL,,130,"$72,212.89 ","$57,533.64 "
50620,80'S,,18,"$2,125.25 ","$1,612.18 "
,OTHER,,42,"$29,887.89 ","$23,360.16 "
,TOTAL,,60,"$32,013.14 ","$24,972.34 "
50630,80'S,,21,"$2,511.83 ","$1,906.95 "
,OTHER,,83,"$49,045.07 ","$39,207.28 "
,TOTAL,,104,"$51,556.90 ","$41,114.23 "
50650,80'S,,276,"$29,205.06 ","$23,128.16 "
,OTHER,,563,"$365,089.14 ","$291,246.63 "
,TOTAL,,839,"$394,294.20 ","$314,374.79 "
50660,80'S,,26,"$3,780.97 ","$3,024.81 "
,OTHER,,51,"$44,575.32 ","$35,610.70 "
,TOTAL,,77,"$48,356.29 ","$38,635.51 "
50684,OTHER,,"1,848","$65,017.09 ","$51,350.44 "
,TOTAL,,"1,848","$65,017.09 ","$51,350.44 "
50686,OTHER,,2,$344.44 ,$255.32 
,TOTAL,,2,$344.44 ,$255.32 
50688,OTHER,,"1,487","$114,278.02 ","$90,007.53 "
,TOTAL,,"1,487","$114,278.02 ","$90,007.53 "
50690,OTHER,,"3,105","$228,105.35 ","$177,470.31 "
,TOTAL,,"3,105","$228,105.35 ","$177,470.31 "
50700,80'S,,20,"$2,316.83 ","$1,853.45 "
,OTHER,,149,"$115,518.25 ","$92,269.29 "
,TOTAL,,169,"$117,835.08 ","$94,122.74 "
50715,80'S,,298,"$48,537.98 ","$38,503.65 "
,OTHER,,"1,416","$1,353,620.41 ","$1,075,054.15 "
,TOTAL,,"1,714","$1,402,158.39 ","$1,113,557.80 "
50722,80'S,,8,"$1,159.12 ",$927.29 
,OTHER,,34,"$29,628.77 ","$23,703.02 "
,TOTAL,,42,"$30,787.89 ","$24,630.31 "
50725,80'S,,1,$163.47 ,$130.78 
,OTHER,,8,"$6,788.17 ","$5,430.54 "
,TOTAL,,9,"$6,951.64 ","$5,561.32 "
50727,80'S,,22,"$1,406.68 ","$1,114.19 "
