Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L2230,TOTAL,,"4,515","$279,631.99 ","$217,584.88 "
L2232,TOTAL,,864,"$70,815.09 ","$55,395.57 "
L2240,TOTAL,,313,"$21,874.77 ","$17,050.91 "
L2250,TOTAL,,"3,701","$1,095,813.81 ","$862,084.46 "
L2260,TOTAL,,912,"$146,621.72 ","$114,674.16 "
L2265,TOTAL,,"5,733","$560,814.27 ","$440,063.66 "
L2270,TOTAL,,"30,024","$1,356,348.94 ","$1,063,648.36 "
L2275,TOTAL,,"52,483","$5,461,778.51 ","$4,314,823.37 "
L2280,TOTAL,,"15,362","$6,008,162.17 ","$4,763,800.92 "
L2300,TOTAL,,79,"$16,768.33 ","$13,414.83 "
L2310,TOTAL,,275,"$30,461.85 ","$24,281.25 "
L2320,TOTAL,,"1,069","$171,626.94 ","$135,980.85 "
L2330,TOTAL,,"2,326","$742,592.04 ","$585,126.43 "
L2335,TOTAL,,227,"$41,251.25 ","$32,424.65 "
L2340,TOTAL,,"7,840","$2,988,421.44 ","$2,347,851.06 "
L2350,TOTAL,,"1,704","$1,283,678.94 ","$1,007,221.95 "
L2360,TOTAL,,"6,727","$296,299.66 ","$231,170.94 "
L2370,TOTAL,,612,"$137,618.13 ","$109,488.67 "
L2375,TOTAL,,327,"$31,769.44 ","$25,121.13 "
L2380,TOTAL,,399,"$42,129.86 ","$33,098.35 "
L2385,TOTAL,,"5,622","$636,535.87 ","$501,425.89 "
L2390,TOTAL,,"1,673","$149,206.74 ","$118,073.77 "
L2395,TOTAL,,"1,880","$245,941.79 ","$191,631.87 "
L2397,TOTAL,,"3,871","$353,909.98 ","$278,921.99 "
L2405,TOTAL,,"5,787","$400,563.47 ","$314,663.80 "
L2415,TOTAL,,"4,589","$443,665.24 ","$348,983.34 "
L2425,TOTAL,,"14,626","$1,618,947.47 ","$1,285,117.88 "
L2430,TOTAL,,"2,887","$327,112.80 ","$259,291.48 "
L2492,TOTAL,,854,"$74,586.46 ","$59,007.07 "
L2500,TOTAL,,104,"$26,951.06 ","$21,011.22 "
L2510,TOTAL,,295,"$193,252.45 ","$152,715.19 "
L2520,TOTAL,,77,"$24,351.65 ","$19,452.33 "
L2525,TOTAL,,469,"$492,308.56 ","$385,332.45 "
L2526,TOTAL,,76,"$44,131.25 ","$34,214.33 "
L2530,TOTAL,,256,"$49,446.37 ","$38,836.44 "
L2540,TOTAL,,224,"$79,902.84 ","$62,522.48 "
L2550,TOTAL,,456,"$110,579.12 ","$86,275.68 "
