Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - J0000 - J8499,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J1700,TOTAL,,"6,653","$4,634.42 ","$3,578.42 "
J1710,TOTAL,,"30,160","$133,016.01 ","$104,305.87 "
J1720,TOTAL,,"49,659","$89,978.45 ","$69,654.47 "
J1730,TOTAL,,77,"$1,168.19 ",$926.55 
J1742,TOTAL,,3,$485.97 ,$388.78 
J1745,TOTAL,,"10,229,508","$540,659,181.02 ","$421,076,584.24 "
J1750,TOTAL,,"891,163","$9,944,261.43 ","$7,811,122.03 "
J1756,TOTAL,,"7,068,714","$2,556,801.37 ","$2,012,503.06 "
J1785,TOTAL,,"17,286,908","$68,853,241.71 ","$55,073,859.92 "
J1790,TOTAL,,"1,260","$1,948.35 ","$1,498.18 "
J1800,TOTAL,,"2,005","$10,032.18 ","$7,776.74 "
J1810,TOTAL,,"1,166","$5,406.12 ","$4,214.30 "
J1815,TOTAL,,"1,449",$247.43 ,$186.77 
J1817,TOTAL,,"2,329,257","$6,100,496.10 ","$4,814,303.78 "
J1825,TOTAL,,74,$650.96 ,$520.72 
J1835,TOTAL,,"12,366","$444,008.27 ","$355,201.87 "
J1840,TOTAL,,555,$892.17 ,$691.27 
J1850,TOTAL,,324,$162.22 ,$127.06 
J1885,TOTAL,,"1,310,460","$734,495.75 ","$535,017.49 "
J1890,TOTAL,,"1,975","$16,837.72 ","$12,262.73 "
J1931,TOTAL,,"10,560","$242,843.13 ","$194,262.54 "
J1940,TOTAL,,"220,911","$100,516.28 ","$77,841.10 "
J1950,TOTAL,,"4,106","$1,624,064.89 ","$1,270,551.37 "
J1955,TOTAL,,631,"$7,415.94 ","$5,895.05 "
J1956,TOTAL,,"27,185","$208,493.86 ","$162,728.27 "
J1960,TOTAL,,65,$206.97 ,$160.18 
J1980,TOTAL,,734,"$3,733.86 ","$2,774.74 "
J1990,TOTAL,,26,$221.47 ,$138.52 
J2001,TOTAL,,"295,913","$6,081.05 ","$4,918.43 "
J2010,TOTAL,,"244,923","$826,703.10 ","$564,480.68 "
J2020,TOTAL,,"4,215","$99,190.54 ","$77,928.51 "
J2060,TOTAL,,"101,188","$137,537.06 ","$108,390.88 "
J2150,TOTAL,,"95,540","$88,528.30 ","$70,100.15 "
J2175,TOTAL,,"230,321","$328,214.48 ","$252,869.33 "
J2180,TOTAL,,"18,416","$67,832.39 ","$51,027.52 "
J2185,TOTAL,,"27,353","$100,806.41 ","$79,783.28 "
J2210,TOTAL,,78,$321.15 ,$224.45 
J2250,TOTAL,,"452,986","$168,584.15 ","$132,216.95 "
J2260,TOTAL,,"619,147","$30,322,413.15 ","$24,231,864.61 "
J2270,TOTAL,,"603,465","$498,561.44 ","$394,292.55 "
J2271,TOTAL,,"170,025","$1,361,126.42 ","$1,083,092.32 "
J2275,TOTAL,,"2,562,463","$14,201,077.04 ","$10,851,535.02 "
J2280,TOTAL,,984,"$3,675.58 ","$2,865.06 "
J2300,TOTAL,,"97,035","$128,118.36 ","$94,076.62 "
J2310,TOTAL,,"11,738","$28,350.24 ","$22,382.03 "
J2320,TOTAL,,"1,967","$6,311.69 ","$4,497.63 "
J2321,TOTAL,,"2,557","$16,814.46 ","$12,775.44 "
J2322,TOTAL,,"4,702","$49,397.77 ","$38,231.46 "
J2324,TOTAL,,"159,767","$11,843,043.06 ","$9,376,703.92 "
J2353,TOTAL,,"1,789,296","$152,331,696.09 ","$121,161,725.89 "
J2354,TOTAL,,"58,821","$269,785.07 ","$210,027.83 "
J2355,TOTAL,,"36,368","$8,789,693.65 ","$6,949,609.22 "
J2357,TOTAL,,"1,034,723","$15,900,431.34 ","$12,624,159.83 "
J2360,TOTAL,,"16,128","$181,035.44 ","$136,000.09 "
J2370,TOTAL,,831,$494.12 ,$386.54 
J2400,TOTAL,,"6,933","$92,251.88 ","$71,524.66 "
J2405,TOTAL,,"7,361,275","$27,477,905.38 ","$21,799,604.79 "
