CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99304,TOTAL,365410,33693429.68,25758045.09,,,
EVALUATION AND MANAGEMENT,99305,,1051009.2,137551264.12,105731981.88,,,
EVALUATION AND MANAGEMENT,99305,TOTAL,1051009.2,137551264.12,105731981.88,,,
EVALUATION AND MANAGEMENT,99306,,1367637,228886686.58000001,176640810.72,,,
EVALUATION AND MANAGEMENT,99306,TOTAL,1367637,228886686.58000001,176640810.72,,,
EVALUATION AND MANAGEMENT,99307,,3049194.1,132133808.51000001,98029957.140000001,,,
EVALUATION AND MANAGEMENT,99307,TOTAL,3049194.1,132133808.51000001,98029957.140000001,,,
EVALUATION AND MANAGEMENT,99308,,11041363,729987860.39999998,548586221.58000004,,,
EVALUATION AND MANAGEMENT,99308,TOTAL,11041363,729987860.39999998,548586221.58000004,,,
EVALUATION AND MANAGEMENT,99309,,8667995.6999999993,750948336.38,568058695.09000003,,,
EVALUATION AND MANAGEMENT,99309,TOTAL,8667995.6999999993,750948336.38,568058695.09000003,,,
EVALUATION AND MANAGEMENT,99310,,1256702,160259254.69,122672857.53,,,
EVALUATION AND MANAGEMENT,99310,TOTAL,1256702,160259254.69,122672857.53,,,
EVALUATION AND MANAGEMENT,99315,,283584,19885099.34,15285083.310000001,,,
EVALUATION AND MANAGEMENT,99315,TOTAL,283584,19885099.34,15285083.310000001,,,
EVALUATION AND MANAGEMENT,99316,,375695,37396992.18,28838629.43,,,
EVALUATION AND MANAGEMENT,99316,TOTAL,375695,37396992.18,28838629.43,,,
EVALUATION AND MANAGEMENT,99318,,117250,10748730.23,7627870.1799999997,,,
EVALUATION AND MANAGEMENT,99318,TOTAL,117250,10748730.23,7627870.1799999997,,,
EVALUATION AND MANAGEMENT,99324,,47697,2613940.94,1911602.06,,,
EVALUATION AND MANAGEMENT,99324,TOTAL,47697,2613940.94,1911602.06,,,
EVALUATION AND MANAGEMENT,99325,,46227,3674916.63,2686505.75,,,
EVALUATION AND MANAGEMENT,99325,TOTAL,46227,3674916.63,2686505.75,,,
EVALUATION AND MANAGEMENT,99326,,49905,6660925.3300000001,4873267.4800000004,,,
EVALUATION AND MANAGEMENT,99326,TOTAL,49905,6660925.3300000001,4873267.4800000004,,,
EVALUATION AND MANAGEMENT,99327,,57449,10049018.09,7410401.3499999996,,,
EVALUATION AND MANAGEMENT,99327,TOTAL,57449,10049018.09,7410401.3499999996,,,
EVALUATION AND MANAGEMENT,99328,,36067,7359936.8099999996,5494399.6699999999,,,
EVALUATION AND MANAGEMENT,99328,TOTAL,36067,7359936.8099999996,5494399.6699999999,,,
EVALUATION AND MANAGEMENT,99334,,499427,29560686.75,21632497.649999999,,,
EVALUATION AND MANAGEMENT,99334,TOTAL,499427,29560686.75,21632497.649999999,,,
EVALUATION AND MANAGEMENT,99335,,1007287.1,91771514.5,67677304.579999998,,,
EVALUATION AND MANAGEMENT,99335,TOTAL,1007287.1,91771514.5,67677304.579999998,,,
