CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2526 ,,,,,,,,
RADIOLOGY,70190,GLOBL,106,3701.12,2764.64,,,
RADIOLOGY,70190,TOTAL,298,6515.6399999999994,4843.68,,,
RADIOLOGY,70200,26,4804,68434.28,49770.51,,,
RADIOLOGY,70200,TC,772,20771.82,15102.33,,,
RADIOLOGY,70200,GLOBL,2830,121383.83,88741.32,,,
RADIOLOGY,70200,TOTAL,8406,210589.93,153614.16,,,
RADIOLOGY,70210,26,12871,112768.61,80516.399999999994,,,
RADIOLOGY,70210,TC,5986,114301.3,78028.45,,,
RADIOLOGY,70210,GLOBL,34097,945358.14,663282.21,,,
RADIOLOGY,70210,TOTAL,52954,1172428.05,821827.05999999994,,,
RADIOLOGY,70220,26,35705,454077.27,322655.75,,,
RADIOLOGY,70220,TC,8776,201530.27,139824.42000000001,,,
RADIOLOGY,70220,GLOBL,41599,1476135.56,1035342.61,,,
RADIOLOGY,70220,TOTAL,86080,2131743.1,1497822.78,,,
RADIOLOGY,70240,26,49,510.76,398.61,,,
RADIOLOGY,70240,TC,11,195.2,147.57,,,
RADIOLOGY,70240,GLOBL,54,1540.81,1094.78,,,
RADIOLOGY,70240,TOTAL,114,2246.77,1640.96,,,
RADIOLOGY,70250,26,36502,469282.17,351889.9,,,
RADIOLOGY,70250,TC,6048,139340.10999999999,104659.79,,,
RADIOLOGY,70250,GLOBL,10203,362127.03,268046.33,,,
RADIOLOGY,70250,TOTAL,52753,970749.30999999994,724596.02,,,
RADIOLOGY,70260,26,8030,140282.96,102353.45,,,
RADIOLOGY,70260,TC,1301,35400.32,25581.040000000001,,,
RADIOLOGY,70260,GLOBL,4258,193237.45,138983.01,,,
RADIOLOGY,70260,TOTAL,13589,368920.73,266917.5,,,
RADIOLOGY,70300,26,45,272.52999999999997,208.98,,,
RADIOLOGY,70300,TC,N/A,72.31,50.42,,,
RADIOLOGY,70300,GLOBL,251,3962.89,2982.68,,,
RADIOLOGY,70300,TOTAL,305,4307.7299999999996,3242.08,,,
RADIOLOGY,70310,26,1313,10812.13,8471.6,,,
RADIOLOGY,70310,TC,N/A,129.36000000000001,101.4,,,
RADIOLOGY,70310,GLOBL,1095,41723.040000000001,32453.59,,,
RADIOLOGY,70310,TOTAL,2412,52664.53,41026.589999999997,,,
RADIOLOGY,70320,26,198,2471.85,1835.06,,,
RADIOLOGY,70320,TC,N/A,36.71,28.78,,,
RADIOLOGY,70320,GLOBL,358,19416.52,14365.09,,,
RADIOLOGY,70320,TOTAL,557,21925.08,16228.93,,,
RADIOLOGY,70328,26,418,4048.23,2885.38,,,
RADIOLOGY,70328,TC,69,1429.21,1026.6199999999999,,,
RADIOLOGY,70328,GLOBL,340,10843.61,7479.41,,,
RADIOLOGY,70328,TOTAL,827,16321.05,11391.41,,,
RADIOLOGY,70330,26,2043,26959.88,19250.79,,,
RADIOLOGY,70330,TC,249,8360.76,5816.08,,,
RADIOLOGY,70330,GLOBL,2553,119395.97,88320.89,,,
RADIOLOGY,70330,TOTAL,4845,154716.60999999999,113387.76,,,
RADIOLOGY,70332,26,13,380.53,299.48,,,
RADIOLOGY,70332,GLOBL,146,11743.94,9207.1299999999992,,,
RADIOLOGY,70332,TOTAL,159,12124.47,9506.6099999999988,,,
RADIOLOGY,70336,26,1574,115568.03,85993.89,,,
RADIOLOGY,70336,TC,230,54903.98,42528.14,,,
RADIOLOGY,70336,GLOBL,1332,431377,326696.93,,,
RADIOLOGY,70336,TOTAL,3136,601849.01,455218.96,,,
RADIOLOGY,70350,26,102,1046.25,789.52,,,
RADIOLOGY,70350,TC,N/A,39.53,31,,,
RADIOLOGY,70350,GLOBL,1574,30469.26,23269.56,,,
RADIOLOGY,70350,TOTAL,1680,31555.040000000001,24090.080000000002,,,
RADIOLOGY,70355,26,15151,172463.98,128183.63,,,
RADIOLOGY,70355,TC,137,1220.48,922.17,,,
RADIOLOGY,70355,GLOBL,16818,339341.37,251923.51,,,
RADIOLOGY,70355,TOTAL,32106,513025.83,381029.31,,,
RADIOLOGY,70360,26,59085,506085.58,374592.58,,,
RADIOLOGY,70360,TC,1541,29083.59,21132.65,,,
RADIOLOGY,70360,GLOBL,12768,340868.55,259470.46,,,
RADIOLOGY,70360,TOTAL,73394,876037.72,655195.69000000006,,,
RADIOLOGY,70370,26,631,10303.73,7876.21,,,
RADIOLOGY,70370,GLOBL,255,19856.77,14858.23,,,
RADIOLOGY,70370,TOTAL,886,30160.5,22734.44,,,
RADIOLOGY,70371,26,5547,236130.87,183952.31,,,
RADIOLOGY,70371,TC,444,21214.560000000001,16633.189999999999,,,
RADIOLOGY,70371,GLOBL,2444,217861.65,169741.86,,,
RADIOLOGY,70371,TOTAL,8435,475207.08,370327.36,,,
RADIOLOGY,70373,26,3312,73840.87,57722.02,,,
RADIOLOGY,70373,TC,436,23672.959999999999,18560.45,,,
RADIOLOGY,70373,GLOBL,970,68674.52,53358.82,,,
RADIOLOGY,70373,TOTAL,4718,166188.35,129641.29,,,
RADIOLOGY,70380,26,15,141.34,110.79,,,
RADIOLOGY,70380,GLOBL,47,1723.12,1237.52,,,
RADIOLOGY,70380,TOTAL,62,1864.46,1348.31,,,
RADIOLOGY,70390,26,148,2814.82,2167.96,,,
RADIOLOGY,70390,TC,N/A,68.709999999999994,53.87,,,
RADIOLOGY,70390,GLOBL,24,2174.2399999999998,1573.66,,,
RADIOLOGY,70390,TOTAL,173,5057.7700000000004,3795.49,,,
RADIOLOGY,70450,26,5454312,220276034.88,163710384.38,,,
RADIOLOGY,70450,TC,32576,2197974.08,1610136.53,,,
RADIOLOGY,70450,GLOBL,133406,15421575.800000001,11321478.949999999,,,
RADIOLOGY,70450,TOTAL,5620294,237895584.75999999,176641999.86000001,,,
RADIOLOGY,70460,26,32505,1680598.01,1274483.73,,,
RADIOLOGY,70460,TC,2333,157930.25,118824.8,,,
RADIOLOGY,70460,GLOBL,3746,563467.39,424090.76,,,
RADIOLOGY,70460,TOTAL,38584,2401995.65,1817399.29,,,
RADIOLOGY,70470,26,106961,6558503.1600000001,4923135.5599999996,,,
RADIOLOGY,70470,TC,7269,763721.99,574846.59,,,
RADIOLOGY,70470,GLOBL,19996,3617077.03,2713940.94,,,
RADIOLOGY,70470,TOTAL,134226,10939302.18,8211923.0899999999,,,
RADIOLOGY,70480,26,38314,2486629.33,1865635.73,,,
RADIOLOGY,70480,TC,2575,304648.96999999997,230222.99,,,
RADIOLOGY,70480,GLOBL,12479,2352746.2400000002,1778932.38,,,
RADIOLOGY,70480,TOTAL,53368,5144024.54,3874791.1,,,
RADIOLOGY,70481,26,7588,525136.56999999995,393546.62,,,
RADIOLOGY,70481,TC,275,53997.83,41801.550000000003,,,
RADIOLOGY,70481,GLOBL,1257,352284.33,269449.84000000003,,,
RADIOLOGY,70481,TOTAL,9120,931418.73,704798.01,,,
RADIOLOGY,70482,26,3389,244329.61,184812.65,,,
RADIOLOGY,70482,TC,266,59064.94,45147.67,,,
RADIOLOGY,70482,GLOBL,1637,497304.61,382363.22,,,
RADIOLOGY,70482,TOTAL,5292,800699.16,612323.53999999992,,,
RADIOLOGY,70486,26,369171,14361548.6,10623067.949999999,,,
RADIOLOGY,70486,TC,21065,1905995.91,1424760.3,,,
RADIOLOGY,70486,GLOBL,104167,14376632.73,10752669.93,,,
RADIOLOGY,70486,TOTAL,494403,30644177.239999998,22800498.18,,,
RADIOLOGY,70487,26,21318,1166056.03,856659.33,,,
RADIOLOGY,70487,TC,407,35687.17,26474.66,,,
RADIOLOGY,70487,GLOBL,1472,219734.11,166502.98000000001,,,
RADIOLOGY,70487,TOTAL,23197,1421477.31,1049636.97,,,
RADIOLOGY,70488,26,2913,177770.27,132645.75,,,
RADIOLOGY,70488,TC,172,21194.49,16064.57,,,
RADIOLOGY,70488,GLOBL,939,182530.6,137482.4,,,
RADIOLOGY,70488,TOTAL,4024,381495.36,286192.71999999997,,,
RADIOLOGY,70490,26,57280,3617437.97,2727142.9,,,
RADIOLOGY,70490,TC,2979,275286.64,207154.21,,,
RADIOLOGY,70490,GLOBL,10737,1873564.78,1416277.48,,,
RADIOLOGY,70490,TOTAL,70996,5766289.3899999997,4350574.59,,,
RADIOLOGY,70491,26,203921,13626205.83,10160985.380000001,,,
RADIOLOGY,70491,TC,15258,1806975.42,1363486.5,,,
RADIOLOGY,70491,GLOBL,34438,7153531.9100000001,5430574.7999999998,,,
RADIOLOGY,70491,TOTAL,253617,22586713.16,16955046.68,,,
RADIOLOGY,70492,26,16426,1176029.1000000001,883611.2,,,
RADIOLOGY,70492,TC,1077,198200.64,150814,,,
RADIOLOGY,70492,GLOBL,8353,2239992.64,1708845.86,,,
RADIOLOGY,70492,TOTAL,25856,3614222.38,2743271.06,,,
RADIOLOGY,70496,26,224076,19462053.41,14829359.15,,,
RADIOLOGY,70496,TC,3138,600922.13,462098.2,,,
RADIOLOGY,70496,GLOBL,10661,3169806.88,2433148.9,,,
RADIOLOGY,70496,TOTAL,237875,23232782.420000002,17724606.25,,,
RADIOLOGY,70498,26,239826.1,17487070.390000001,13409994.07,,,
RADIOLOGY,70498,TC,4620,691969.1,531168,,,
RADIOLOGY,70498,GLOBL,18146,4613675.05,3541571.03,,,
RADIOLOGY,70498,TOTAL,262592.09999999998,22792714.539999999,17482733.100000001,,,
RADIOLOGY,70540,26,6875,425469.87,325039.21999999997,,,
RADIOLOGY,70540,TC,552,161024.17000000001,124748.3,,,
RADIOLOGY,70540,GLOBL,4118,1524624.11,1173781.8700000001,,,
RADIOLOGY,70540,TOTAL,11545,2111118.15,1623569.39,,,
RADIOLOGY,70542,26,961,73870.929999999993,56183.55,,,
RADIOLOGY,70542,TC,28,9342.67,7324.65,,,
RADIOLOGY,70542,GLOBL,330,138105.63,106869.62,,,
RADIOLOGY,70542,TOTAL,1319,221319.23,170377.82,,,
RADIOLOGY,70543,26,35522,3588043.4,2716510.21,,,
RADIOLOGY,70543,TC,3063,1188629.7,919690.65,,,
RADIOLOGY,70543,GLOBL,17001,8593129.7400000002,6641781.46,,,
RADIOLOGY,70543,TOTAL,55586,13369802.84,10277982.32,,,
RADIOLOGY,70544,26,242378,14308833.199999999,10957352.73,,,
RADIOLOGY,70544,TC,8968,2415505.65,1873074.92,,,
RADIOLOGY,70544,GLOBL,35189,12205363.23,9417337.9299999997,,,
RADIOLOGY,70544,TOTAL,286535,28929702.079999998,22247765.579999998,,,
RADIOLOGY,70545,26,2846,167522.07,128096.29,,,
RADIOLOGY,70545,TC,138,41426.82,32508.94,,,
RADIOLOGY,70545,GLOBL,488,189344.99,146664.25,,,
RADIOLOGY,70545,TOTAL,3472,398293.88,307269.48,,,
RADIOLOGY,70546,26,13450,1204367.19,916342.8,,,
RADIOLOGY,70546,TC,705,331919.90000000002,256898.97,,,
RADIOLOGY,70546,GLOBL,3122,1763888.06,1360201.33,,,
RADIOLOGY,70546,TOTAL,17277,3300175.15,2533443.1,,,
RADIOLOGY,70547,26,70687,3398134.96,2616802.02,,,
RADIOLOGY,70547,TC,2833,819020.12,636180.84,,,
RADIOLOGY,70547,GLOBL,11287,4105576.39,3181675.19,,,
RADIOLOGY,70547,TOTAL,84807,8322731.4700000007,6434658.0499999998,,,
RADIOLOGY,70548,26,24508,1185616.6499999999,909403.44,,,
RADIOLOGY,70548,TC,368,128423.18,99888.36,,,
RADIOLOGY,70548,GLOBL,1930,810417.37,626403.55000000005,,,
RADIOLOGY,70548,TOTAL,26806,2124457.2000000002,1635695.35,,,
RADIOLOGY,70549,26,63431,5121378.57,3924925.81,,,
RADIOLOGY,70549,TC,2805,1359727.4,1059998.93,,,
RADIOLOGY,70549,GLOBL,10499,6232942.29,4839754.42,,,
RADIOLOGY,70549,TOTAL,76735,12714048.26,9824679.1600000001,,,
RADIOLOGY,70551,26,833080.1,61084120.049999997,46199841.75,,,
RADIOLOGY,70551,TC,43884,6664535.8899999997,5042338.33,,,
RADIOLOGY,70551,GLOBL,178554,42205294.469999999,31981820.140000001,,,
RADIOLOGY,70551,TOTAL,1055518.1000000001,109953950.41,83224000.219999999,,,
RADIOLOGY,70552,26,21807,1966779.06,1503676.11,,,
RADIOLOGY,70552,TC,699,153566.07999999999,119252.39,,,
RADIOLOGY,70552,GLOBL,3416,1088951.54,834074.06,,,
RADIOLOGY,70552,TOTAL,25922,3209296.68,2457002.56,,,
RADIOLOGY,70553,26,765854,88634830.260000005,66836782.890000001,,,
RADIOLOGY,70553,TC,54372,13353975.119999999,10201329.35,,,
RADIOLOGY,70553,GLOBL,194383,72770368.170000002,55553502.200000003,,,
RADIOLOGY,70553,TOTAL,1014609,174759173.55000001,132591614.44,,,
RADIOLOGY,70554,26,586,62674.22,48177.09,,,
RADIOLOGY,70554,TC,25,8935.85,6996.82,,,
RADIOLOGY,70554,GLOBL,60,26854.65,20697.7,,,
RADIOLOGY,70554,TOTAL,671,98464.72,75871.61,,,
RADIOLOGY,70555,26,218,29765.77,22935.39,,,
RADIOLOGY,70555,TC,N/A,3313.98,2525.04,,,
RADIOLOGY,70555,GLOBL,22,13069.04,10286.92,,,
RADIOLOGY,70555,TOTAL,246,46148.79,35747.35,,,
RADIOLOGY,70557,26,60,9094.19,7062.55,,,
RADIOLOGY,70557,TC,N/A,0,0,,,
RADIOLOGY,70557,GLOBL,N/A,3476.57,2725.59,,,
RADIOLOGY,70557,TOTAL,68,12570.76,9788.14,,,
RADIOLOGY,70558,26,42,7154.76,5608.01,,,
RADIOLOGY,70558,GLOBL,N/A,896.09,702.53,,,
RADIOLOGY,70558,TOTAL,44,8050.85,6310.54,,,
RADIOLOGY,70559,26,262,43700.02,33812.17,,,
RADIOLOGY,70559,TC,N/A,456.32,357.76,,,
RADIOLOGY,70559,GLOBL,N/A,0,0,,,
RADIOLOGY,70559,TOTAL,263,44156.34,34169.93,,,
RADIOLOGY,71010,26,16874380.399999999,157868081.16999999,119065361.77,,,
RADIOLOGY,71010,TC,252344,3369530.68,2520305.77,,,
RADIOLOGY,71010,GLOBL,454748,10173745.59,7406166.0599999996,,,
RADIOLOGY,71010,TOTAL,17581472.399999999,171411357.44,128991833.59999999,,,
RADIOLOGY,71015,26,365,3745.8,2848.72,,,
RADIOLOGY,71015,TC,36,556.52,387.35,,,
RADIOLOGY,71015,GLOBL,483,12945.36,9211.73,,,
RADIOLOGY,71015,TOTAL,884,17247.68,12447.8,,,
RADIOLOGY,71020,26,9411585.3000000007,104085865.39,75282195.290000007,,,
RADIOLOGY,71020,TC,834121,13310944.74,9160847.8300000001,,,
RADIOLOGY,71020,GLOBL,2441038,67583238.780000001,47147558.729999997,,,
RADIOLOGY,71020,TOTAL,12686744.300000001,184980048.91,131590601.84999999,,,
RADIOLOGY,71021,26,3433,47960.37,34872.93,,,
RADIOLOGY,71021,TC,451,8773.92,5992.84,,,
RADIOLOGY,71021,GLOBL,2736,97429.08,69503.14,,,
RADIOLOGY,71021,TOTAL,6620,154163.37,110368.91,,,
RADIOLOGY,71022,26,8670,117664.69,85565.47,,,
RADIOLOGY,71022,TC,2679,66610.23,46677.05,,,
RADIOLOGY,71022,GLOBL,3183,136434.07,99873.49,,,
RADIOLOGY,71022,TOTAL,14532,320708.99,232116.01,,,
RADIOLOGY,71023,26,2745,54376.51,41821.879999999997,,,
RADIOLOGY,71023,TC,113,5861.85,4560.6099999999997,,,
RADIOLOGY,71023,GLOBL,167,11077.58,8381.24,,,
RADIOLOGY,71023,TOTAL,3025,71315.94,54763.73,,,
RADIOLOGY,71030,26,7062,111534.81,83068.570000000007,,,
RADIOLOGY,71030,TC,379,9421.06,6814.68,,,
RADIOLOGY,71030,GLOBL,3027,130453.21,92664.73,,,
RADIOLOGY,71030,TOTAL,10468,251409.08,182547.98,,,
RADIOLOGY,71034,26,398,9478.5,7199.48,,,
RADIOLOGY,71034,TC,N/A,108.33,84.93,,,
RADIOLOGY,71034,GLOBL,74,6436.77,4807.4799999999996,,,
RADIOLOGY,71034,TOTAL,474,16023.6,12091.89,,,
RADIOLOGY,71035,26,90273,838604.97,638604.11,,,
RADIOLOGY,71035,TC,843,19232.7,14163.99,,,
RADIOLOGY,71035,GLOBL,7296,233119.21,177568.1,,,
RADIOLOGY,71035,TOTAL,98412,1090956.8799999999,830336.2,,,
RADIOLOGY,71090,26,N/A,0,0,,,
RADIOLOGY,71090,TOTAL,N/A,0,0,,,
RADIOLOGY,71100,26,155755,1770463.94,1273233.52,,,
RADIOLOGY,71100,TC,22801,415406.34,295527.53000000003,,,
RADIOLOGY,71100,GLOBL,66328,2022473.05,1449666.15,,,
RADIOLOGY,71100,TOTAL,244884,4208343.33,3018427.2,,,
RADIOLOGY,71101,26,222377,3009990.04,2151280.06,,,
RADIOLOGY,71101,TC,20398,441920.78,310255.02,,,
RADIOLOGY,71101,GLOBL,55161,1989689.47,1405280.93,,,
RADIOLOGY,71101,TOTAL,297936,5441600.29,3866816.01,,,
RADIOLOGY,71110,26,19483,271077.31,199056.94,,,
RADIOLOGY,71110,TC,3550,81522.62,59640.03,,,
RADIOLOGY,71110,GLOBL,10376,390221.56,281839.67,,,
RADIOLOGY,71110,TOTAL,33409,742821.49,540536.64,,,
RADIOLOGY,71111,26,21766,355792.79,259464.92,,,
RADIOLOGY,71111,TC,2711,82268.08,59563.56,,,
RADIOLOGY,71111,GLOBL,6838,320241.68,230491.15,,,
RADIOLOGY,71111,TOTAL,31315,758302.54999999993,549519.63,,,
RADIOLOGY,71120,26,9758,101139.18,72470.97,,,
RADIOLOGY,71120,TC,986,17999.28,12363.94,,,
RADIOLOGY,71120,GLOBL,3135,93208.39,66000.479999999996,,,
RADIOLOGY,71120,TOTAL,13879,212346.85,150835.39000000001,,,
RADIOLOGY,71130,26,1273,14960.5,10396.879999999999,,,
RADIOLOGY,71130,TC,196,4578.8900000000003,2996.75,,,
RADIOLOGY,71130,GLOBL,926,33880.11,24358.400000000001,,,
RADIOLOGY,71130,TOTAL,2395,53419.5,37752.03,,,
RADIOLOGY,71250,26,1519298,75591582.299999997,56570460.189999998,,,
RADIOLOGY,71250,TC,84539,9813276.9499999993,7280682.2300000004,,,
RADIOLOGY,71250,GLOBL,303334,53748451.939999998,39992719.039999999,,,
RADIOLOGY,71250,TOTAL,1907171,139153311.19,103843861.45999999,,,
RADIOLOGY,71260,26,1511083.2,83658801.810000002,62543937.659999996,,,
RADIOLOGY,71260,TC,110193,12505693.859999999,9390062,,,
RADIOLOGY,71260,GLOBL,186146,34271785.520000003,25873800.239999998,,,
RADIOLOGY,71260,TOTAL,1807422.2,130436281.19,97807799.899999991,,,
RADIOLOGY,71270,26,66043,4158468.86,3125472.6,,,
RADIOLOGY,71270,TC,4983,805857.76,607806.98,,,
RADIOLOGY,71270,GLOBL,24712,6010134.4699999997,4549203.51,,,
RADIOLOGY,71270,TOTAL,95738,10974461.09,8282483.0899999999,,,
RADIOLOGY,71275,26,904998,81268872.980000004,61302305.310000002,,,
RADIOLOGY,71275,TC,10399,1896935.94,1443390.49,,,
RADIOLOGY,71275,GLOBL,34334,9715642.5199999996,7407642.2599999998,,,
RADIOLOGY,71275,TOTAL,949731,92881451.439999998,70153338.060000002,,,
RADIOLOGY,71550,26,3764,247592.16,188164.59,,,
RADIOLOGY,71550,TC,326,96667.69,73585.83,,,
RADIOLOGY,71550,GLOBL,1649,626268.56999999995,480660.11,,,
RADIOLOGY,71550,TOTAL,5739,970528.42,742410.52999999991,,,
RADIOLOGY,71551,26,158,13834.98,10469.5,,,
RADIOLOGY,71551,TC,N/A,2770.21,2171.85,,,
RADIOLOGY,71551,GLOBL,71,33376.58,25907.73,,,
RADIOLOGY,71551,TOTAL,236,49981.77,38549.08,,,
RADIOLOGY,71552,26,4225,485054.3,366812.95,,,
RADIOLOGY,71552,TC,367,172008.06,132453.17000000001,,,
RADIOLOGY,71552,GLOBL,1835,1110193.1499999999,857699.67,,,
RADIOLOGY,71552,TOTAL,6427,1767255.51,1356965.79,,,
RADIOLOGY,71555,26,6001,517754.5,389048.32000000001,,,
RADIOLOGY,71555,TC,343,103433.47,79856.160000000003,,,
RADIOLOGY,71555,GLOBL,1990,812018.44,626169.93999999994,,,
RADIOLOGY,71555,TOTAL,8334,1433206.41,1095074.42,,,
RADIOLOGY,72010,26,10297,248740.22,186377.86,,,
RADIOLOGY,72010,TC,1691,75401.63,55034.58,,,
RADIOLOGY,72010,GLOBL,20598,1415707.2,1026258.26,,,
RADIOLOGY,72010,TOTAL,32586,1739849.05,1267670.7,,,
RADIOLOGY,72020,26,145859,1144512.43,862681.14,,,
RADIOLOGY,72020,TC,24368,410636.18,313456.08,,,
RADIOLOGY,72020,GLOBL,32077,690179.73,508345.39,,,
RADIOLOGY,72020,TOTAL,202304,2245328.34,1684482.61,,,
RADIOLOGY,72040,26,347309,4064826.05,2951207.56,,,
RADIOLOGY,72040,TC,46720,968666.99,684501.98,,,
RADIOLOGY,72040,GLOBL,274651,8901910.4199999999,6455407.2400000002,,,
RADIOLOGY,72040,TOTAL,668680,13935403.460000001,10091116.779999999,,,
RADIOLOGY,72050,26,237715,3807589.58,2704694.76,,,
RADIOLOGY,72050,TC,31064,860780.35,599557.91,,,
RADIOLOGY,72050,GLOBL,159659,7121357.8499999996,5104360.84,,,
RADIOLOGY,72050,TOTAL,428438,11789727.779999999,8408613.5099999998,,,
RADIOLOGY,72052,26,59651,1126804.76,808280.83,,,
RADIOLOGY,72052,TC,7274,258171.23,183088.58,,,
RADIOLOGY,72052,GLOBL,38947,2198440.2400000002,1600937.74,,,
RADIOLOGY,72052,TOTAL,105872,3583416.23,2592307.15,,,
RADIOLOGY,72069,26,21599,255899.36,187299.07,,,
RADIOLOGY,72069,TC,1018,20155.72,14673.71,,,
RADIOLOGY,72069,GLOBL,10318,330493.95,243551.78,,,
RADIOLOGY,72069,TOTAL,32935,606549.03,445524.56,,,
RADIOLOGY,72070,26,187153,2201082.5299999998,1607258.8,,,
RADIOLOGY,72070,TC,27290,520451.57,375044.67,,,
RADIOLOGY,72070,GLOBL,123608,3845962.48,2818856.46,,,
RADIOLOGY,72070,TOTAL,338051,6567496.5800000001,4801159.93,,,
RADIOLOGY,72072,26,164959,1813882.31,1306897.8799999999,,,
RADIOLOGY,72072,TC,13223,290177.87,201477.3,,,
RADIOLOGY,72072,GLOBL,38758,1322130.26,936981.61,,,
RADIOLOGY,72072,TOTAL,216940,3426190.44,2445356.79,,,
RADIOLOGY,72074,26,12257,135654.51,98815.7,,,
RADIOLOGY,72074,TC,891,24373.360000000001,17656.509999999998,,,
RADIOLOGY,72074,GLOBL,3606,142053.62,102395.77,,,
RADIOLOGY,72074,TOTAL,16754,302081.49,218867.98,,,
RADIOLOGY,72080,26,26788,323304.77,237375.98,,,
RADIOLOGY,72080,TC,2718,56362.57,39366.6,,,
RADIOLOGY,72080,GLOBL,20434,672732.66,492518.83,,,
RADIOLOGY,72080,TOTAL,49940,1052400,769261.41,,,
RADIOLOGY,72090,26,12940,210940.74,154397.78,,,
RADIOLOGY,72090,TC,1356,37727.18,27448.78,,,
RADIOLOGY,72090,GLOBL,8806,381339.58,281502.32,,,
RADIOLOGY,72090,TOTAL,23102,630007.5,463348.88,,,
RADIOLOGY,72100,26,1066417,12499652.57,9044396.1199999992,,,
RADIOLOGY,72100,TC,141931,3204908.06,2277057.77,,,
RADIOLOGY,72100,GLOBL,815014,27924108.469999999,20291535.98,,,
RADIOLOGY,72100,TOTAL,2023362,43628669.099999987,31612989.870000001,,,
RADIOLOGY,72110,26,507418,8315227.4699999997,5945041.2699999996,,,
RADIOLOGY,72110,TC,64323,2031476.32,1428780.73,,,
RADIOLOGY,72110,GLOBL,364228,17818290.359999999,12855064.140000001,,,
RADIOLOGY,72110,TOTAL,935969,28164994.149999999,20228886.140000001,,,
RADIOLOGY,72114,26,41520,709719.61,517600.38,,,
RADIOLOGY,72114,TC,7852,346425.15,251768.58,,,
RADIOLOGY,72114,GLOBL,53476,3327592.23,2458356.7999999998,,,
RADIOLOGY,72114,TOTAL,102848,4383736.99,3227725.76,,,
RADIOLOGY,72120,26,17989,216077.94,159469.09,,,
RADIOLOGY,72120,TC,1920,52105.599999999999,37555.339999999997,,,
