CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2575,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
RADIOLOGY,70491,26,190561,12048441.92,9046696.0399999991,
RADIOLOGY,70491,TC,14968,2163272.7599999998,1654847.75,
RADIOLOGY,70491,GLOBL,33675,7934172.3499999996,6059871.5300000003,
RADIOLOGY,70491,TOTAL,239204,22145887.030000001,16761415.32,
RADIOLOGY,70492,26,16552,1119728.46,846537.38,
RADIOLOGY,70492,TC,1591,360263.67,278155.92,
RADIOLOGY,70492,GLOBL,9082,2817634.56,2163875.21,
RADIOLOGY,70492,TOTAL,27225,4297626.6900000004,3288568.51,
RADIOLOGY,70496,26,167854,13253906.689999999,10144210.68,
RADIOLOGY,70496,TC,3247,775732.71,601920.12,
RADIOLOGY,70496,GLOBL,9993,3506961.33,2707027.47,
RADIOLOGY,70496,TOTAL,181094,17536600.73,13453158.27,
RADIOLOGY,70498,26,187696,13702731.710000001,10534761.699999999,
RADIOLOGY,70498,TC,4935,1551291.5,1204938.25,
RADIOLOGY,70498,GLOBL,17391,7345725.2599999998,5698753.1299999999,
RADIOLOGY,70498,TOTAL,210022,22599748.469999999,17438453.079999998,
RADIOLOGY,70540,26,6331,373562.39,285237.55,
RADIOLOGY,70540,TC,636,176254.44,137269.24,
RADIOLOGY,70540,GLOBL,4325,1609692.13,1245627.81,
RADIOLOGY,70540,TOTAL,11292,2159508.96,1668134.6,
RADIOLOGY,70542,26,843,60996.3,46333.13,
RADIOLOGY,70542,TC,38,11828.23,8904.24,
RADIOLOGY,70542,GLOBL,313,133632.01,103930.83,
RADIOLOGY,70542,TOTAL,1194,206456.54,159168.20000000001,
RADIOLOGY,70543,26,32851,3124549.1,2375658.34,
RADIOLOGY,70543,TC,2968,1367238.69,1066067.3799999999,
RADIOLOGY,70543,GLOBL,17805,10466914.58,8119441.1600000001,
RADIOLOGY,70543,TOTAL,53624,14958702.369999999,11561166.880000001,
RADIOLOGY,70544,26,260527,14827123.32,11410212.42,
RADIOLOGY,70544,TC,9313,2945071.03,2297002.83,
RADIOLOGY,70544,GLOBL,37950,14986733.25,11630926.359999999,
RADIOLOGY,70544,TOTAL,307790,32758927.600000001,25338141.609999999,
RADIOLOGY,70545,26,2745,155313.75,119237.18,
RADIOLOGY,70545,TC,173,60162.93,45203.26,
RADIOLOGY,70545,GLOBL,476,204196.67,158415.81,
RADIOLOGY,70545,TOTAL,3394,419673.35,322856.25,
RADIOLOGY,70546,26,11822,1035647.59,794701.33,
RADIOLOGY,70546,TC,705,364955.86,282676.24,
RADIOLOGY,70546,GLOBL,2939,1871703.84,1449864.18,
RADIOLOGY,70546,TOTAL,15466,3272307.29,2527241.75,
RADIOLOGY,70547,26,72448,3437262.8,2664038.2999999998,
RADIOLOGY,70547,TC,2930,966322.02,753834.89,
RADIOLOGY,70547,GLOBL,12452,5085617.13,3955997.85,
RADIOLOGY,70547,TOTAL,87830,9489201.9499999993,7373871.04,
RADIOLOGY,70548,26,28926,1366401.84,1055514.53,
RADIOLOGY,70548,TC,469,166903.37,130241.03,
RADIOLOGY,70548,GLOBL,2441,1006715.77,780208.29,
RADIOLOGY,70548,TOTAL,31836,2540020.98,1965963.85,
RADIOLOGY,70549,26,68761,5199381.08,4013857.12,
RADIOLOGY,70549,TC,2863,1548150.09,1200812.98,
RADIOLOGY,70549,GLOBL,12407,8147027.25,6345813.8099999996,
RADIOLOGY,70549,TOTAL,84031,14894558.42,11560483.91,
RADIOLOGY,70551,26,736236.1,51229878.439999998,39004842.210000001,
RADIOLOGY,70551,TC,42724,13955976.9,10791872.810000001,
RADIOLOGY,70551,GLOBL,174427,73853718.329999998,56880232.789999999,
RADIOLOGY,70551,TOTAL,953387.1,139039573.66999999,106676947.81,
RADIOLOGY,70552,26,21291,1812230.59,1391273.31,
RADIOLOGY,70552,TC,713,267131.21000000002,207411.24,
RADIOLOGY,70552,GLOBL,3369,1623039.83,1253939.8999999999,
RADIOLOGY,70552,TOTAL,25373,3702401.63,2852624.45,
RADIOLOGY,70553,26,755245,85164757.819999993,64635975.57,
RADIOLOGY,70553,TC,54396,23639301.760000002,18269826.559999999,
RADIOLOGY,70553,GLOBL,202513,116265136.48,89477739.920000002,
RADIOLOGY,70553,TOTAL,1012154,225069196.06,172383542.05000001,
RADIOLOGY,70554,26,523,53059.49,41171.480000000003,
RADIOLOGY,70554,TC,15,5648.25,4325.75,
RADIOLOGY,70554,GLOBL,67,30573.85,23994.52,
RADIOLOGY,70554,TOTAL,605,89281.59,69491.75,
RADIOLOGY,70555,26,201,26186.29,20124.68,
RADIOLOGY,70555,TC,N/A,2151.36,1698.16,
RADIOLOGY,70555,GLOBL,15,7777.67,6146.66,
RADIOLOGY,70555,TOTAL,219,36115.32,27969.5,
RADIOLOGY,70557,26,57,9761.4599999999991,7651.11,
RADIOLOGY,70557,TC,N/A,0,0,
RADIOLOGY,70557,GLOBL,N/A,1591.97,1256.25,
RADIOLOGY,70557,TOTAL,60,11353.43,8907.36,
RADIOLOGY,70558,26,29,4742.75,3734.44,
RADIOLOGY,70558,TOTAL,29,4742.75,3734.44,
RADIOLOGY,70559,26,495,75628.710000000006,59289.21,
RADIOLOGY,70559,TC,N/A,0,0,
RADIOLOGY,70559,GLOBL,N/A,0,0,
RADIOLOGY,70559,TOTAL,495,75628.710000000006,59289.21,
RADIOLOGY,71010,26,17663737.800000001,157030218.74000001,119525857.03,
RADIOLOGY,71010,TC,274574,4123999.26,3115999.71,
RADIOLOGY,71010,GLOBL,616002.1,14513060.24,10502554,
RADIOLOGY,71010,TOTAL,18554313.899999999,175667278.24000001,133144410.73999999,
RADIOLOGY,71015,26,165,1597.5,1198.45,
RADIOLOGY,71015,TC,21,425.53,286.13,
RADIOLOGY,71015,GLOBL,339,10402.780000000001,7415.03,
RADIOLOGY,71015,TOTAL,525,12425.81,8899.61,
RADIOLOGY,71020,26,9859817.3000000007,103686731.34999999,75575691.079999998,
RADIOLOGY,71020,TC,840842,16158247.98,11187517.08,
RADIOLOGY,71020,GLOBL,2496136,76952979.060000002,53592464.420000002,
RADIOLOGY,71020,TOTAL,13196795.300000001,196797958.38999999,140355672.58000001,
RADIOLOGY,71021,26,4924,65041.97,47123.07,
RADIOLOGY,71021,TC,977,22922.47,15402.43,
RADIOLOGY,71021,GLOBL,2858,113803.4,80196.53,
RADIOLOGY,71021,TOTAL,8759,201767.84,142722.03,
RADIOLOGY,71022,26,8941,128280.59,95596.24,
RADIOLOGY,71022,TC,2804,91460.7,64153.02,
RADIOLOGY,71022,GLOBL,6658,317839.02,217621.3,
RADIOLOGY,71022,TOTAL,18403,537580.31000000006,377370.56,
RADIOLOGY,71023,26,3558,64559.22,49802.02,
RADIOLOGY,71023,TC,157,9044.25,7068.52,
RADIOLOGY,71023,GLOBL,190,13380.09,9952.2199999999993,
RADIOLOGY,71023,TOTAL,3905,86983.56,66822.759999999995,
RADIOLOGY,71030,26,8226,120804.73,90607.05,
RADIOLOGY,71030,TC,391,12066.88,8152.68,
RADIOLOGY,71030,GLOBL,3127,151148.5,108345.05,
RADIOLOGY,71030,TOTAL,11744,284020.11,207104.78,
RADIOLOGY,71034,26,773,17080.63,13059.97,
RADIOLOGY,71034,TC,N/A,365.27,287.29000000000002,
RADIOLOGY,71034,GLOBL,79,6958.82,5191.6400000000003,
RADIOLOGY,71034,TOTAL,858,24404.720000000001,18538.900000000001,
RADIOLOGY,71035,26,117253,1000845.71,769574.9,
RADIOLOGY,71035,TC,1010,27220.71,20362.91,
RADIOLOGY,71035,GLOBL,7060,256789.09,197031.17,
RADIOLOGY,71035,TOTAL,125323,1284855.51,986968.98,
RADIOLOGY,71090,GLOBL,N/A,0,0,
RADIOLOGY,71090,TOTAL,N/A,0,0,
RADIOLOGY,71100,26,173889,1883039.96,1365861.38,
RADIOLOGY,71100,TC,23138,495224.03,354004.75,
RADIOLOGY,71100,GLOBL,68519,2301202.41,1651218.72,
RADIOLOGY,71100,TOTAL,265546,4679466.4000000004,3371084.85,
RADIOLOGY,71101,26,199464,2569215.59,1856691.46,
RADIOLOGY,71101,TC,18334,480608.48,341129.04,
RADIOLOGY,71101,GLOBL,52110,2100547.1800000002,1494195.92,
RADIOLOGY,71101,TOTAL,269908,5150371.25,3692016.42,
RADIOLOGY,71110,26,20120,266640.18,197201.14,
RADIOLOGY,71110,TC,3745,102501.66,74750.509999999995,
RADIOLOGY,71110,GLOBL,10675,451678.71,327265.75,
RADIOLOGY,71110,TOTAL,34540,820820.55,599217.4,
RADIOLOGY,71111,26,20119,313110.37,231294.15,
RADIOLOGY,71111,TC,2546,96831.19,70755.360000000001,
RADIOLOGY,71111,GLOBL,7686,415480.6,303801.40000000002,
RADIOLOGY,71111,TOTAL,30351,825422.16,605850.91,
RADIOLOGY,71120,26,10685,101666.13,73018.149999999994,
RADIOLOGY,71120,TC,945,20474.95,14334.17,
RADIOLOGY,71120,GLOBL,3288,107780.11,76685.56,
RADIOLOGY,71120,TOTAL,14918,229921.19,164037.88,
RADIOLOGY,71130,26,1392,15206.44,10850.08,
RADIOLOGY,71130,TC,177,4720.8,3267.9,
RADIOLOGY,71130,GLOBL,956,37463.29,26999.32,
RADIOLOGY,71130,TOTAL,2525,57390.53,41117.300000000003,
RADIOLOGY,71250,26,1287748,60425659.890000001,45721669.219999999,
RADIOLOGY,71250,TC,72666,11337657.460000001,8577827.7699999996,
RADIOLOGY,71250,GLOBL,257059,56337160.299999997,42588737.32,
RADIOLOGY,71250,TOTAL,1617473,128100477.65000001,96888234.310000002,
RADIOLOGY,71260,26,1480069,78801125.730000004,59312338.520000003,
RADIOLOGY,71260,TC,106106,14848849.869999999,11302506.17,
RADIOLOGY,71260,GLOBL,184406,39328207.57,29923417.609999999,
RADIOLOGY,71260,TOTAL,1770581,132978183.17,100538262.3,
RADIOLOGY,71270,26,74276,4460521.3499999996,3371402.66,
RADIOLOGY,71270,TC,5698,1149587.3400000001,882978.12,
RADIOLOGY,71270,GLOBL,29482,8400160.5999999996,6419597.0999999996,
RADIOLOGY,71270,TOTAL,109456,14010269.289999999,10673977.880000001,
RADIOLOGY,71275,26,766614,69501474.069999993,52803014.020000003,
RADIOLOGY,71275,TC,9601,2646946.2799999998,2039617.12,
RADIOLOGY,71275,GLOBL,31039,11786293.52,9076326.6300000008,
RADIOLOGY,71275,TOTAL,807254,83934713.870000005,63918957.770000003,
RADIOLOGY,71550,26,3789,236519.56,180895.86,
RADIOLOGY,71550,TC,354,114878.01,88782.8,
RADIOLOGY,71550,GLOBL,1710,732081.28,565862.21,
RADIOLOGY,71550,TOTAL,5853,1083478.8500000001,835540.87,
RADIOLOGY,71551,26,204,16537.7,12712.66,
RADIOLOGY,71551,TC,N/A,2834.29,2214.63,
RADIOLOGY,71551,GLOBL,80,43472.19,33419.49,
RADIOLOGY,71551,TOTAL,291,62844.18,48346.78,
RADIOLOGY,71552,26,4049,434087.15,329190.15999999997,
RADIOLOGY,71552,TC,360,195703.37,152545.78,
RADIOLOGY,71552,GLOBL,1994,1353034.49,1044087.82,
RADIOLOGY,71552,TOTAL,6403,1982825.01,1525823.76,
RADIOLOGY,71555,26,5488,447681.21,336924.35,
RADIOLOGY,71555,TC,239,91595.56,71078.559999999998,
RADIOLOGY,71555,GLOBL,2003,944301.59,732245.92,
RADIOLOGY,71555,TOTAL,7730,1483578.36,1140248.83,
RADIOLOGY,72010,26,8324,190876.44,141101.54999999999,
RADIOLOGY,72010,TC,2318,129837.18,94255.25,
RADIOLOGY,72010,GLOBL,23416,1880677,1353557.74,
RADIOLOGY,72010,TOTAL,34058,2201390.62,1588914.54,
RADIOLOGY,72020,26,165448,1236294.5900000001,936781.15,
RADIOLOGY,72020,TC,29495,559234.34,433821.95,
RADIOLOGY,72020,GLOBL,38786,942053.5,692705.21,
RADIOLOGY,72020,TOTAL,233729,2737582.43,2063308.31,
RADIOLOGY,72040,26,339427,3882283.28,2836586.98,
RADIOLOGY,72040,TC,43999,1060440.8899999999,752591.66,
RADIOLOGY,72040,GLOBL,266798,9601021.7100000009,6963619.9900000002,
RADIOLOGY,72040,TOTAL,650224,14543745.880000001,10552798.630000001,
RADIOLOGY,72050,26,250148,3889932.54,2776934.02,
RADIOLOGY,72050,TC,30202,979988.97,687755.76,
RADIOLOGY,72050,GLOBL,158521,7876173.71,5631332.7800000003,
RADIOLOGY,72050,TOTAL,438871,12746095.220000001,9096022.5600000005,
RADIOLOGY,72052,26,66248,1190424.24,856236.51,
RADIOLOGY,72052,TC,8585,377062.06,266356.46000000002,
RADIOLOGY,72052,GLOBL,42489,2734080.6,1995195.28,
RADIOLOGY,72052,TOTAL,117322,4301566.9000000004,3117788.25,
RADIOLOGY,72069,26,16052,186476.36,136905.29999999999,
RADIOLOGY,72069,TC,725,19644.73,14238.08,
RADIOLOGY,72069,GLOBL,8595,342927.62,250282.25,
RADIOLOGY,72069,TOTAL,25372,549048.71,401425.63,
RADIOLOGY,72070,26,193881,2108199.79,1550604.77,
RADIOLOGY,72070,TC,26865,612923.44999999995,443124.14,
RADIOLOGY,72070,GLOBL,128364,4418281.18,3240478.21,
RADIOLOGY,72070,TOTAL,349110,7139404.4199999999,5234207.12,
RADIOLOGY,72072,26,169631,1774580.09,1289618.82,
RADIOLOGY,72072,TC,13042,338936.66,236798.07999999999,
RADIOLOGY,72072,GLOBL,38925,1474337.03,1050068.44,
RADIOLOGY,72072,TOTAL,221598,3587853.78,2576485.34,
RADIOLOGY,72074,26,13686,143995.01999999999,104602.88,
RADIOLOGY,72074,TC,1393,48158.52,34411.120000000003,
RADIOLOGY,72074,GLOBL,4212,191257.5,138964.21,
RADIOLOGY,72074,TOTAL,19291,383411.04,277978.21000000002,
RADIOLOGY,72080,26,25034,287795.8,212678.57,
RADIOLOGY,72080,TC,2402,60208.61,42471.839999999997,
RADIOLOGY,72080,GLOBL,21267,787496.45,575899.47,
RADIOLOGY,72080,TOTAL,48703,1135500.8600000001,831049.88,
RADIOLOGY,72090,26,9691,150320.04,110363.49,
RADIOLOGY,72090,TC,618,23529.17,17144.349999999999,
RADIOLOGY,72090,GLOBL,8870,483347.41,359689.83,
RADIOLOGY,72090,TOTAL,19179,657196.62,487197.67,
RADIOLOGY,72100,26,1050816,12042269.779999999,8785308.2300000004,
RADIOLOGY,72100,TC,138278,3387927.45,2423312.25,
RADIOLOGY,72100,GLOBL,810554,29492568.41,21448092.370000001,
RADIOLOGY,72100,TOTAL,1999648,44922765.640000001,32656712.850000001,
RADIOLOGY,72110,26,535662,8358460.2999999998,6014463.96,
RADIOLOGY,72110,TC,62871,2086510.21,1476591.77,
RADIOLOGY,72110,GLOBL,355703,17979392.699999999,12993796.23,
RADIOLOGY,72110,TOTAL,954236,28424363.210000001,20484851.960000001,
RADIOLOGY,72114,26,36289,601361.22,442225.05,
RADIOLOGY,72114,TC,7331,348755.82,252577.19,
RADIOLOGY,72114,GLOBL,51925.1,3408687.89,2530259.4900000002,
RADIOLOGY,72114,TOTAL,95545.1,4358804.93,3225061.73,
RADIOLOGY,72120,26,15222,179177.29,132162.22,
RADIOLOGY,72120,TC,1971,59367.47,43261.11,
RADIOLOGY,72120,GLOBL,20855,904082.54,672858.61,
RADIOLOGY,72120,TOTAL,38048,1142627.3,848281.94,
RADIOLOGY,72125,26,850411,41186693.399999999,30935076.809999999,
RADIOLOGY,72125,TC,6203,946180.88,718398.8,
RADIOLOGY,72125,GLOBL,24699,5340469.79,4069681.27,
RADIOLOGY,72125,TOTAL,881313,47473344.07,35723156.880000003,
RADIOLOGY,72126,26,17749,971122.51,740989.93,
RADIOLOGY,72126,TC,515,82915.7,63873.24,
RADIOLOGY,72126,GLOBL,2536,557711.93999999994,425271.08,
RADIOLOGY,72126,TOTAL,20800,1611750.15,1230134.25,
RADIOLOGY,72127,26,1527,87458.04,66362.36,
RADIOLOGY,72127,TC,89,19323.919999999998,14968.85,
RADIOLOGY,72127,GLOBL,487,143258.51,109747.96,
RADIOLOGY,72127,TOTAL,2103,250040.47,191079.17,
RADIOLOGY,72128,26,112787,4565881.8499999996,3482786.2,
RADIOLOGY,72128,TC,2384,331941.49,255454.26,
RADIOLOGY,72128,GLOBL,8763,1713506.24,1316876.94,
