CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1603,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
ANESTHESIA,00402,AD,132,13594.93,10369.36,
ANESTHESIA,00402,QK,10389,1909429.74,1469281.35,
ANESTHESIA,00402,QZ,3513,1172126.23,904400.26,
ANESTHESIA,00402,OTHER,11555,2083360.45,1612561.74,
ANESTHESIA,00402,TOTAL,35030,8541802.0399999991,6601871.21,
ANESTHESIA,00404,AA,4577,1439175.47,1126322.1399999999,
ANESTHESIA,00404,AD,95,8699.34,6819.17,
ANESTHESIA,00404,QK,4784,784926.65,612787.85,
ANESTHESIA,00404,QZ,3012,909241.59,709283.95,
ANESTHESIA,00404,OTHER,5757,931958.52,726906.57,
ANESTHESIA,00404,TOTAL,18225,4074001.57,3182119.68,
ANESTHESIA,00406,AA,125,68778.41,54149.2,
ANESTHESIA,00406,AD,N/A,660.14,517.54999999999995,
ANESTHESIA,00406,QK,93,23511.63,18401.47,
ANESTHESIA,00406,QZ,93,45011.64,35380.480000000003,
ANESTHESIA,00406,OTHER,290,64751.61,50721.15,
ANESTHESIA,00406,TOTAL,603,202713.43,159169.85,
ANESTHESIA,00410,AA,23703,2879964.73,2233083.7400000002,
ANESTHESIA,00410,AD,185,14866.96,11555.36,
ANESTHESIA,00410,QK,19499,1186777.56,917436.04,
ANESTHESIA,00410,QZ,10178,1189743.71,921286.65,
ANESTHESIA,00410,OTHER,28379,1728613.64,1339395.25,
ANESTHESIA,00410,TOTAL,81944,6999966.5999999996,5422757.04,
ANESTHESIA,00450,AA,1184,331932.78000000003,257642.41,
ANESTHESIA,00450,AD,29,1964.13,1550.2,
ANESTHESIA,00450,QK,1273,186404.74,143483.66,
ANESTHESIA,00450,QZ,767,208800.11,162421.95000000001,
ANESTHESIA,00450,OTHER,1545,218095.18,170229.18,
ANESTHESIA,00450,TOTAL,4798,947196.94,735327.4,
ANESTHESIA,00452,AA,26,10372.469999999999,8171.48,
ANESTHESIA,00452,QK,29,5799.75,4567.82,
ANESTHESIA,00452,QZ,N/A,3336.46,2615.79,
ANESTHESIA,00452,OTHER,34,6815.37,5362.36,
ANESTHESIA,00452,TOTAL,99,26324.05,20717.45,
ANESTHESIA,00454,AA,45,7938.84,6165.47,
ANESTHESIA,00454,AD,N/A,192.24,150.72,
ANESTHESIA,00454,QK,41,3995.14,3145.85,
ANESTHESIA,00454,QZ,11,2017.79,1581.92,
ANESTHESIA,00454,OTHER,56,5180.75,4077.01,
ANESTHESIA,00454,TOTAL,155,19324.759999999998,15120.97,
ANESTHESIA,00470,AA,748,230955.78,179470.11,
ANESTHESIA,00470,AD,N/A,632.58000000000004,498.32,
ANESTHESIA,00470,QK,589,95899.86,73964.039999999994,
ANESTHESIA,00470,QZ,257,67081.820000000007,52072.34,
ANESTHESIA,00470,OTHER,646,101582.06,78942.149999999994,
ANESTHESIA,00470,TOTAL,2248,496152.1,384946.96,
ANESTHESIA,00472,AA,151,75372.75,58978.61,
ANESTHESIA,00472,AD,N/A,206.94,162.24,
ANESTHESIA,00472,QK,94,25219.43,19797.810000000001,
ANESTHESIA,00472,QZ,33,16378.77,12908.05,
ANESTHESIA,00472,OTHER,126,31581.93,24712.61,
ANESTHESIA,00472,TOTAL,407,148759.82,116559.32,
ANESTHESIA,00474,AA,55,36601.050000000003,28821.87,
ANESTHESIA,00474,AD,N/A,62.79,49.23,
ANESTHESIA,00474,QK,58,20302.52,15812.26,
ANESTHESIA,00474,QZ,N/A,4481.3500000000004,3520.09,
ANESTHESIA,00474,OTHER,71,23751.82,18762.099999999999,
ANESTHESIA,00474,TOTAL,194,85199.53,66965.55,
ANESTHESIA,00500,AA,1550,1288195.6599999999,1008631.95,
ANESTHESIA,00500,AD,20,3298.67,2536.9899999999998,
ANESTHESIA,00500,QK,926,408789.7,319584.96000000002,
ANESTHESIA,00500,QZ,280,174239.28,136396.92000000001,
ANESTHESIA,00500,OTHER,1064,416534.55,326944.34000000003,
ANESTHESIA,00500,TOTAL,3840,2291057.86,1794095.16,
ANESTHESIA,00520,AA,28145,6588628.5300000003,5149758.82,
ANESTHESIA,00520,AD,394,34529.97,27126.14,
ANESTHESIA,00520,QK,28697,3292299.31,2565043.64,
ANESTHESIA,00520,QZ,19006,3844991.1,2997777.68,
ANESTHESIA,00520,OTHER,37906,4282448.4800000004,3348342.03,
ANESTHESIA,00520,TOTAL,114148,18042897.390000001,14088048.310000001,
ANESTHESIA,00522,AA,392,81196.149999999994,63424.36,
ANESTHESIA,00522,AD,N/A,197.67,154.97,
ANESTHESIA,00522,QK,522,51702.400000000001,40414.68,
ANESTHESIA,00522,QZ,221,42416.65,33429.99,
ANESTHESIA,00522,OTHER,699,68367.63,53534.01,
ANESTHESIA,00522,TOTAL,1837,243880.5,190958.01,
ANESTHESIA,00524,AA,257,47669.29,37425.410000000003,
ANESTHESIA,00524,AD,N/A,655.74,522.23,
ANESTHESIA,00524,QK,220,21589.35,16858.18,
ANESTHESIA,00524,QZ,197,31122.560000000001,24319.34,
ANESTHESIA,00524,OTHER,317,29863.41,23337.66,
ANESTHESIA,00524,TOTAL,999,130900.35,102462.82,
ANESTHESIA,00528,AA,4056,1395840.13,1092461.81,
ANESTHESIA,00528,AD,35,3498.13,2683.48,
ANESTHESIA,00528,QK,3171,544042.46,423998.78,
ANESTHESIA,00528,QZ,955,321415.24,252043.74,
ANESTHESIA,00528,OTHER,3764,639842.91,500730.83,
ANESTHESIA,00528,TOTAL,11981,2904638.87,2271918.64,
ANESTHESIA,00529,AA,2058,937373.32,732586.62,
ANESTHESIA,00529,AD,34,3167.02,2506.16,
ANESTHESIA,00529,QK,1630,375293.48,293385.67,
ANESTHESIA,00529,QZ,421,188549.16,147638.28,
ANESTHESIA,00529,OTHER,1854,418856.5,328262.46000000002,
ANESTHESIA,00529,TOTAL,5997,1923239.48,1504379.19,
ANESTHESIA,00530,AA,17927,4313684.04,3369568.7,
ANESTHESIA,00530,AD,139,13114.09,10317.39,
ANESTHESIA,00530,QK,16903,2082034.56,1620412.02,
ANESTHESIA,00530,QZ,8801,1988666.9,1550952.81,
ANESTHESIA,00530,OTHER,22721,2745559.05,2146515.84,
ANESTHESIA,00530,TOTAL,66491,11143058.640000001,8697766.7599999998,
ANESTHESIA,00532,AA,34924,6502801.04,5075830.7,
ANESTHESIA,00532,AD,592,46061.05,36095,
ANESTHESIA,00532,QK,39961,3663324.28,2851933.04,
ANESTHESIA,00532,QZ,26559,4665421.12,3640459.24,
ANESTHESIA,00532,OTHER,49881,4571574.6500000004,3570906.83,
ANESTHESIA,00532,TOTAL,151917,19449182.140000001,15175224.810000001,
ANESTHESIA,00534,AA,6085,2193070.67,1713873.18,
ANESTHESIA,00534,AD,42,5185.2700000000004,4070.94,
ANESTHESIA,00534,QK,4587,840144.8,651866.63,
ANESTHESIA,00534,QZ,2912,909842.91,709664.34,
ANESTHESIA,00534,OTHER,6889,1215000.71,950711.37,
ANESTHESIA,00534,TOTAL,20515,5163244.3600000003,4030186.46,
ANESTHESIA,00537,AA,27362,11538627.1,9011417.4299999997,
ANESTHESIA,00537,AD,346,44730.65,34971.29,
ANESTHESIA,00537,QK,28159,6177691.8899999997,4810031.72,
ANESTHESIA,00537,QZ,11660,4441446.04,3463939.69,
ANESTHESIA,00537,OTHER,32236,6984503.1900000004,5463340.0599999996,
ANESTHESIA,00537,TOTAL,99763,29186998.870000001,22783700.190000001,
ANESTHESIA,00539,AA,117,97586.75,76853.350000000006,
ANESTHESIA,00539,AD,N/A,65.760000000000005,51.56,
ANESTHESIA,00539,QK,50,21507.5,16932.939999999999,
ANESTHESIA,00539,QZ,14,9831.07,7754.84,
ANESTHESIA,00539,OTHER,47,19885.59,15599.9,
ANESTHESIA,00539,TOTAL,229,148876.67000000001,117192.59,
ANESTHESIA,00540,AA,4962,2590209.17,2031131.22,
ANESTHESIA,00540,AD,65,6977.02,5509.46,
ANESTHESIA,00540,QK,3240,857282.83,669698.9,
ANESTHESIA,00540,QZ,1479,735681.87,577326.18999999994,
ANESTHESIA,00540,OTHER,4518,1169866.8799999999,918075.22,
ANESTHESIA,00540,TOTAL,14264,5360017.7699999996,4201740.99,
ANESTHESIA,00541,AA,18784,11746600.27,9199810.2799999993,
ANESTHESIA,00541,AD,109,10433.15,8005.55,
ANESTHESIA,00541,QK,11355,3580019.7,2800106.52,
ANESTHESIA,00541,QZ,3236,1943714.7,1522696.75,
ANESTHESIA,00541,OTHER,12372,3805058.65,2983348.89,
ANESTHESIA,00541,TOTAL,45856,21085826.469999999,16513967.99,
ANESTHESIA,00542,AA,2693,1636189.47,1282719.94,
ANESTHESIA,00542,AD,19,1753.73,1381.37,
ANESTHESIA,00542,QK,1654,505300.75,395566.23,
ANESTHESIA,00542,QZ,538,317862.90000000002,248845.09,
ANESTHESIA,00542,OTHER,1907,568966.26,447368,
ANESTHESIA,00542,TOTAL,6811,3030073.11,2375880.63,
ANESTHESIA,00546,AA,48,32870.42,25610.18,
ANESTHESIA,00546,AD,N/A,78.36,61.44,
ANESTHESIA,00546,QK,23,8393.69,6614.96,
ANESTHESIA,00546,QZ,N/A,6923.82,5435.42,
ANESTHESIA,00546,OTHER,35,12424.05,9691.36,
ANESTHESIA,00546,TOTAL,117,60690.34,47413.36,
ANESTHESIA,00548,AA,103,72637.62,56900.63,
ANESTHESIA,00548,AD,N/A,128.58000000000001,101.83,
ANESTHESIA,00548,QK,84,28036.41,21875.07,
ANESTHESIA,00548,QZ,36,18235.14,14405.19,
ANESTHESIA,00548,OTHER,135,43596.25,34257.19,
ANESTHESIA,00548,TOTAL,360,162634,127539.91,
ANESTHESIA,00550,AA,2295,974697.27,763661.13,
ANESTHESIA,00550,AD,N/A,648.85,455.38,
ANESTHESIA,00550,QK,1174,247463.6,192801.26,
ANESTHESIA,00550,QZ,382,154725.31,121189.62,
ANESTHESIA,00550,OTHER,1484,309378.15000000002,243101.76,
ANESTHESIA,00550,TOTAL,5344,1686913.18,1321209.1499999999,
ANESTHESIA,00560,AA,13176,8112914.6200000001,6367462.5099999998,
ANESTHESIA,00560,AD,53,5065.5,3993.42,
ANESTHESIA,00560,QK,4649,1409040.16,1104412.23,
ANESTHESIA,00560,QZ,1945,1124858.3500000001,881134.85,
ANESTHESIA,00560,OTHER,7309,2152768.0299999998,1687880.85,
ANESTHESIA,00560,TOTAL,27132,12804646.66,10044883.859999999,
ANESTHESIA,00561,AA,N/A,3812.8,2989.24,
ANESTHESIA,00561,QK,N/A,3067.43,2419.42,
ANESTHESIA,00561,QZ,N/A,5104.67,4002.06,
ANESTHESIA,00561,OTHER,N/A,4646.29,3669.27,
ANESTHESIA,00561,TOTAL,24,16631.189999999999,13079.99,
ANESTHESIA,00562,AA,38343,37422358.789999999,29356150.760000002,
ANESTHESIA,00562,AD,102,10938.66,8578.0499999999993,
ANESTHESIA,00562,QK,11620,5563701.7400000002,4353802.6100000003,
ANESTHESIA,00562,QZ,4026,3645040.7,2863277.09,
ANESTHESIA,00562,OTHER,14103,6502234.2300000004,5096513.58,
ANESTHESIA,00562,TOTAL,68194,53144274.119999997,41678322.090000004,
ANESTHESIA,00563,AA,3248,3886704.05,3050031.37,
ANESTHESIA,00563,AD,29,2980.68,2346.2199999999998,
ANESTHESIA,00563,QK,934,504150.43,394424.32000000001,
ANESTHESIA,00563,QZ,379,399615.51,314566.73,
ANESTHESIA,00563,OTHER,1132,601157.72,470728.88,
ANESTHESIA,00563,TOTAL,5722,5394608.3899999997,4232097.5199999996,
ANESTHESIA,00566,AA,6341,6151231.9000000004,4824100.49,
ANESTHESIA,00566,AD,21,3974.56,3058.98,
ANESTHESIA,00566,QK,2024,996352.87,780257.23,
ANESTHESIA,00566,QZ,962,903805.62,709434.04,
ANESTHESIA,00566,OTHER,2934,1425458.87,1117338.6000000001,
ANESTHESIA,00566,TOTAL,12282,9480823.8200000003,7434189.3399999999,
ANESTHESIA,00567,AA,31205,27438262.239999998,21500586.09,
ANESTHESIA,00567,AD,179,19304.189999999999,15002.48,
ANESTHESIA,00567,QK,11563,5040482.05,3937163.99,
ANESTHESIA,00567,QZ,4804,4007541.43,3139325,
ANESTHESIA,00567,OTHER,13656,5888052,4606036.5,
ANESTHESIA,00567,TOTAL,61407,42393641.909999996,33198114.059999999,
ANESTHESIA,00580,AA,1095,1316447.8899999999,1031732.57,
ANESTHESIA,00580,AD,N/A,0,0,
ANESTHESIA,00580,QK,171,99241.98,76357.37,
ANESTHESIA,00580,QZ,33,34502.230000000003,26519.79,
ANESTHESIA,00580,OTHER,249,133333.99,103928.54,
ANESTHESIA,00580,TOTAL,1548,1583526.09,1238538.27,
ANESTHESIA,00600,AA,5088,2360801.15,1837336.04,
ANESTHESIA,00600,AD,141,12665.78,9478.77,
ANESTHESIA,00600,QK,5540,1334466.72,1035388.3,
ANESTHESIA,00600,QZ,3746,1544300.72,1204965.31,
